Genes,Transcript_Count,Norm_Symbol
AC254813.1,2.0,AC254813.1
TCEAL7,2.0,TCEAL7
CRBN,15.0,CRBN
OPTC,2.0,OPTC
AC005726.1,4.0,AC005726.1
MYBL2,2.0,MYBL2
PIM1,3.0,PIM1
HVCN1,9.0,HVCN1
PMAIP1,3.0,PMAIP1
FAM160A2,5.0,FAM160A2
C5orf47,2.0,C5orf47
SLC24A1,12.0,SLC24A1
SLC26A6,22.0,SLC26A6
AC003112.1,5.0,AC003112.1
MTTP,11.0,MTTP
CAPRIN2,19.0,CAPRIN2
AC097636.2,3.0,AC097636.2
LIMS1,15.0,LIMS1
SIT1,4.0,SIT1
NAA10,16.0,NAA10
BMP1,18.0,BMP1
SCARA5,4.0,SCARA5
MOGAT2,4.0,MOGAT2
RPRML,1.0,RPRML
FAM205A,1.0,FAM205A
OR5M8,1.0,OR5M8
GAGE12E,1.0,GAGE12E
OR7A10,2.0,OR7A10
TAF6L,8.0,TAF6L
HIST1H2BA,1.0,HIST1H2BA
NHLRC2,2.0,NHLRC2
MYCBP,4.0,MYCBP
RAB26,8.0,RAB26
ZNF319,2.0,ZNF319
LRRC36,18.0,LRRC36
MIS12,6.0,MIS12
ABCC2,10.0,ABCC2
HIST2H4B,3.0,HIST2H4B
PPIA,10.0,PPIA
CFAP20,7.0,CFAP20
OR4D1,2.0,OR4D1
ERICH3,5.0,ERICH3
DDX59,8.0,DDX59
SHLD3,2.0,SHLD3
ZFHX2,5.0,ZFHX2
H3.Y,1.0,H3.Y
KIF5B,2.0,KIF5B
TOX,1.0,TOX
MIA,7.0,MIA
PLXND1,17.0,PLXND1
GC,8.0,GC
MCF2L2,14.0,MCF2L2
RPS7,12.0,RPS7
MS4A2,4.0,MS4A2
PPP1R1C,12.0,PPP1R1C
SPART,12.0,SPART
SEC61G,7.0,SEC61G
GTF2E1,5.0,GTF2E1
MRFAP1,5.0,MRFAP1
NANOS3,4.0,NANOS3
CLEC4M,14.0,CLEC4M
LTBP4,39.0,LTBP4
GIN1,7.0,GIN1
AMDHD1,4.0,AMDHD1
ZNF682,13.0,ZNF682
SLC5A3,1.0,SLC5A3
PDCD5,8.0,PDCD5
GPR174,2.0,GPR174
GU182347.8,1.0,GU182347.8
ZFYVE19,16.0,ZFYVE19
OSBPL9,27.0,OSBPL9
CDC37,10.0,CDC37
ACTN1,21.0,ACTN1
LNX1,9.0,LNX1
PPP1R9B,2.0,PPP1R9B
RIPOR2,17.0,RIPOR2
ELAC1,4.0,ELAC1
FLAD1,12.0,FLAD1
AL845331.2,1.0,AL845331.2
TMEM14A,1.0,TMEM14A
PYCARD,4.0,PYCARD
CALN1,6.0,CALN1
XIRP1,3.0,XIRP1
WFS1,6.0,WFS1
AMY1C,1.0,AMY1C
C20orf204,5.0,C20orf204
GCNT7,2.0,GCNT7
PRMT8,4.0,PRMT8
SLC9A4,2.0,SLC9A4
CENPQ,1.0,CENPQ
TBC1D9,3.0,TBC1D9
SLCO1B1,1.0,SLCO1B1
MYPOP,1.0,MYPOP
SPATA2L,3.0,SPATA2L
CDK7,15.0,CDK7
PSAT1,2.0,PSAT1
CDX1,2.0,CDX1
RBM15,9.0,RBM15
FOXC2,1.0,FOXC2
C1orf87,5.0,C1orf87
IGFN1,6.0,IGFN1
BAG3,2.0,BAG3
ADAMTS19,4.0,ADAMTS19
CTNND1,38.0,CTNND1
SLC1A6,11.0,SLC1A6
TCL1A,9.0,TCL1A
BHLHE41,3.0,BHLHE41
GPR42,2.0,GPR42
CASP2,7.0,CASP2
COX7A1,4.0,COX7A1
ASIC1,9.0,ASIC1
VCPKMT,5.0,VCPKMT
FAM86B2,3.333333333333333,FAM86B2
PLCD3,12.0,PLCD3
DHRS2,10.0,DHRS2
HOXC10,5.0,HOXC10
NPR1,3.0,NPR1
TST,4.0,TST
CD320,6.0,CD320
DNAH5,4.0,DNAH5
PPFIA2,28.0,PPFIA2
AC002996.1,1.0,AC002996.1
DNMT1,28.0,DNMT1
CC2D1A,9.0,CC2D1A
CHRNB3,3.0,CHRNB3
ZC3H12D,5.0,ZC3H12D
MAGEC3,5.0,MAGEC3
TMEM94,33.0,TMEM94
AC213203.2,1.0,AC213203.2
PSMG3,3.0,PSMG3
PIGL,17.0,PIGL
SNAI3,1.0,SNAI3
CSRP3,6.0,CSRP3
TIMP1,5.0,TIMP1
ANAPC4,11.0,ANAPC4
SS18L1,5.0,SS18L1
DAPK3,7.0,DAPK3
TRIM62,4.0,TRIM62
SLC9C1,5.0,SLC9C1
GPR157,3.0,GPR157
HTR4,13.0,HTR4
SLC15A5,1.0,SLC15A5
NETO1,7.0,NETO1
ARL1,11.0,ARL1
CLLU1OS,2.0,CLLU1OS
TCTEX1D4,1.0,TCTEX1D4
PTDSS2,11.5,PTDSS2
HOXB9,1.0,HOXB9
DPPA4,8.0,DPPA4
PSMA5,6.0,PSMA5
FAM129A,5.0,FAM129A
RADX,6.0,RADX
ARGFX,2.0,ARGFX
RPP21,9.882352941176473,RPP21
ANXA3,10.0,ANXA3
MAPK1,4.0,MAPK1
OSR2,10.0,OSR2
PNMA6E,2.0,PNMA6E
TCOF1,19.0,TCOF1
FYTTD1,9.0,FYTTD1
CCDC187,5.0,CCDC187
SIRT1,6.0,SIRT1
FKBP14,4.0,FKBP14
PFKP,12.0,PFKP
FAM83E,4.0,FAM83E
CCNE1,7.0,CCNE1
TIMM23B,6.0,TIMM23B
MAGI3,6.0,MAGI3
DTHD1,6.0,DTHD1
GLT8D2,7.0,GLT8D2
LONP2,9.0,LONP2
CEP76,12.0,CEP76
PCDHGA6,2.0,PCDHGA6
ARID4A,11.0,ARID4A
AREL1,17.0,AREL1
CHTF18,20.0,CHTF18
CSTL1,5.0,CSTL1
ZNF45,6.0,ZNF45
ZNF728,2.0,ZNF728
SCRG1,2.0,SCRG1
HRH3,3.0,HRH3
STRIP2,3.0,STRIP2
CT476828.21,2.0,CT476828.21
C7orf26,6.0,C7orf26
TREML1,4.0,TREML1
PPARGC1B,7.0,PPARGC1B
CASQ1,3.0,CASQ1
RNF25,6.0,RNF25
MMP24OS,12.0,MMP24OS
THADA,19.0,THADA
AC011455.2,1.0,AC011455.2
PAX6,82.0,PAX6
ABCB1,11.0,ABCB1
LUZP2,8.0,LUZP2
AC134684.9,1.0,AC134684.9
C19orf54,10.0,C19orf54
FBRSL1,8.0,FBRSL1
CACNA1B,7.0,CACNA1B
SH3BGRL2,1.0,SH3BGRL2
NEK2,5.0,NEK2
OPRM1,23.0,OPRM1
SPDYE6,1.0,SPDYE6
TTK,11.0,TTK
SRSF4,8.0,SRSF4
ILKAP,12.0,ILKAP
MKI67,5.0,MKI67
MYOF,9.0,MYOF
RPL17,24.0,RPL17
AL161418.1,2.0,AL161418.1
ZNF180,11.0,ZNF180
AL603832.3,5.0,AL603832.3
S100A4,6.0,S100A4
TM9SF3,7.0,TM9SF3
MED28,4.0,MED28
RAMAC,1.0,RAMAC
EEF1D,51.862068965517246,EEF1D
PIK3R6,4.0,PIK3R6
IL10RB,7.0,IL10RB
CALCRL,9.0,CALCRL
AC091959.3,1.0,AC091959.3
MMP28,7.0,MMP28
NPIPA7,2.0,NPIPA7
TUSC3,13.0,TUSC3
FUCA1,1.0,FUCA1
RPL23,11.0,RPL23
KIF18B,4.0,KIF18B
SNTN,3.0,SNTN
EIF6,8.0,EIF6
ECHDC3,5.0,ECHDC3
ICE1,3.0,ICE1
ZNF700,3.0,ZNF700
BHMT,6.0,BHMT
LOXL1,5.0,LOXL1
SHMT1,11.0,SHMT1
KRTAP19-1,1.0,KRTAP19-1
ARF5,6.0,ARF5
RNF13,16.0,RNF13
METAP1,12.0,METAP1
TMCO1,9.0,TMCO1
KLC3,7.0,KLC3
VTI1A,9.0,VTI1A
ATP5MC2,8.0,ATP5MC2
HIST1H2BG,1.0,HIST1H2BG
ACTR8,6.0,ACTR8
WWOX,18.0,WWOX
ZNF618,7.0,ZNF618
USP17L23,1.0,USP17L23
TMEM179,6.0,TMEM179
OR5K2,1.0,OR5K2
CT476828.3,2.0,CT476828.3
CDKL2,4.0,CDKL2
SLC1A5,6.0,SLC1A5
DYSF,19.0,DYSF
POLR1A,10.0,POLR1A
TSR3,2.0,TSR3
RIPK3,7.0,RIPK3
EPS8,27.0,EPS8
SLC7A11,2.0,SLC7A11
RIN1,8.0,RIN1
SCARA3,2.0,SCARA3
MALSU1,5.0,MALSU1
KNG1,4.0,KNG1
ZDHHC16,18.0,ZDHHC16
DAB2,17.0,DAB2
C1orf56,3.0,C1orf56
IL15RA,22.0,IL15RA
UBAC2,11.0,UBAC2
MEX3A,2.0,MEX3A
THSD7B,6.0,THSD7B
PIN4,9.0,PIN4
IGLL1,3.0,IGLL1
FP565260.2,1.0,FP565260.2
SEC23IP,8.0,SEC23IP
CXCL10,1.0,CXCL10
PDX1,1.0,PDX1
EEF1AKMT1,3.0,EEF1AKMT1
LINC02210-CRHR1,2.0,LINC02210-CRHR1
PDGFRB,11.0,PDGFRB
WFDC6,2.0,WFDC6
OR51L1,4.0,OR51L1
CDH7,4.0,CDH7
OR56B4,1.0,OR56B4
OR2A1,2.0,OR2A1
AVPR1A,2.0,AVPR1A
CLIC1,5.0,CLIC1
NFATC4,33.0,NFATC4
PGD,10.0,PGD
HMCES,8.0,HMCES
ADRA2C,2.0,ADRA2C
TPSB2,3.0,TPSB2
RPL39,3.0,RPL39
ADRA1A,11.0,ADRA1A
IFNA13,2.0,IFNA13
OSBP,3.0,OSBP
KATNAL2,8.0,KATNAL2
FGL1,11.0,FGL1
HMGCS2,4.0,HMGCS2
AOAH,12.0,AOAH
HIC2,3.0,HIC2
CCNT2,10.0,CCNT2
CEP162,7.0,CEP162
COL17A1,10.0,COL17A1
PPP1R10,7.0,PPP1R10
LSM5,10.0,LSM5
TMEM272,3.0,TMEM272
TIMM22,1.0,TIMM22
OR6C3,3.0,OR6C3
RPA4,1.0,RPA4
ANXA5,11.0,ANXA5
NPFFR1,1.0,NPFFR1
CKS1B,7.0,CKS1B
ACP7,4.0,ACP7
FAM133A,2.0,FAM133A
AC025287.4,1.0,AC025287.4
EPHX3,4.0,EPHX3
ALDOA,19.0,ALDOA
FAM111B,6.0,FAM111B
TMEM54,6.0,TMEM54
DNAJC22,5.0,DNAJC22
KLRG2,2.0,KLRG2
NCKAP5,9.0,NCKAP5
EGFL7,7.0,EGFL7
CCDC107,6.0,CCDC107
PRKCI,7.0,PRKCI
VSX2,1.0,VSX2
SLC16A14,5.0,SLC16A14
IRGM,3.0,IRGM
ST8SIA1,15.0,ST8SIA1
MORN3,3.0,MORN3
SEMA6C,10.0,SEMA6C
RAB5IF,8.0,RAB5IF
HNRNPD,12.0,HNRNPD
HIF1AN,5.0,HIF1AN
PDZRN4,5.0,PDZRN4
COLCA2,7.0,COLCA2
KRTAP20-1,1.0,KRTAP20-1
TRIM50,4.0,TRIM50
CRABP2,4.0,CRABP2
ABHD13,1.0,ABHD13
OVOL3,2.0,OVOL3
DCTN2,24.0,DCTN2
FCGR3B,9.0,FCGR3B
GPRC5D,3.0,GPRC5D
COL22A1,7.0,COL22A1
CPLX1,4.0,CPLX1
PCDH11Y,7.0,PCDH11Y
PRICKLE3,8.0,PRICKLE3
DHTKD1,6.0,DHTKD1
NAGS,3.0,NAGS
SLC8A2,7.0,SLC8A2
ARNTL,21.0,ARNTL
C6orf163,4.0,C6orf163
ENPP2,9.0,ENPP2
IL36B,2.0,IL36B
ZFR2,9.0,ZFR2
FGFR3,11.0,FGFR3
CDH5,9.0,CDH5
PARN,27.142857142857146,PARN
NEFH,1.0,NEFH
HOXD4,1.0,HOXD4
NAA30,4.0,NAA30
FAAP20,15.0,FAAP20
OVCH2,3.0,OVCH2
AC091304.7,1.0,AC091304.7
YWHAZ,23.0,YWHAZ
RAD23B,5.0,RAD23B
ATP2A3,15.0,ATP2A3
C1orf174,3.0,C1orf174
CRISP1,4.0,CRISP1
SDC2,8.0,SDC2
ANKRD18B,8.0,ANKRD18B
ARL11,2.0,ARL11
RWDD3,7.0,RWDD3
AC083977.1,1.0,AC083977.1
IDH3G,12.0,IDH3G
ABCB10,3.0,ABCB10
FBXO48,1.0,FBXO48
CLHC1,13.0,CLHC1
B3GAT3,6.0,B3GAT3
SPR,2.0,SPR
MLANA,5.0,MLANA
NEU3,7.0,NEU3
OR52A1,2.0,OR52A1
SLPI,1.0,SLPI
ATG13,30.0,ATG13
PIWIL4,5.0,PIWIL4
KRTAP13-2,1.0,KRTAP13-2
THOC6,10.0,THOC6
NBPF3,13.0,NBPF3
CSK,14.0,CSK
PCSK5,5.0,PCSK5
MSGN1,1.0,MSGN1
CLDN11,7.0,CLDN11
AC010522.1,6.0,AC010522.1
IFIT1B,1.0,IFIT1B
MYOZ2,1.0,MYOZ2
KRBA2,5.0,KRBA2
IL2RG,9.0,IL2RG
UBA5,14.0,UBA5
TSHZ2,5.0,TSHZ2
KCNH8,3.0,KCNH8
B4GALT6,5.0,B4GALT6
LIG4,5.0,LIG4
ANO5,3.0,ANO5
CRLS1,7.0,CRLS1
NUTM2F,2.0,NUTM2F
SAFB,14.0,SAFB
AP2B1,22.0,AP2B1
BAG2,1.0,BAG2
NSUN5,7.0,NSUN5
GDPD5,17.0,GDPD5
ARSK,5.0,ARSK
GGT5,6.0,GGT5
ELP6,15.0,ELP6
RPS11,9.0,RPS11
GINS3,10.0,GINS3
NRDC,14.0,NRDC
KRTAP4-11,1.0,KRTAP4-11
CCPG1,13.0,CCPG1
FBXO32,6.0,FBXO32
NINJ2,6.0,NINJ2
EXOC1,8.0,EXOC1
CRYBA2,6.0,CRYBA2
PELI1,4.0,PELI1
ZRANB1,2.0,ZRANB1
MDC1,8.875,MDC1
RO60,12.0,RO60
NDRG3,5.0,NDRG3
BEX1,1.0,BEX1
SCYGR5,1.0,SCYGR5
VSTM2A,8.0,VSTM2A
CGB7,3.0,CGB7
SERPINB8,9.0,SERPINB8
CLDN15,8.0,CLDN15
SPTSSA,1.0,SPTSSA
TCF7L2,30.0,TCF7L2
GPR107,8.0,GPR107
LDLRAD2,3.0,LDLRAD2
MOB4,8.0,MOB4
ARF4,9.0,ARF4
DCUN1D4,22.0,DCUN1D4
TSPYL2,6.0,TSPYL2
RASD2,1.0,RASD2
HSPBAP1,6.0,HSPBAP1
PRND,1.0,PRND
GSTM4,13.0,GSTM4
GRPEL2,4.0,GRPEL2
AL391987.2,1.0,AL391987.2
TOMM70,3.0,TOMM70
PQLC2L,12.0,PQLC2L
CCDC90B,19.0,CCDC90B
EPOR,8.0,EPOR
IRF6,5.0,IRF6
USP18,1.0,USP18
PDCD7,3.0,PDCD7
C2CD4A,1.0,C2CD4A
C1orf127,5.0,C1orf127
SCGB2A1,1.0,SCGB2A1
PLA2G10,2.0,PLA2G10
FTHL17,1.0,FTHL17
CCAR2,14.0,CCAR2
RALB,8.0,RALB
ASIC5,1.0,ASIC5
SSX2B,4.0,SSX2B
SEC24C,7.0,SEC24C
CDC42EP4,9.0,CDC42EP4
SDSL,6.0,SDSL
GABRB3,26.0,GABRB3
SLC38A9,26.0,SLC38A9
ZNF26,7.0,ZNF26
OR4X1,1.0,OR4X1
WNT1,2.0,WNT1
HSD11B1L,23.0,HSD11B1L
SPEGNB,3.0,SPEGNB
PAPLN,12.0,PAPLN
C17orf80,9.0,C17orf80
HAT1,6.0,HAT1
GPR137C,4.0,GPR137C
LYZL1,3.0,LYZL1
WDR41,28.0,WDR41
TFDP1,8.0,TFDP1
TCP11X1,3.0,TCP11X1
ACVRL1,8.0,ACVRL1
PDE3B,5.0,PDE3B
ZSCAN12,2.0,ZSCAN12
TENT4B,4.0,TENT4B
SEPHS1,6.0,SEPHS1
PEX5L,18.0,PEX5L
RNF175,9.0,RNF175
ZNF449,2.0,ZNF449
PRY2,2.0,PRY2
HTR3D,4.0,HTR3D
NOL8,29.0,NOL8
TNFRSF21,1.0,TNFRSF21
NAP1L3,2.0,NAP1L3
SLC38A4,5.0,SLC38A4
NUDT18,2.0,NUDT18
AK5,13.0,AK5
DISP1,3.0,DISP1
CYP4F2,8.0,CYP4F2
ATG2A,6.0,ATG2A
ERVMER34-1,3.0,ERVMER34-1
MRPS17,2.0,MRPS17
MROH1,11.0,MROH1
USP17L7,1.0,USP17L7
BAX,13.0,BAX
SULF1,23.0,SULF1
KCTD2,9.0,KCTD2
ZNF541,5.0,ZNF541
BMP5,1.0,BMP5
ZNF41,4.0,ZNF41
GTF2I,23.0,GTF2I
EMC10,8.0,EMC10
CXorf51B,1.0,CXorf51B
ZNF665,7.0,ZNF665
ACTL7A,1.0,ACTL7A
IQCF6,4.0,IQCF6
GOLGA8A,5.0,GOLGA8A
PUS1,11.0,PUS1
SYN2,6.0,SYN2
IDO2,4.0,IDO2
ADRM1,5.0,ADRM1
NARF,27.0,NARF
BCL2L13,17.0,BCL2L13
ATL3,4.0,ATL3
GSTO2,7.0,GSTO2
SCRN1,10.0,SCRN1
FZD5,1.0,FZD5
AL358113.1,7.0,AL358113.1
PLAC1,4.0,PLAC1
MYO1C,20.0,MYO1C
FAM110A,6.0,FAM110A
ATP6V1B2,6.0,ATP6V1B2
AC118754.1,8.0,AC118754.1
OR4C11,2.0,OR4C11
HS3ST3A1,2.0,HS3ST3A1
FUT7,1.0,FUT7
U2SURP,17.0,U2SURP
OR10G4,3.0,OR10G4
BAALC,9.0,BAALC
COPS8,7.0,COPS8
IGKV2-40,2.0,IGKV2-40
CHEK2,27.0,CHEK2
WDR63,6.0,WDR63
C6orf62,2.0,C6orf62
GAR1,4.0,GAR1
ITM2B,11.0,ITM2B
KRTAP10-12,2.0,KRTAP10-12
MSLNL,3.0,MSLNL
NPR3,7.0,NPR3
ZNF268,19.0,ZNF268
PRH2,2.0,PRH2
MARCH1,15.0,MARCH1
RUSC2,3.0,RUSC2
PSMD5,8.0,PSMD5
SULT2B1,4.0,SULT2B1
LST1,22.772151898734172,LST1
USP17L24,2.0,USP17L24
AC073896.1,3.0,AC073896.1
TREX2,7.0,TREX2
SPTBN1,7.0,SPTBN1
CNNM3,5.0,CNNM3
PCDHGA10,2.0,PCDHGA10
FRMD6,18.0,FRMD6
CREG2,3.0,CREG2
ERLIN2,11.0,ERLIN2
PLVAP,3.0,PLVAP
CPD,10.0,CPD
IFI16,14.0,IFI16
OR2B6,1.0,OR2B6
CFAP97D1,2.0,CFAP97D1
OR7A17,3.0,OR7A17
ISG20,11.0,ISG20
EIF2A,16.0,EIF2A
AP001273.2,1.0,AP001273.2
ACE2,5.0,ACE2
CYP4F22,2.0,CYP4F22
SLC35A5,7.0,SLC35A5
RPN2,8.0,RPN2
ODAM,5.0,ODAM
CDKN2D,2.0,CDKN2D
CACNA1I,5.0,CACNA1I
PLAC8,6.0,PLAC8
FOXD4L1,1.0,FOXD4L1
ZMYM5,7.0,ZMYM5
UGT2B17,1.0,UGT2B17
SH2B1,16.0,SH2B1
KCTD4,1.0,KCTD4
GPR160,10.0,GPR160
TNRC6A,18.0,TNRC6A
ECHDC1,23.0,ECHDC1
CHDH,3.0,CHDH
RSRC1,15.0,RSRC1
LEPROT,6.0,LEPROT
PRSS55,3.0,PRSS55
HIST1H2BE,2.0,HIST1H2BE
SCN2B,5.0,SCN2B
STK25,35.0,STK25
FDPS,21.0,FDPS
GMIP,8.0,GMIP
EIF4G2,32.0,EIF4G2
PAQR6,18.0,PAQR6
GATAD2A,13.0,GATAD2A
EIF2B3,10.0,EIF2B3
COMMD3,15.0,COMMD3
RPL7L1,10.0,RPL7L1
VN1R4,1.0,VN1R4
SPATA12,1.0,SPATA12
NKX1-1,1.0,NKX1-1
SHISA9,5.0,SHISA9
PEX12,4.0,PEX12
DLAT,5.0,DLAT
LRRC37A3,12.0,LRRC37A3
MFSD12,15.0,MFSD12
TIMD4,3.0,TIMD4
DGKZ,24.0,DGKZ
VCY1B,1.0,VCY1B
KIAA1210,1.0,KIAA1210
MYO9B,19.0,MYO9B
TLE5,12.0,TLE5
RUNDC3A,7.0,RUNDC3A
RBBP9,3.0,RBBP9
ANKIB1,7.0,ANKIB1
AC073111.4,7.0,AC073111.4
OR8J1,2.333333333333333,OR8J1
CUZD1,5.0,CUZD1
SLC23A3,10.0,SLC23A3
RBMXL1,4.0,RBMXL1
FAM83F,3.0,FAM83F
KIF1BP,14.0,KIF1BP
FUCA2,3.0,FUCA2
C11orf1,5.0,C11orf1
CCDC61,8.0,CCDC61
YKT6,7.0,YKT6
HLA-DRA,2.8571428571428568,HLA-DRA
TEX35,7.0,TEX35
DCST1,5.0,DCST1
C1orf54,3.0,C1orf54
POTEH,3.0,POTEH
C15orf61,4.0,C15orf61
ADAL,8.0,ADAL
NOP58,10.0,NOP58
SH3GL3,6.0,SH3GL3
MINK1,14.0,MINK1
NXNL2,6.0,NXNL2
SNCB,6.0,SNCB
LPIN1,19.0,LPIN1
GCNT3,10.0,GCNT3
RIMKLB,13.0,RIMKLB
CBWD5,33.0,CBWD5
XRCC4,6.0,XRCC4
PEX7,3.0,PEX7
PCDH18,8.0,PCDH18
SFRP5,1.0,SFRP5
TP53TG3,8.0,TP53TG3
UPF1,13.0,UPF1
HSBP1L1,5.0,HSBP1L1
C11orf96,2.0,C11orf96
TRIM4,5.0,TRIM4
DGKH,10.0,DGKH
CDKN2A,14.0,CDKN2A
AC027237.1,15.0,AC027237.1
SLC6A5,3.0,SLC6A5
KRTAP9-7,1.0,KRTAP9-7
CCAR1,18.0,CCAR1
PDE4B,18.0,PDE4B
TSPAN1,9.0,TSPAN1
HAAO,7.0,HAAO
TRAPPC2,8.0,TRAPPC2
SDK2,5.0,SDK2
KLK14,3.0,KLK14
WBP1,14.0,WBP1
LPAR1,5.0,LPAR1
CHID1,24.0,CHID1
RESP18,3.0,RESP18
DEF8,29.0,DEF8
VWC2L,3.0,VWC2L
PHETA1,5.0,PHETA1
TPBGL,1.0,TPBGL
GU182359.6,1.0,GU182359.6
ATP6AP1L,6.0,ATP6AP1L
HIGD1C,1.0,HIGD1C
SUN5,4.0,SUN5
RRAS2,11.0,RRAS2
RPS15A,13.0,RPS15A
OR5AR1,1.0,OR5AR1
DMBX1,2.0,DMBX1
ZNF324,4.0,ZNF324
EFNA1,5.0,EFNA1
CSNK1A1L,1.0,CSNK1A1L
NR2F2,5.0,NR2F2
METTL17,25.0,METTL17
SLITRK1,1.0,SLITRK1
SLC25A33,1.0,SLC25A33
NUDT14,6.0,NUDT14
NPHS1,5.0,NPHS1
SEMA4C,6.0,SEMA4C
TRIM49D1,3.0,TRIM49D1
ACE,22.0,ACE
SYCP2,9.0,SYCP2
ADAD2,9.0,ADAD2
CDYL2,7.0,CDYL2
PLN,1.0,PLN
TSPY2,5.0,TSPY2
SEMA4F,10.0,SEMA4F
IL9R,4.0,IL9R
S100PBP,16.0,S100PBP
PTBP2,11.0,PTBP2
WFDC10A,1.0,WFDC10A
SPAM1,6.0,SPAM1
APTX,33.0,APTX
PTK2,57.0,PTK2
SLC16A1,7.0,SLC16A1
KRTAP2-1,2.0,KRTAP2-1
TPRX1,3.0,TPRX1
PTGIR,6.0,PTGIR
WTIP,2.0,WTIP
IPPK,3.0,IPPK
RTL9,3.0,RTL9
RFX1,7.0,RFX1
GSTZ1,19.0,GSTZ1
CDH26,7.0,CDH26
EDEM1,7.0,EDEM1
DSPP,1.0,DSPP
STX17,12.0,STX17
ZNF597,1.0,ZNF597
RASL12,3.0,RASL12
PYROXD2,5.0,PYROXD2
COL4A6,10.0,COL4A6
TPSAB1,4.0,TPSAB1
DKK3,16.0,DKK3
OLIG1,3.0,OLIG1
KEL,9.0,KEL
CCNT1,6.0,CCNT1
CCDC152,2.0,CCDC152
RAC3,4.0,RAC3
NAMPT,13.0,NAMPT
BCL9,3.0,BCL9
AP2A1,8.0,AP2A1
PEX13,5.0,PEX13
RPL36AL,1.0,RPL36AL
CR2,7.0,CR2
PEX16,11.0,PEX16
FOXI3,1.0,FOXI3
STARD6,4.0,STARD6
USP17L20,2.0,USP17L20
EFCAB5,13.0,EFCAB5
PCDHGB6,2.0,PCDHGB6
SLC4A10,12.0,SLC4A10
C1QTNF9,2.0,C1QTNF9
FAM178B,6.0,FAM178B
MAMDC4,5.0,MAMDC4
C5AR1,3.0,C5AR1
CRB1,11.0,CRB1
AL035461.3,1.0,AL035461.3
PFKM,32.0,PFKM
ANXA13,6.0,ANXA13
NPIPB7,3.0,NPIPB7
OR4E2,2.0,OR4E2
ANAPC1,11.0,ANAPC1
KIAA0586,25.0,KIAA0586
EBLN1,1.0,EBLN1
CASTOR1,14.0,CASTOR1
CEPT1,11.0,CEPT1
VPS52,9.888888888888891,VPS52
FBP2,1.0,FBP2
OR4C6,2.0,OR4C6
MFRP,6.0,MFRP
H6PD,3.0,H6PD
SMIM35,4.0,SMIM35
SFT2D2,4.0,SFT2D2
ZNF706,15.0,ZNF706
DNAJA3,13.571428571428573,DNAJA3
GOLGA8R,2.0,GOLGA8R
NLRP14,1.0,NLRP14
NINJ1,5.0,NINJ1
CCDC62,6.0,CCDC62
THAP1,4.0,THAP1
ADGRL2,22.0,ADGRL2
PTGER4,5.0,PTGER4
C8G,6.0,C8G
DHX34,4.0,DHX34
GPR55,6.0,GPR55
NMI,4.0,NMI
SNX30,3.0,SNX30
GRIA3,9.0,GRIA3
OXLD1,7.0,OXLD1
SMIM27,6.0,SMIM27
PPP1R14C,1.0,PPP1R14C
GIMD1,2.0,GIMD1
UGT2A3,2.0,UGT2A3
TNF,1.0,TNF
GRM2,8.0,GRM2
TMEM35A,2.0,TMEM35A
CEBPZ,3.0,CEBPZ
IGHMBP2,12.0,IGHMBP2
MFSD8,62.0,MFSD8
AVPR2,5.0,AVPR2
SCD5,2.0,SCD5
AEBP1,9.0,AEBP1
GRAPL,5.0,GRAPL
TMEM158,1.0,TMEM158
RPS27A,11.0,RPS27A
VPS53,20.0,VPS53
FAT4,3.0,FAT4
ZNF212,5.0,ZNF212
ATP1B1,3.0,ATP1B1
BEST4,1.0,BEST4
CCDC137,6.0,CCDC137
AC255093.3,2.0,AC255093.3
PRG3,1.0,PRG3
DSE,18.0,DSE
BSND,1.0,BSND
ACPP,9.0,ACPP
HIST1H4A,1.0,HIST1H4A
TMEM68,19.0,TMEM68
NPIPB12,9.0,NPIPB12
PMPCA,12.0,PMPCA
TTLL2,4.0,TTLL2
PRPF6,1.0,PRPF6
MN1,3.0,MN1
USP17L5,1.0,USP17L5
ZNF266,8.0,ZNF266
SELENBP1,19.0,SELENBP1
COQ10B,4.0,COQ10B
FAM57B,7.0,FAM57B
AC129492.1,19.0,AC129492.1
GYPC,5.0,GYPC
ZNF471,4.0,ZNF471
COL4A2,18.0,COL4A2
DNA2,8.0,DNA2
MIPEP,5.0,MIPEP
ELL3,8.0,ELL3
ZNF518A,10.0,ZNF518A
CHP1,9.0,CHP1
ADD1,29.0,ADD1
EFNA3,3.0,EFNA3
NBPF14,10.0,NBPF14
SLFN14,1.0,SLFN14
TTC37,16.0,TTC37
FOXD1,2.0,FOXD1
CCNQ,9.0,CCNQ
CAND2,7.0,CAND2
PCSK2,5.0,PCSK2
TCP10L2,7.0,TCP10L2
TCERG1,16.0,TCERG1
HOXC8,1.0,HOXC8
MUC12,6.0,MUC12
EHD1,13.0,EHD1
CLEC14A,1.0,CLEC14A
GTF3C3,12.0,GTF3C3
AC005324.3,1.0,AC005324.3
CHCHD2,2.0,CHCHD2
SLC25A11,5.0,SLC25A11
KRTAP9-4,1.0,KRTAP9-4
PPP6R3,26.0,PPP6R3
TRIOBP,11.0,TRIOBP
SPIB,8.0,SPIB
UBE2L6,5.0,UBE2L6
NRBP1,9.0,NRBP1
SNUPN,11.0,SNUPN
RBMXL2,1.0,RBMXL2
VN1R2,2.0,VN1R2
GSDME,14.0,GSDME
