Genes,Amino_Acid_Length,Norm_Symbol
WIF1,213.33333333333331,WIF1
RTL4,310.0,RTL4
SAYSD1,149.5,SAYSD1
NDUFAF5,309.6666666666667,NDUFAF5
PPP1R14D,172.5,PPP1R14D
GXYLT1,424.5,GXYLT1
OR4A47,309.0,OR4A47
HIVEP2,2446.0,HIVEP2
NTS,132.5,NTS
SS18,122.68421052631581,SS18
NKAIN2,136.6,NKAIN2
NEK7,149.83333333333334,NEK7
MARS,182.11764705882354,MARS
KLB,1044.0,KLB
KRT24,525.0,KRT24
ZBTB41,909.0,ZBTB41
ELF2,407.75,ELF2
PAXX,204.0,PAXX
SCP2D1,156.0,SCP2D1
ZNF177,257.6666666666667,ZNF177
CHPF,562.0,CHPF
FERD3L,166.0,FERD3L
EPOP,379.0,EPOP
ARPC1A,324.5,ARPC1A
RESP18,159.5,RESP18
C2orf70,171.0,C2orf70
JMJD6,378.16666666666674,JMJD6
FAM72C,121.5,FAM72C
HIST2H3PS2,136.0,HIST2H3PS2
DTD1,183.0,DTD1
GCHFR,58.0,GCHFR
SCGN,124.66666666666669,SCGN
PIFO,174.5,PIFO
UNC45A,985.6666666666665,UNC45A
TMEM110-MUSTN1,260.0,TMEM110-MUSTN1
NHLRC1,395.0,NHLRC1
NFXL1,866.5,NFXL1
SOAT2,334.0,SOAT2
CDC7,435.0,CDC7
KIF5B,963.0,KIF5B
SLIRP,87.0,SLIRP
ARMT1,273.0,ARMT1
GSTA4,165.5,GSTA4
OR4K17,322.3333333333333,OR4K17
FAM163B,166.0,FAM163B
C19orf70,114.0,C19orf70
FABP1,125.5,FABP1
BSX,233.0,BSX
SEC14L4,224.25,SEC14L4
TYROBP,91.71428571428572,TYROBP
TMEM252,170.0,TMEM252
SARAF,162.0909090909091,SARAF
CLEC11A,295.0,CLEC11A
GJA1,382.0,GJA1
IL1R2,330.25,IL1R2
SERPINF2,385.6,SERPINF2
SAT1,146.0,SAT1
PLAT,386.5555555555555,PLAT
SNRPD1,79.33333333333333,SNRPD1
FAAH,314.0,FAAH
MIS18BP1,425.33333333333326,MIS18BP1
ZC3H6,1189.0,ZC3H6
SLC2A13,502.5,SLC2A13
MLST8,194.33333333333331,MLST8
BAG2,211.0,BAG2
MUC12,3635.666666666666,MUC12
ABHD17B,290.5,ABHD17B
NUCB2,201.0625,NUCB2
GCNT1,428.0,GCNT1
DOK5,252.0,DOK5
NUDT3,172.0,NUDT3
SAFB,642.5,SAFB
ASMTL,596.3333333333334,ASMTL
CBFB,110.83333333333331,CBFB
ZNF845,970.0,ZNF845
GBP6,633.0,GBP6
PLP1,169.77777777777774,PLP1
ITGA4,613.6666666666666,ITGA4
AC114490.3,55.0,AC114490.3
SERPINA3,291.57142857142856,SERPINA3
ENY2,72.14285714285714,ENY2
TPM2,243.5,TPM2
TEX11,855.0,TEX11
MBD3L5,208.0,MBD3L5
RNF32,258.5555555555556,RNF32
KRTAP12-2,146.0,KRTAP12-2
KRTAP10-6,365.0,KRTAP10-6
KRT4,228.0,KRT4
PHF2,577.6666666666666,PHF2
PHYHD1,163.0,PHYHD1
NDUFA4,81.0,NDUFA4
ALKBH8,433.5,ALKBH8
SPRY1,226.7142857142857,SPRY1
AP1B1,798.125,AP1B1
MSS51,367.0,MSS51
PCDH17,694.5,PCDH17
AL034430.1,50.0,AL034430.1
OR3A2,205.6,OR3A2
ZNF385B,291.8888888888889,ZNF385B
SIRT6,199.125,SIRT6
IFNA1,189.0,IFNA1
CDHR4,291.2,CDHR4
IFNA8,189.0,IFNA8
IFNA13,189.5,IFNA13
CARD16,121.5,CARD16
SCT,121.0,SCT
FAM234B,522.6666666666666,FAM234B
PTCD2,214.3,PTCD2
GHSR,327.5,GHSR
PCDHA11,652.6666666666666,PCDHA11
ZIC5,663.0,ZIC5
DYM,188.33333333333331,DYM
C7orf33,177.0,C7orf33
FASTKD1,456.8,FASTKD1
PPARGC1A,386.28571428571433,PPARGC1A
PARVA,331.0,PARVA
UQCC1,176.86666666666667,UQCC1
PLD1,393.0,PLD1
KATNA1,356.8,KATNA1
ALDH4A1,471.0,ALDH4A1
SERPINB10,331.75,SERPINB10
KLHDC10,240.66666666666663,KLHDC10
DOP1B,1221.5,DOP1B
NUP153,1471.333333333333,NUP153
TCEAL8,102.66666666666669,TCEAL8
MYO18B,1537.666666666667,MYO18B
MAT1A,270.0,MAT1A
CD8B,215.83333333333331,CD8B
NPTX1,432.0,NPTX1
TRPM3,1190.357142857143,TRPM3
PNKD,303.25,PNKD
PLGLB1,94.25,PLGLB1
HSPG2,921.3333333333335,HSPG2
PRAMEF14,474.0,PRAMEF14
PLEKHG4,409.57142857142856,PLEKHG4
LY75,1722.0,LY75
ZER1,343.66666666666674,ZER1
KLHL41,606.0,KLHL41
NAA50,95.8,NAA50
RAP1GAP2,731.4,RAP1GAP2
TLR10,708.5714285714287,TLR10
PFKL,288.0,PFKL
SCML2,321.0,SCML2
OR10V1,309.0,OR10V1
UBP1,379.2,UBP1
TMEM217,220.0,TMEM217
LMCD1,241.33333333333331,LMCD1
RHOD,177.0,RHOD
OGA,712.2,OGA
CDO1,200.0,CDO1
ZSCAN5C,496.0,ZSCAN5C
PFDN1,91.33333333333331,PFDN1
PREX1,851.3333333333335,PREX1
MMP7,267.0,MMP7
COL4A3,545.0,COL4A3
PPIC,212.0,PPIC
PDE3A,1141.0,PDE3A
FAM162B,162.0,FAM162B
KIF4B,1234.0,KIF4B
ENTR1,284.5,ENTR1
VPS33A,260.7142857142857,VPS33A
RSPH4A,595.0,RSPH4A
CTNND2,585.4444444444445,CTNND2
MRPL22,162.8,MRPL22
MTRNR2L12,24.0,MTRNR2L12
BEST2,401.25,BEST2
NUBP2,156.7,NUBP2
RPAP1,724.0,RPAP1
AC011530.1,106.75,AC011530.1
EPN1,462.0,EPN1
IARS2,1012.0,IARS2
BHMG1,638.0,BHMG1
PRDM11,565.8,PRDM11
RPS15A,95.54545454545456,RPS15A
ATP6V0E1,71.25,ATP6V0E1
SCYGR4,105.0,SCYGR4
AC097637.1,620.5,AC097637.1
THAP2,122.75,THAP2
KCNJ13,227.0,KCNJ13
LHX3,395.0,LHX3
SUPV3L1,524.5,SUPV3L1
TMEM250,97.4,TMEM250
CD44,265.037037037037,CD44
TMEM173,316.0,TMEM173
CRISP1,213.5,CRISP1
TMEM178B,293.0,TMEM178B
ELN,508.13043478260875,ELN
CRYBG1,1390.0,CRYBG1
AC020922.1,472.0,AC020922.1
ZNF33A,684.0,ZNF33A
LHB,141.0,LHB
PTPN5,435.8,PTPN5
SPATS1,197.25,SPATS1
AKAP6,661.625,AKAP6
CRISP3,248.25,CRISP3
BSN,3926.0,BSN
STMN1,142.5,STMN1
SNCAIP,262.4,SNCAIP
SLC7A1,375.0,SLC7A1
CHRNA5,216.5,CHRNA5
HDAC3,233.0,HDAC3
ZNF850,744.0,ZNF850
ATP5MD,58.0,ATP5MD
RNF175,140.6,RNF175
MAN1C1,460.75,MAN1C1
PEF1,284.0,PEF1
HAND1,215.0,HAND1
HECW1,1105.3333333333333,HECW1
BARX2,279.0,BARX2
SEC22C,166.46153846153842,SEC22C
SLC44A3,445.33333333333326,SLC44A3
C4BPA,289.0,C4BPA
BSPH1,132.0,BSPH1
TRAM1L1,369.0,TRAM1L1
LBHD2,108.0,LBHD2
CIC,949.2857142857144,CIC
TYSND1,482.0,TYSND1
SLCO3A1,345.6,SLCO3A1
RPRD1A,190.44444444444446,RPRD1A
SPAG17,1441.5,SPAG17
TBX21,535.0,TBX21
VSTM2A,257.25,VSTM2A
AP001931.1,18.0,AP001931.1
RNF26,433.0,RNF26
SLC8A3,670.4444444444445,SLC8A3
ZNF691,276.0,ZNF691
DEFB116,102.0,DEFB116
NFATC3,608.1818181818181,NFATC3
KIAA1551,818.6666666666665,KIAA1551
SDC1,206.4,SDC1
TAF7,198.5,TAF7
SLC25A2,301.0,SLC25A2
BPIFA3,236.0,BPIFA3
ITGB1,229.875,ITGB1
PPIE,176.4,PPIE
PUS7L,412.0,PUS7L
DPEP3,513.0,DPEP3
SLC5A6,201.0909090909091,SLC5A6
PCDHB4,795.0,PCDHB4
GSTT1,104.7,GSTT1
HASPIN,798.0,HASPIN
SHROOM3,1320.3333333333333,SHROOM3
PRDM13,414.0,PRDM13
TTC25,289.75,TTC25
GABRG3,245.5,GABRG3
TATDN1,161.13333333333333,TATDN1
SART1,482.0,SART1
OR2V2,315.0,OR2V2
PREPL,567.3571428571429,PREPL
FAM13C,330.7142857142857,FAM13C
RELA,218.36842105263162,RELA
RFLNB,144.0,RFLNB
ZNF396,209.6,ZNF396
SMIM20,94.33333333333331,SMIM20
CCDC69,154.25,CCDC69
AGGF1,325.6666666666667,AGGF1
TMEM177,231.0,TMEM177
PQLC1,134.77777777777777,PQLC1
ELL2,248.25,ELL2
ITGA8,1063.0,ITGA8
SLC26A10,408.75,SLC26A10
DENND2C,909.0,DENND2C
C5AR2,337.0,C5AR2
BTNL8,330.1111111111111,BTNL8
ZFP62,421.6,ZFP62
CCDC158,759.5,CCDC158
AC010323.1,113.0,AC010323.1
SULT2B1,357.5,SULT2B1
NCDN,521.4,NCDN
LDHD,342.0,LDHD
BX276092.9,462.0,BX276092.9
MAF1,214.0,MAF1
GPRC5C,291.25,GPRC5C
TMEM8B,502.66666666666674,TMEM8B
KTN1,613.1111111111112,KTN1
ZNF561,158.2,ZNF561
GTPBP10,195.0,GTPBP10
RHCE,276.125,RHCE
CRNKL1,509.8,CRNKL1
BPIFB2,458.0,BPIFB2
UTP15,327.0,UTP15
TRMT11,203.7,TRMT11
HNRNPA1,242.2,HNRNPA1
S1PR2,353.0,S1PR2
HSD3B7,240.0,HSD3B7
NCKIPSD,334.625,NCKIPSD
GALC,389.0,GALC
AC010422.8,137.0,AC010422.8
METTL6,206.7142857142857,METTL6
KRTAP2-1,126.0,KRTAP2-1
ZCRB1,175.33333333333337,ZCRB1
EEA1,384.0,EEA1
SPDYE4,123.0,SPDYE4
KLHL11,708.0,KLHL11
SIVA1,145.0,SIVA1
CCDC114,670.0,CCDC114
SRRD,339.0,SRRD
ITGB2,341.29411764705884,ITGB2
LRTM2,259.6,LRTM2
HOXC8,242.0,HOXC8
TMSB4X,44.0,TMSB4X
ABCA2,1362.9,ABCA2
MATN4,564.6,MATN4
SPIN2B,198.4,SPIN2B
PTGES2,253.5,PTGES2
PIANP,199.5,PIANP
C9orf78,289.0,C9orf78
SELENOM,144.66666666666666,SELENOM
ENPP5,477.0,ENPP5
PRAC2,115.0,PRAC2
ALLC,391.0,ALLC
SOCS6,432.33333333333326,SOCS6
P3H1,533.2,P3H1
PRR13,112.1818181818182,PRR13
RIOK3,352.4,RIOK3
CCK,115.0,CCK
ZNF780B,437.16666666666674,ZNF780B
FYN,258.7894736842105,FYN
TRABD2B,517.0,TRABD2B
WDR62,837.8,WDR62
SMIM14,70.0,SMIM14
DENND5B,784.2,DENND5B
ARVCF,927.5,ARVCF
ADGRF5,1346.0,ADGRF5
OR7A10,309.0,OR7A10
FAM189A2,413.5,FAM189A2
LHPP,230.66666666666663,LHPP
AC068896.1,201.0,AC068896.1
FBXO2,228.0,FBXO2
OR13J1,312.0,OR13J1
CSDE1,509.07692307692315,CSDE1
ARMC10,203.11764705882354,ARMC10
PDS5B,1046.6666666666667,PDS5B
CHMP3,186.66666666666663,CHMP3
KDELC1,502.0,KDELC1
XAF1,155.91666666666666,XAF1
COA4,89.25,COA4
FXYD6-FXYD2,128.0,FXYD6-FXYD2
PRL,217.0,PRL
SYNDIG1L,185.33333333333331,SYNDIG1L
VSIG10L,531.5,VSIG10L
BLOC1S3,160.66666666666666,BLOC1S3
AC005779.2,27.0,AC005779.2
MAP3K15,798.0,MAP3K15
PARP2,394.2,PARP2
PCIF1,504.0,PCIF1
TFAP2C,284.0,TFAP2C
REEP4,184.0,REEP4
POLR2F,109.83333333333331,POLR2F
PPP4R1,261.45454545454544,PPP4R1
PSMC1,297.0,PSMC1
EPCAM,299.25,EPCAM
ZMYND12,178.0,ZMYND12
CBX5,166.0,CBX5
NFE2,367.0,NFE2
PDZD3,435.6,PDZD3
ZNF518B,574.5,ZNF518B
FOXJ3,422.77777777777777,FOXJ3
SYS1-DBNDD2,84.33333333333333,SYS1-DBNDD2
DNMT1,371.83333333333326,DNMT1
PIK3R6,427.0,PIK3R6
KRTAP4-3,195.0,KRTAP4-3
HHIP,510.0,HHIP
SYT2,419.0,SYT2
ATP6V1C1,344.5,ATP6V1C1
ZNF286A,221.78571428571428,ZNF286A
NEU2,380.0,NEU2
CYTH2,296.5,CYTH2
NANP,248.0,NANP
KRTAP1-1,177.0,KRTAP1-1
KRTAP3-1,98.0,KRTAP3-1
RTF2,287.25,RTF2
MSMB,95.5,MSMB
PAX8,264.22222222222223,PAX8
EN2,333.0,EN2
PRICKLE1,595.8666666666667,PRICKLE1
HEY2,314.0,HEY2
NTAN1,143.53333333333333,NTAN1
COPS2,295.5,COPS2
NME5,212.0,NME5
KIF6,411.66666666666674,KIF6
TIMM23,209.0,TIMM23
CALB2,214.0,CALB2
SLC16A1,393.4,SLC16A1
TOR1B,238.5,TOR1B
ZFX,564.4285714285714,ZFX
ATXN7,762.5714285714287,ATXN7
DUSP6,247.25,DUSP6
SKAP1,154.57142857142858,SKAP1
PRSS35,413.0,PRSS35
TRA2A,177.4,TRA2A
CYP1B1,350.25,CYP1B1
HJV,214.57142857142856,HJV
ASAP3,339.3333333333333,ASAP3
C9orf50,250.0,C9orf50
IPO11,393.22222222222223,IPO11
PIAS3,393.0,PIAS3
MTIF3,278.0,MTIF3
UTP20,2785.0,UTP20
KRT25,450.0,KRT25
CEP290,1130.75,CEP290
APOC4,100.0,APOC4
CAPNS2,248.0,CAPNS2
EFCAB14,280.5,EFCAB14
GPR89A,263.85714285714283,GPR89A
BAD,128.5,BAD
DIP2B,820.0,DIP2B
RNF217,196.0,RNF217
YME1L1,474.0,YME1L1
PAXIP1,614.5,PAXIP1
ZC3H7A,349.6363636363636,ZC3H7A
MANF,128.0,MANF
P2RY11,374.0,P2RY11
GAP43,256.0,GAP43
ACAA2,235.5,ACAA2
CCDC102B,279.0,CCDC102B
KIRREL3,714.6666666666665,KIRREL3
MYH1,1939.0,MYH1
SLC35E2B,352.0,SLC35E2B
DAPK2,252.875,DAPK2
DNAJB6,190.16666666666663,DNAJB6
TEX13A,409.0,TEX13A
SLC17A5,495.0,SLC17A5
KCND3,642.3333333333334,KCND3
P3H2,376.5,P3H2
TREML2,321.0,TREML2
TTC5,194.33333333333331,TTC5
PCBP1,356.0,PCBP1
GPR135,494.0,GPR135
CXorf36,307.5,CXorf36
L3HYPDH,213.66666666666663,L3HYPDH
NUP50,157.1818181818182,NUP50
ZNF559-ZNF177,99.91666666666669,ZNF559-ZNF177
ANO5,913.0,ANO5
PIP5KL1,292.5,PIP5KL1
AL121900.2,223.0,AL121900.2
ZFYVE19,244.5,ZFYVE19
KLK3,190.25,KLK3
ITIH4,871.0,ITIH4
KLK15,166.8,KLK15
RCCD1,301.0,RCCD1
FAM122A,329.0,FAM122A
EIPR1,215.625,EIPR1
NIPAL3,291.6,NIPAL3
SDHAF1,115.0,SDHAF1
ADAMTSL2,987.3333333333335,ADAMTSL2
ZCCHC18,403.0,ZCCHC18
MUC22,1773.0,MUC22
TWIST1,135.66666666666666,TWIST1
CDC73,382.8571428571428,CDC73
CCR5,352.0,CCR5
SLC25A42,318.0,SLC25A42
TRIM56,375.0,TRIM56
XCR1,184.5,XCR1
MUC17,4377.5,MUC17
SLC2A6,329.25,SLC2A6
HSD11B1L,179.578947368421,HSD11B1L
USP17L21,544.0,USP17L21
PTPRA,568.625,PTPRA
MX2,223.2,MX2
TROVE2,375.4,TROVE2
AMER2,611.5,AMER2
ZNF300,497.2,ZNF300
ERGIC3,246.66666666666663,ERGIC3
DCUN1D3,304.0,DCUN1D3
PI4K2B,481.0,PI4K2B
ESCO1,571.0,ESCO1
PPP5C,451.66666666666674,PPP5C
TALDO1,199.5,TALDO1
HSFX4,333.0,HSFX4
RIMS3,308.0,RIMS3
AKAP12,1731.25,AKAP12
RAB23,237.0,RAB23
MARCH1,280.0,MARCH1
FAT4,4101.5,FAT4
CPLX3,158.0,CPLX3
PDIA3,193.5,PDIA3
TRIM64B,449.0,TRIM64B
PHF14,504.6,PHF14
RGS11,363.25,RGS11
CD53,219.0,CD53
IQCC,506.0,IQCC
RNF227,137.33333333333334,RNF227
LDHB,227.6,LDHB
SLC25A26,169.4,SLC25A26
FGF13,183.0,FGF13
CYB561A3,151.57142857142858,CYB561A3
HSD3B1,275.6666666666667,HSD3B1
C20orf173,154.5,C20orf173
SPRYD3,286.5,SPRYD3
AGBL5,358.625,AGBL5
STRADA,234.0,STRADA
ITIH1,427.0,ITIH1
SAFB2,319.75,SAFB2
GOLGA6L1,668.0,GOLGA6L1
RICTOR,980.25,RICTOR
ZNF765,171.2,ZNF765
AC105052.3,115.0,AC105052.3
FBF1,612.5,FBF1
PLBD1,245.66666666666663,PLBD1
SPDYE2,354.0,SPDYE2
TRAK2,418.33333333333326,TRAK2
SSX4,170.5,SSX4
LRIF1,411.66666666666674,LRIF1
AC093668.2,296.0,AC093668.2
PJVK,190.61538461538458,PJVK
IRF7,330.4347826086956,IRF7
ZNF697,545.0,ZNF697
TMPPE,384.5,TMPPE
POLR2J3,126.58333333333331,POLR2J3
EIF4B,354.4444444444445,EIF4B
GLB1,282.5555555555556,GLB1
GUCY2C,1073.0,GUCY2C
SPTBN1,1893.75,SPTBN1
SMIM29,89.85714285714286,SMIM29
ANKDD1B,528.0,ANKDD1B
SSX4B,170.5,SSX4B
ZNF525,228.6,ZNF525
RBM22,303.25,RBM22
RASA4B,763.6666666666665,RASA4B
CDC42EP4,166.66666666666666,CDC42EP4
IYD,238.875,IYD
LRIG1,1081.5,LRIG1
COL5A3,1745.0,COL5A3
RANGAP1,326.2857142857143,RANGAP1
PRKRA,201.83333333333331,PRKRA
STRADB,223.0,STRADB
TTF1,647.5,TTF1
CACNA1H,1488.6,CACNA1H
OST4,37.0,OST4
ERCC8,161.28571428571428,ERCC8
TMEM114,180.66666666666663,TMEM114
TMEM41B,231.33333333333331,TMEM41B
FKBP3,171.0,FKBP3
SPDYE2B,354.0,SPDYE2B
BMF,136.77777777777777,BMF
MRPL38,380.0,MRPL38
OARD1,108.35714285714286,OARD1
TRPC7,642.8333333333334,TRPC7
TMPO,398.66666666666674,TMPO
FKBP2,132.0,FKBP2
PRPF39,196.0,PRPF39
SDHA,385.4285714285714,SDHA
TMEM14A,99.0,TMEM14A
DDB1,421.8571428571428,DDB1
MVB12A,189.375,MVB12A
SNRNP48,244.0,SNRNP48
CFAP77,267.3333333333333,CFAP77
KCNQ3,622.7142857142858,KCNQ3
SLC6A11,420.0,SLC6A11
ZNF22,224.0,ZNF22
SPINK14,72.0,SPINK14
AC087289.3,99.0,AC087289.3
CMTM3,128.78571428571428,CMTM3
SPINK6,67.0,SPINK6
TAS2R16,291.0,TAS2R16
CLK3,211.66666666666663,CLK3
ANKRD26,1216.3333333333333,ANKRD26
NOL4L,264.6666666666667,NOL4L
FOXD4L3,417.0,FOXD4L3
SDK2,1750.5,SDK2
TMEM87B,224.4,TMEM87B
BARHL1,327.0,BARHL1
ARHGAP12,715.3333333333335,ARHGAP12
C22orf42,251.0,C22orf42
TTC37,666.1666666666666,TTC37
UPK3BL1,263.0,UPK3BL1
FAM83A,365.5,FAM83A
BTBD3,301.09090909090907,BTBD3
TMEM185A,161.44444444444446,TMEM185A
HHEX,155.33333333333334,HHEX
AC093668.1,276.0,AC093668.1
TNS2,1050.875,TNS2
AC093668.3,263.0,AC093668.3
POLR2J2,136.5,POLR2J2
LRRC8C,430.5,LRRC8C
RNF41,213.88888888888889,RNF41
AC105052.1,296.0,AC105052.1
MARCOL,277.5,MARCOL
RFK,137.5,RFK
PRMT3,229.2,PRMT3
SLX4,1834.0,SLX4
DDX6,409.0,DDX6
ZC3H7B,977.0,ZC3H7B
RASA4,405.0,RASA4
BEND6,171.33333333333334,BEND6
AC093423.3,52.0,AC093423.3
LRRC8D,349.0,LRRC8D
DCDC2B,349.0,DCDC2B
PEPD,252.7142857142857,PEPD
KCNAB3,182.33333333333331,KCNAB3
C16orf92,83.5,C16orf92
EIF3I,225.0,EIF3I
PCNT,1782.0,PCNT
LRRC8B,590.8333333333334,LRRC8B
ZMYM1,1005.8,ZMYM1
WDR11,457.5,WDR11
JUP,353.0,JUP
MAGEH1,219.0,MAGEH1
POMC,262.8,POMC
FAM57B,145.5,FAM57B
USP51,570.5,USP51
WBP1,271.75,WBP1
OSMR,321.2,OSMR
HAT1,196.66666666666663,HAT1
KIF13A,1217.3333333333333,KIF13A
PHGDH,242.57142857142856,PHGDH
CNTROB,367.4,CNTROB
SLC7A3,619.0,SLC7A3
PLEKHG1,683.4,PLEKHG1
RRP1B,758.0,RRP1B
BTBD10,250.42857142857144,BTBD10
TMEM234,142.375,TMEM234
CEP152,892.5,CEP152
METAP1D,335.0,METAP1D
UNC5CL,518.0,UNC5CL
ZNF761,327.0,ZNF761
NYAP1,813.0,NYAP1
PLA2G4E,868.0,PLA2G4E
NFYA,332.5,NFYA
PABPC4L,370.0,PABPC4L
INO80B,204.0,INO80B
CRTAM,293.5,CRTAM
CEPT1,370.66666666666674,CEPT1
ADNP,764.1111111111112,ADNP
SLC25A12,287.5,SLC25A12
CYP1A2,516.0,CYP1A2
XPOT,321.5,XPOT
ZNF563,257.0,ZNF563
EEF1E1-BLOC1S5,151.0,EEF1E1-BLOC1S5
SGIP1,582.2,SGIP1
EDC3,218.4375,EDC3
TXNDC5,378.0,TXNDC5
MZT2B,147.8,MZT2B
RFPL2,248.6,RFPL2
STRBP,300.0,STRBP
UBASH3B,649.0,UBASH3B
INSR,968.0,INSR
NUTM2F,748.5,NUTM2F
KIAA1586,773.5,KIAA1586
AC113554.1,739.0,AC113554.1
APOBEC2,224.0,APOBEC2
TPSG1,321.0,TPSG1
MRPL47,206.66666666666663,MRPL47
FGF17,210.5,FGF17
KIF13B,620.2,KIF13B
INO80B-WBP1,313.0,INO80B-WBP1
SPINK7,72.0,SPINK7
TSPO2,136.66666666666666,TSPO2
ACE,416.6923076923077,ACE
FOXK1,421.0,FOXK1
TPSB2,283.0,TPSB2
SMPD4,336.64285714285717,SMPD4
SLC38A5,280.27272727272725,SLC38A5
ZBTB22,413.54545454545456,ZBTB22
SPINK13,80.66666666666667,SPINK13
BLOC1S5,114.75,BLOC1S5
SLC13A1,208.0,SLC13A1
HMGCL,209.5,HMGCL
DCTN4,214.11111111111111,DCTN4
SPINK9,96.5,SPINK9
RWDD4,104.71428571428572,RWDD4
DPM1,265.75,DPM1
AC104581.2,5.0,AC104581.2
TRAPPC1,90.66666666666669,TRAPPC1
CSK,265.3333333333333,CSK
GGT7,275.75,GGT7
ZNF813,296.0,ZNF813
BLOC1S5-TXNDC5,136.0,BLOC1S5-TXNDC5
RIT2,176.0,RIT2
DRAM2,199.33333333333331,DRAM2
HIST4H4,103.0,HIST4H4
BMP6,513.0,BMP6
ACTL6A,282.8,ACTL6A
PRUNE2,1545.75,PRUNE2
HMX1,269.0,HMX1
CAMK2D,445.25,CAMK2D
EEF1E1,124.83333333333331,EEF1E1
CEP104,314.3333333333333,CEP104
TKFC,309.2,TKFC
PTPRN,357.5,PTPRN
PLAU,317.0,PLAU
ATP10D,728.3333333333335,ATP10D
ZNF326,299.5,ZNF326
METTL22,155.8,METTL22
TNRC6A,754.2857142857142,TNRC6A
GTF3C4,485.5,GTF3C4
OSBPL5,390.83333333333326,OSBPL5
ACSS2,235.63636363636363,ACSS2
DDX31,670.4,DDX31
ELOVL2,296.0,ELOVL2
TKTL2,626.0,TKTL2
OR5AU1,323.75,OR5AU1
MAGEA11,374.66666666666674,MAGEA11
RBM20,1227.0,RBM20
PKHD1L1,2707.0,PKHD1L1
ZNF385D,207.8,ZNF385D
ZNF786,739.0,ZNF786
BACE1,355.66666666666674,BACE1
C10orf55,151.0,C10orf55
PCDHB2,195.4,PCDHB2
TBK1,244.5,TBK1
PHYHIP,302.6666666666667,PHYHIP
NABP2,185.6,NABP2
CBLN4,201.0,CBLN4
ZNF425,450.5,ZNF425
GTF2H2C,175.11111111111111,GTF2H2C
MC3R,323.0,MC3R
PCDHB1,818.0,PCDHB1
ACSM2B,313.0833333333333,ACSM2B
SPINK8,97.0,SPINK8
ZNF398,513.75,ZNF398
SLC5A4,659.0,SLC5A4
SYT4,269.5,SYT4
FTCDNL1,119.0,FTCDNL1
KCNJ8,269.0,KCNJ8
ARID3B,419.66666666666674,ARID3B
MAST4,783.5882352941177,MAST4
SOCS1,211.0,SOCS1
SRMS,488.0,SRMS
CTDNEP1,191.2,CTDNEP1
GPR78,312.0,GPR78
CYP1A1,369.6,CYP1A1
TUBGCP5,419.2105263157895,TUBGCP5
PPP1R14C,165.0,PPP1R14C
RAD51AP1,145.33333333333334,RAD51AP1
RGPD2,1756.0,RGPD2
TEX46,129.66666666666666,TEX46
CTC1,506.66666666666674,CTC1
SRGAP1,1043.0,SRGAP1
PRPF8,1466.25,PRPF8
CCDC194,234.0,CCDC194
BST2,180.0,BST2
RNF148,203.0,RNF148
TAF11L4,198.0,TAF11L4
AL353572.3,77.0,AL353572.3
PIGU,339.6666666666667,PIGU
TAF11L2,198.0,TAF11L2
MBD3L2,208.0,MBD3L2
KRT8,288.2,KRT8
NEUROG3,214.0,NEUROG3
KRTAP10-1,282.0,KRTAP10-1
PPCDC,124.71428571428572,PPCDC
ZNF287,526.3333333333334,ZNF287
ZNF160,508.625,ZNF160
MSANTD4,171.4,MSANTD4
AL136531.2,116.0,AL136531.2
KRTAP10-9,242.0,KRTAP10-9
PGLYRP1,196.0,PGLYRP1
NOA1,698.0,NOA1
SPATA31E1,1445.0,SPATA31E1
KYAT3,378.66666666666674,KYAT3
CAPG,273.0,CAPG
ACHE,423.23076923076917,ACHE
OVOL1,236.0,OVOL1
TTC36,95.0,TTC36
AL157935.2,293.0,AL157935.2
CLN8,222.84615384615384,CLN8
BCL2L12,205.1818181818182,BCL2L12
FLYWCH1,320.5555555555556,FLYWCH1
TSPY3,246.66666666666663,TSPY3
SHH,220.0,SHH
TFPI,177.9,TFPI
ZNF625-ZNF20,93.0,ZNF625-ZNF20
ZNF625,179.0,ZNF625
LRRC74A,184.6,LRRC74A
KRT72,365.2,KRT72
MOB3A,92.875,MOB3A
TMEM80,164.2,TMEM80
FAM122C,135.5625,FAM122C
MYL6,141.07142857142858,MYL6
TCEAL9,104.0,TCEAL9
PLCD1,766.5,PLCD1
RELN,2611.5,RELN
EMCN,185.6,EMCN
DRD4,419.0,DRD4
SLAIN2,305.5,SLAIN2
IP6K1,341.6,IP6K1
PCDHA7,863.0,PCDHA7
POLR1E,347.0,POLR1E
ASXL1,505.47058823529403,ASXL1
CPEB1,395.7407407407408,CPEB1
MARS2,593.0,MARS2
PCDHA3,887.0,PCDHA3
AGR2,153.25,AGR2
MTSS1L,450.5,MTSS1L
RAVER2,511.66666666666674,RAVER2
PRIMA1,138.5,PRIMA1
CKLF,97.33333333333331,CKLF
SLC24A2,652.5,SLC24A2
TMEM62,174.55555555555554,TMEM62
DPYSL3,326.0,DPYSL3
EMC4,100.6,EMC4
ITGAV,799.5,ITGAV
AL133353.2,185.0,AL133353.2
TLL2,1015.0,TLL2
AL162231.1,61.5,AL162231.1
MCM3,622.8333333333334,MCM3
ATP5PD,126.33333333333331,ATP5PD
AC129492.3,121.0,AC129492.3
RLBP1,165.33333333333334,RLBP1
NKX2-3,330.0,NKX2-3
RWDD2B,319.0,RWDD2B
MRPL58,156.33333333333334,MRPL58
TRMT6,412.0,TRMT6
RNASEH2C,180.6,RNASEH2C
