Genes,Isoform_No,Norm_Symbol
PRICKLE4,6,PRICKLE4
LLGL1,4,LLGL1
PGC,4,PGC
FGF1,13,FGF1
COBL,9,COBL
POLB,11,POLB
HOXB7,1,HOXB7
NKX1-2,1,NKX1-2
ARSE,4,ARSE
LYZL6,6,LYZL6
BCAS2,1,BCAS2
ZMYND8,20,ZMYND8
ARHGEF25,3,ARHGEF25
NDUFA12,6,NDUFA12
NDC1,1,NDC1
KCNG2,1,KCNG2
PDZK1IP1,2,PDZK1IP1
GRIP1,15,GRIP1
PHF3,10,PHF3
PPP1R37,2,PPP1R37
ARL6IP5,4,ARL6IP5
AHNAK2,2,AHNAK2
C8A,1,C8A
ADIPOR1,4,ADIPOR1
RABIF,1,RABIF
IRAK3,3,IRAK3
AC135068.1,1,AC135068.1
CES5A,16,CES5A
CALM1,8,CALM1
FYB2,1,FYB2
KLRC4-KLRK1,12,KLRC4-KLRK1
STX11,1,STX11
SF3B5,1,SF3B5
AL133410.,1,AL133410.
C6orf201,1,C6orf201
GOLGA8K,1,GOLGA8K
NADK,8,NADK
SUN5,4,SUN5
FBXO34,3,FBXO34
TP53TG5,1,TP53TG5
ACD,8,ACD
UQCC3,2,UQCC3
KRTAP9-3,2,KRTAP9-3
KRTAP9-2,3,KRTAP9-2
HINT3,1,HINT3
ZC3H18,6,ZC3H18
TPP2,2,TPP2
SP8,3,SP8
ANXA13,3,ANXA13
CACNG7,3,CACNG7
CLDN1,1,CLDN1
BCL7C,4,BCL7C
PPHLN1,18,PPHLN1
TMEM143,7,TMEM143
CFAP69,9,CFAP69
CYP4X1,1,CYP4X1
ZC2HC1B,1,ZC2HC1B
IQCF1,2,IQCF1
MAPRE1,1,MAPRE1
ITGA6,7,ITGA6
HIST1H2BB,1,HIST1H2BB
CDH19,5,CDH19
PRMT2,11,PRMT2
ID3,2,ID3
MAGIX,7,MAGIX
PCDH1,6,PCDH1
RBM3,3,RBM3
PPM1A,8,PPM1A
C9,1,C9
FAM19A3,2,FAM19A3
SPATC1L,4,SPATC1L
TNNT2,14,TNNT2
ZFPM1,4,ZFPM1
MFSD5,3,MFSD5
RIBC2,1,RIBC2
LAD1,6,LAD1
ZNF629,1,ZNF629
AL603832.3,3,AL603832.3
XG,4,XG
RMDN2,10,RMDN2
CSTF1,6,CSTF1
ABHD1,5,ABHD1
IL12B,1,IL12B
FCHO2,4,FCHO2
RBM8A,5,RBM8A
DIS3L,8,DIS3L
FLT4,5,FLT4
AC021072.1,1,AC021072.1
PPM1J,4,PPM1J
ADRA1B,2,ADRA1B
PREB,6,PREB
TRIM59,8,TRIM59
ZNF792,2,ZNF792
SLC4A10,6,SLC4A10
ADAT2,2,ADAT2
TTC1,3,TTC1
TMEM161B,9,TMEM161B
SCP2,15,SCP2
TGFBR3,7,TGFBR3
ANKRD34A,3,ANKRD34A
C3orf80,2,C3orf80
EBP,3,EBP
ARAP3,5,ARAP3
IFT80,15,IFT80
TXNIP,2,TXNIP
ME1,1,ME1
PWWP2A,6,PWWP2A
TRIM51GP,2,TRIM51GP
RHOC,16,RHOC
MGARP,1,MGARP
RNF144B,1,RNF144B
KDM3B,4,KDM3B
MAGEC1,2,MAGEC1
IGFN1,4,IGFN1
SMC1B,2,SMC1B
INF2,5,INF2
DMRT1,2,DMRT1
SCD,1,SCD
SFRP5,1,SFRP5
STK11IP,5,STK11IP
IL4R,14,IL4R
AC239799.1,1,AC239799.1
COPE,5,COPE
SNTN,3,SNTN
NOTCH2NLA,3,NOTCH2NLA
SHISA2,1,SHISA2
FIS1,6,FIS1
LIAS,17,LIAS
RPIA,1,RPIA
RHCG,6,RHCG
DOC2B,2,DOC2B
ITIH5,4,ITIH5
NBPF10,2,NBPF10
CASS4,2,CASS4
CLIC5,6,CLIC5
PKP1,3,PKP1
PRPS1L1,2,PRPS1L1
CD86,7,CD86
TMEM171,2,TMEM171
SEMA5A,2,SEMA5A
TBR1,3,TBR1
AC079594.2,1,AC079594.2
SMARCA5,1,SMARCA5
TG,10,TG
SMC4,13,SMC4
PABPC1L,10,PABPC1L
ID4,1,ID4
TMEM244,2,TMEM244
PARS2,1,PARS2
AGAP4,5,AGAP4
TTC22,3,TTC22
RNF6,3,RNF6
YAF2,12,YAF2
PPP1R1C,3,PPP1R1C
SLC35E2A,2,SLC35E2A
RYR1,8,RYR1
SLC6A2,10,SLC6A2
R3HDM1,12,R3HDM1
MAGEC2,1,MAGEC2
MYO15A,10,MYO15A
KRTAP4-1,2,KRTAP4-1
GPR142,3,GPR142
ABCG5,2,ABCG5
NAT10,5,NAT10
KRTAP4-8,4,KRTAP4-8
EPHX4,1,EPHX4
CERS4,9,CERS4
PTPN22,8,PTPN22
TMPRSS2,6,TMPRSS2
FBXO32,2,FBXO32
GNB3,6,GNB3
IPMK,1,IPMK
EID2,1,EID2
BPI,4,BPI
SPANXN4,2,SPANXN4
SLFNL1,5,SLFNL1
CD226,8,CD226
DHRS4,16,DHRS4
LHFPL1,1,LHFPL1
LIX1L,1,LIX1L
B3GAT3,5,B3GAT3
OTUD6B,5,OTUD6B
UNC80,3,UNC80
NALCN,3,NALCN
KIF14,2,KIF14
LPCAT2,2,LPCAT2
ATF1,5,ATF1
GC,5,GC
SLC15A2,3,SLC15A2
ESF1,2,ESF1
BANP,17,BANP
MYO5B,3,MYO5B
SYNE1,20,SYNE1
LHX9,7,LHX9
IGF2BP3,3,IGF2BP3
DEPDC4,8,DEPDC4
NOCT,2,NOCT
SMPDL3A,2,SMPDL3A
INHBE,2,INHBE
FBXO7,6,FBXO7
FRY,8,FRY
CCR1,1,CCR1
ACP4,1,ACP4
OR7D4,3,OR7D4
ST6GALNAC1,7,ST6GALNAC1
RPL10L,1,RPL10L
USP17L26,2,USP17L26
PAK6,14,PAK6
SLC39A8,3,SLC39A8
MOB3C,3,MOB3C
KIAA0753,8,KIAA0753
LMLN2,3,LMLN2
CA5A,5,CA5A
RGS1,2,RGS1
SMARCA4,43,SMARCA4
PTH,2,PTH
RTL8A,1,RTL8A
PGM5,3,PGM5
PFKFB4,8,PFKFB4
IKBIP,3,IKBIP
BBIP1,7,BBIP1
WDR19,8,WDR19
KCNA2,11,KCNA2
KCNA10,1,KCNA10
HDAC9,17,HDAC9
COPS8,5,COPS8
OC90,1,OC90
GLO1,1,GLO1
RAPGEF1,6,RAPGEF1
ARCN1,5,ARCN1
EIF3H,9,EIF3H
EPHA8,2,EPHA8
KRT79,2,KRT79
SCGB3A2,2,SCGB3A2
TSPY10,2,TSPY10
SATB2,7,SATB2
EOMES,3,EOMES
REST,9,REST
CYB561,15,CYB561
AC007375.1,1,AC007375.1
LRP11,2,LRP11
SSX1,1,SSX1
TCEAL3,3,TCEAL3
MYO5A,10,MYO5A
WDR54,3,WDR54
TSPY1,2,TSPY1
ZCWPW1,5,ZCWPW1
VWCE,5,VWCE
MYH6,2,MYH6
HAP1,7,HAP1
HS3ST3B1,2,HS3ST3B1
AGR3,3,AGR3
SF3B3,7,SF3B3
DCAF7,4,DCAF7
MCM8,5,MCM8
RSPO1,4,RSPO1
RPRM,1,RPRM
CTSD,11,CTSD
NVL,13,NVL
CCDC86,3,CCDC86
F2,3,F2
SHMT1,7,SHMT1
ARHGAP25,10,ARHGAP25
PPP1R7,13,PPP1R7
ZNF692,14,ZNF692
PSAT1,2,PSAT1
SMG1,11,SMG1
SNX24,6,SNX24
B2M,15,B2M
CENPX,6,CENPX
KLHL30,1,KLHL30
FUNDC1,1,FUNDC1
TLR5,5,TLR5
ADCY7,8,ADCY7
AADAT,7,AADAT
SGCD,4,SGCD
BLM,4,BLM
DISP1,1,DISP1
CELA2A,1,CELA2A
KRT85,2,KRT85
GOLGA2,8,GOLGA2
B3GNT4,4,B3GNT4
VWA3B,11,VWA3B
COL4A4,2,COL4A4
CDX1,2,CDX1
UTP4,17,UTP4
TRABD,4,TRABD
MZB1,5,MZB1
TAF1C,13,TAF1C
ZNF682,11,ZNF682
RPL22,6,RPL22
ABCA3,3,ABCA3
NHLRC4,2,NHLRC4
EYA4,8,EYA4
SYT13,3,SYT13
BEX5,2,BEX5
TRIP4,6,TRIP4
TERF2IP,3,TERF2IP
C9orf84,5,C9orf84
AKR7A2,4,AKR7A2
ZNF354C,1,ZNF354C
RAB21,1,RAB21
AL133414.2,1,AL133414.2
SH3BGRL2,1,SH3BGRL2
PLPPR4,3,PLPPR4
KLHL33,3,KLHL33
SCYGR2,1,SCYGR2
AL136295.5,1,AL136295.5
ZC4H2,3,ZC4H2
PPFIA3,6,PPFIA3
URGCP-MRPS24,1,URGCP-MRPS24
PTBP2,4,PTBP2
FSCN3,3,FSCN3
SNED1,7,SNED1
ST13,5,ST13
TMEM158,1,TMEM158
NECTIN3,8,NECTIN3
STX19,1,STX19
SCYGR1,1,SCYGR1
CHMP1A,4,CHMP1A
NAT14,4,NAT14
AMER1,2,AMER1
STAB2,3,STAB2
ZNF302,12,ZNF302
PDE6A,3,PDE6A
OCRL,5,OCRL
KCNA7,1,KCNA7
LARS,4,LARS
SCGB2B2,2,SCGB2B2
TBATA,2,TBATA
SNAI3,1,SNAI3
PPP2R5A,2,PPP2R5A
TGFB3,2,TGFB3
PTPN6,11,PTPN6
METAP1,8,METAP1
DEFA4,2,DEFA4
SRSF4,4,SRSF4
PRB1,12,PRB1
TMEM150B,6,TMEM150B
TMEM178A,2,TMEM178A
MAB21L4,5,MAB21L4
PRSS42,2,PRSS42
WASHC3,8,WASHC3
PBX4,3,PBX4
SULT1C3,1,SULT1C3
RUNDC1,2,RUNDC1
ST8SIA5,5,ST8SIA5
ZDHHC3,16,ZDHHC3
PIH1D3,3,PIH1D3
CCL11,1,CCL11
COPRS,5,COPRS
TNC,9,TNC
CD82,10,CD82
KLHL17,3,KLHL17
GPC6,2,GPC6
CD34,3,CD34
ZNF705D,2,ZNF705D
NIN,13,NIN
MS4A3,5,MS4A3
WIPI2,5,WIPI2
OBP2A,7,OBP2A
TMEM185B,1,TMEM185B
ARMC3,5,ARMC3
VIPR2,4,VIPR2
TEX22,2,TEX22
C1orf116,2,C1orf116
HEATR5A,7,HEATR5A
LRRC1,3,LRRC1
SPRED2,7,SPRED2
FPR1,4,FPR1
AFAP1L1,2,AFAP1L1
SLC20A2,8,SLC20A2
AC011511.1,1,AC011511.1
AMPD3,11,AMPD3
RGS17,2,RGS17
LDHC,10,LDHC
B4GALT4,14,B4GALT4
EMX1,3,EMX1
FAM153A,11,FAM153A
KCTD18,2,KCTD18
IFIH1,4,IFIH1
NUBP1,5,NUBP1
DIRAS2,3,DIRAS2
SH3KBP1,7,SH3KBP1
PIM3,1,PIM3
NKX2-8,1,NKX2-8
RNF185,4,RNF185
ITGA5,4,ITGA5
NTN1,2,NTN1
TMEM42,2,TMEM42
AGTR2,1,AGTR2
C6orf223,3,C6orf223
RBBP5,2,RBBP5
ALPG,1,ALPG
DTX3L,2,DTX3L
NDUFAF8,2,NDUFAF8
MED20,5,MED20
PRSS16,8,PRSS16
KIF15,12,KIF15
LRRC42,4,LRRC42
BTBD6,5,BTBD6
POU2F2,17,POU2F2
RPF1,2,RPF1
MOB3B,1,MOB3B
SPATA1,1,SPATA1
RAB31,4,RAB31
GAGE2A,1,GAGE2A
CKM,1,CKM
STRN3,6,STRN3
FOXE3,1,FOXE3
ZNF546,12,ZNF546
SIGLEC10,9,SIGLEC10
GAGE13,1,GAGE13
LTBP2,4,LTBP2
THAP7,2,THAP7
ERCC5,5,ERCC5
ARSH,1,ARSH
CHI3L1,2,CHI3L1
ABHD14A,5,ABHD14A
ZNF394,2,ZNF394
AC008750.8,1,AC008750.8
ZNF789,6,ZNF789
PASD1,1,PASD1
CD320,4,CD320
IL17C,1,IL17C
FAM83F,2,FAM83F
PLD4,5,PLD4
KANSL1L,8,KANSL1L
FAM221A,6,FAM221A
CLDN6,3,CLDN6
IGLON5,1,IGLON5
AAAS,5,AAAS
C1orf146,2,C1orf146
BMP8A,1,BMP8A
IDH2,4,IDH2
ZNF337,2,ZNF337
LGR6,5,LGR6
GYPA,15,GYPA
PSMD6,7,PSMD6
LDB2,8,LDB2
CHST15,4,CHST15
LCN2,3,LCN2
ARHGAP35,2,ARHGAP35
TDP1,15,TDP1
CES1,12,CES1
CSDC2,2,CSDC2
IQCF6,2,IQCF6
SLC22A17,7,SLC22A17
TMEM61,1,TMEM61
AMOT,5,AMOT
AC108488.2,1,AC108488.2
EMP3,7,EMP3
TMEM37,3,TMEM37
ZNF114,6,ZNF114
HIST1H2AB,1,HIST1H2AB
ELAVL2,7,ELAVL2
FOXP3,6,FOXP3
SIX6,1,SIX6
MFAP1,1,MFAP1
LGALS13,3,LGALS13
FUCA2,2,FUCA2
KLK10,5,KLK10
CLASRP,8,CLASRP
CAMK1D,3,CAMK1D
GINS1,1,GINS1
HIST1H1A,1,HIST1H1A
FGFR2,22,FGFR2
NPAT,3,NPAT
RUNX3,3,RUNX3
MAGI3,4,MAGI3
RBPJL,4,RBPJL
PDIA2,4,PDIA2
POC1B-GALNT4,2,POC1B-GALNT4
HOMER3,10,HOMER3
GRAMD1A,5,GRAMD1A
RSL24D1,3,RSL24D1
CRTAC1,5,CRTAC1
NDUFC1,7,NDUFC1
MYD88,8,MYD88
SLC17A3,7,SLC17A3
GHITM,1,GHITM
GCH1,5,GCH1
RARG,7,RARG
ASB6,3,ASB6
NCMAP,1,NCMAP
MIF,2,MIF
NUP205,5,NUP205
MAP3K11,6,MAP3K11
DNPEP,14,DNPEP
OR4C5,1,OR4C5
BTN3A3,9,BTN3A3
OR4S1,1,OR4S1
TSHR,8,TSHR
ZFYVE27,7,ZFYVE27
FAM185A,5,FAM185A
GSDMC,4,GSDMC
CNBD2,7,CNBD2
EOGT,8,EOGT
SLC17A1,4,SLC17A1
DIRC1,1,DIRC1
SLC16A10,5,SLC16A10
KLK4,5,KLK4
NXNL2,3,NXNL2
CAPN3,17,CAPN3
ZAR1L,2,ZAR1L
KREMEN2,6,KREMEN2
FPGS,7,FPGS
ALX1,1,ALX1
DCTN2,10,DCTN2
APOC1,9,APOC1
CIAO2A,5,CIAO2A
CTAGE1,4,CTAGE1
DMKN,47,DMKN
PPAN,5,PPAN
CREM,37,CREM
ZYG11A,3,ZYG11A
ASB15,7,ASB15
THNSL2,5,THNSL2
MDFIC,8,MDFIC
C2orf69,1,C2orf69
TMTC2,4,TMTC2
GPAA1,8,GPAA1
ZNF740,1,ZNF740
SLIT3,3,SLIT3
CXorf66,1,CXorf66
TMEM196,5,TMEM196
CXorf58,3,CXorf58
ROMO1,5,ROMO1
HIST1H2AA,1,HIST1H2AA
METTL25,4,METTL25
CFHR4,4,CFHR4
VPS39,3,VPS39
AC006254.1,1,AC006254.1
GPR150,1,GPR150
PTCD1,4,PTCD1
CRKL,2,CRKL
STIMATE,4,STIMATE
ITSN1,20,ITSN1
RPL26,10,RPL26
RPRML,1,RPRML
TASP1,3,TASP1
NEIL1,14,NEIL1
GRHL3,6,GRHL3
OR11H6,1,OR11H6
C19orf66,7,C19orf66
ACBD7,1,ACBD7
FAM186A,4,FAM186A
PHF21B,6,PHF21B
TNPO1,5,TNPO1
PRIM2,4,PRIM2
SMTN,16,SMTN
BCL3,2,BCL3
ZNF366,3,ZNF366
NCR3LG1,2,NCR3LG1
CLMN,5,CLMN
RAD51AP2,1,RAD51AP2
CCR3,6,CCR3
MXRA7,7,MXRA7
ISM1,1,ISM1
BUB1B-PAK6,4,BUB1B-PAK6
LNX1,7,LNX1
NOM1,1,NOM1
OR4K15,2,OR4K15
EXOSC10,3,EXOSC10
LYRM1,10,LYRM1
STRA8,1,STRA8
TVP23C,9,TVP23C
RANGRF,4,RANGRF
BARHL2,1,BARHL2
HMGCS2,2,HMGCS2
AK3,4,AK3
GOLGA6C,1,GOLGA6C
CCDC47,5,CCDC47
ELOVL7,7,ELOVL7
RBMXL2,1,RBMXL2
DENND1C,7,DENND1C
HTATIP2,8,HTATIP2
PPP1R12A,15,PPP1R12A
CDKN2A,11,CDKN2A
ABCC2,7,ABCC2
RBM15,5,RBM15
TWIST2,2,TWIST2
SF3A2,2,SF3A2
TSPO,5,TSPO
CD59,11,CD59
DYNLRB1,3,DYNLRB1
PYROXD1,6,PYROXD1
AP5B1,1,AP5B1
PRR20E,1,PRR20E
ZNF324,4,ZNF324
RPL17-C18orf32,3,RPL17-C18orf32
CKMT1A,6,CKMT1A
SMIM12,6,SMIM12
PRODH2,3,PRODH2
SLC35A2,18,SLC35A2
CELA3B,2,CELA3B
ATP12A,2,ATP12A
ZNF32,2,ZNF32
SLC25A41,3,SLC25A41
FTO,18,FTO
FGF2,4,FGF2
SPACA5,2,SPACA5
CTSL,3,CTSL
ACOX2,6,ACOX2
DUSP18,9,DUSP18
WNK2,8,WNK2
LZTS1,4,LZTS1
FGFRL1,6,FGFRL1
EGFLAM,9,EGFLAM
ERICH5,2,ERICH5
OSTF1,1,OSTF1
PRAMEF4,2,PRAMEF4
CLUH,8,CLUH
FGF10,2,FGF10
GJB1,7,GJB1
ZNF519,3,ZNF519
ASB16,3,ASB16
RETREG1,3,RETREG1
VEGFC,1,VEGFC
HBG1,2,HBG1
RNF213,4,RNF213
OR11H2,2,OR11H2
XKR4,2,XKR4
XKR7,1,XKR7
PXK,14,PXK
P4HTM,6,P4HTM
ADGRA3,5,ADGRA3
RPS19BP1,2,RPS19BP1
FAM166B,4,FAM166B
MIOS,6,MIOS
BECN1,13,BECN1
AC010646.1,1,AC010646.1
GRM7,11,GRM7
VSIG10L2,2,VSIG10L2
ABHD6,5,ABHD6
DCTN5,7,DCTN5
SYTL4,4,SYTL4
TPM4,19,TPM4
JAML,9,JAML
GAPT,4,GAPT
IGBP1,2,IGBP1
SMNDC1,2,SMNDC1
SLC25A20,3,SLC25A20
SULF1,11,SULF1
PAIP2B,1,PAIP2B
SEC13,9,SEC13
GATB,8,GATB
MED15,18,MED15
KCMF1,4,KCMF1
WRAP73,5,WRAP73
AC112229.3,1,AC112229.3
SPPL2A,3,SPPL2A
TSPAN7,5,TSPAN7
MTMR12,5,MTMR12
PMEPA1,7,PMEPA1
B3GNTL1,8,B3GNTL1
BIN1,11,BIN1
STARD8,4,STARD8
IGSF10,2,IGSF10
P2RY13,1,P2RY13
PARP16,4,PARP16
RAB19,3,RAB19
OR52J3,1,OR52J3
CALCA,5,CALCA
ZNF618,5,ZNF618
ZNF341,4,ZNF341
PAGR1,1,PAGR1
OR1S2,2,OR1S2
MRPS11,3,MRPS11
LACC1,3,LACC1
ISLR,4,ISLR
FAM243A,1,FAM243A
DNAJC15,1,DNAJC15
PWP2,2,PWP2
PHF13,1,PHF13
MRC1,1,MRC1
TMEM70,3,TMEM70
CLCN4,4,CLCN4
ETFA,13,ETFA
KLHL21,6,KLHL21
TENM4,5,TENM4
RABEP2,8,RABEP2
CNIH2,4,CNIH2
MFSD3,1,MFSD3
C16orf96,1,C16orf96
AC092835.1,2,AC092835.1
CRYGC,2,CRYGC
TMEM202,4,TMEM202
NRG4,12,NRG4
ZBTB44,8,ZBTB44
CEP192,11,CEP192
ZNF117,3,ZNF117
CXCL9,1,CXCL9
C7orf26,4,C7orf26
SLC16A12,2,SLC16A12
AC112504.2,1,AC112504.2
GRK7,1,GRK7
TBXAS1,10,TBXAS1
UPK3B,6,UPK3B
NAT1,6,NAT1
ATP11A,8,ATP11A
CENPC,4,CENPC
KCNA4,1,KCNA4
SERPINH1,16,SERPINH1
MOSPD3,6,MOSPD3
SPOCK3,26,SPOCK3
PLCL2,6,PLCL2
OR5J2,1,OR5J2
RIC1,6,RIC1
PSMA7,4,PSMA7
HMG20A,9,HMG20A
IL10RA,3,IL10RA
LRRC59,3,LRRC59
C11orf53,3,C11orf53
ANO10,14,ANO10
C7orf55-LUC7L2,1,C7orf55-LUC7L2
TNFAIP6,1,TNFAIP6
SSU72P5,1,SSU72P5
ZFPM2,4,ZFPM2
LRBA,9,LRBA
MAB21L2,1,MAB21L2
MAGEA2,9,MAGEA2
ZSCAN29,7,ZSCAN29
ACBD5,8,ACBD5
PPP2R2D,5,PPP2R2D
ZP3,4,ZP3
LIN7C,2,LIN7C
YDJC,3,YDJC
YWHAG,1,YWHAG
ZFP3,1,ZFP3
TRMT2A,7,TRMT2A
AC115220.1,1,AC115220.1
DHODH,5,DHODH
LIN54,8,LIN54
IMP4,6,IMP4
MT2A,2,MT2A
AC012254.2,3,AC012254.2
PLEKHA3,3,PLEKHA3
ANKRD34B,2,ANKRD34B
PLPPR3,7,PLPPR3
EXOC3,5,EXOC3
TMEM102,4,TMEM102
MRGPRD,1,MRGPRD
SPEM1,2,SPEM1
ATP5PF,7,ATP5PF
TSN,8,TSN
ANG,2,ANG
HPX,2,HPX
MCTS2P,1,MCTS2P
PLAG1,3,PLAG1
UPB1,3,UPB1
ALCAM,4,ALCAM
RAD23A,7,RAD23A
MRM2,4,MRM2
DSG4,2,DSG4
RHOXF2B,1,RHOXF2B
MRPL39,3,MRPL39
CLEC10A,5,CLEC10A
AC104532.1,1,AC104532.1
VMAC,1,VMAC
RHOXF2,1,RHOXF2
TP53TG3D,5,TP53TG3D
CBFA2T3,9,CBFA2T3
CAPS,3,CAPS
TAX1BP1,10,TAX1BP1
RHOXF1,1,RHOXF1
SPERT,4,SPERT
PIF1,3,PIF1
THRA,9,THRA
DDX3X,37,DDX3X
BUB1,6,BUB1
XRN1,7,XRN1
UTP3,1,UTP3
AGMO,3,AGMO
ANK2,19,ANK2
RAP1GAP,9,RAP1GAP
NEURL2,2,NEURL2
METTL4,6,METTL4
CAMLG,2,CAMLG
AC010542.3,1,AC010542.3
SLC25A30,7,SLC25A30
PHF12,13,PHF12
SRPX2,4,SRPX2
GSTCD,8,GSTCD
LYPD2,1,LYPD2
TMPRSS3,5,TMPRSS3
MTERF3,5,MTERF3
OR51V1,2,OR51V1
MYORG,2,MYORG
MACROD1,1,MACROD1
CCL17,2,CCL17
AP000721.1,1,AP000721.1
RBMY1F,2,RBMY1F
CSN3,1,CSN3
AC015688.4,2,AC015688.4
AC009477.2,1,AC009477.2
AC008763.2,3,AC008763.2
PRG3,1,PRG3
PJA1,6,PJA1
C3orf62,3,C3orf62
GH1,5,GH1
AC127029.3,1,AC127029.3
NOP56,4,NOP56
MYO9B,10,MYO9B
FLOT2,6,FLOT2
KREMEN1,4,KREMEN1
ARHGAP28,13,ARHGAP28
FAM131B,8,FAM131B
PATE4,2,PATE4
TM4SF1,4,TM4SF1
FAM172A,5,FAM172A
AL365273.2,1,AL365273.2
EGR3,3,EGR3
PEBP4,2,PEBP4
SHISA3,1,SHISA3
CFAP47,5,CFAP47
PRDM7,4,PRDM7
PTDSS2,4,PTDSS2
AC004593.3,2,AC004593.3
THADA,10,THADA
TMOD3,4,TMOD3
LDLRAD4,9,LDLRAD4
CCL28,3,CCL28
RAX2,2,RAX2
AQR,3,AQR
OR51F1,2,OR51F1
ANAPC11,22,ANAPC11
KIF22,7,KIF22
SPRN,1,SPRN
LRRC37A3,9,LRRC37A3
MLLT6,6,MLLT6
PPM1E,1,PPM1E
MALL,3,MALL
FIGLA,1,FIGLA
GTF3C3,8,GTF3C3
AC036214.3,1,AC036214.3
ERMN,9,ERMN
KLHL14,3,KLHL14
CCSER1,10,CCSER1
CDIP1,26,CDIP1
FAU,8,FAU
IFITM5,1,IFITM5
ADARB2,3,ADARB2
CALY,3,CALY
TRAPPC8,6,TRAPPC8
ZNF778,5,ZNF778
CSF2RB,4,CSF2RB
ABCG1,7,ABCG1
IL12RB1,6,IL12RB1
BAZ1B,2,BAZ1B
C11orf54,14,C11orf54
LRRTM3,1,LRRTM3
MESD,5,MESD
C19orf38,2,C19orf38
MYEOV,3,MYEOV
NKX1-1,1,NKX1-1
ZDHHC4,7,ZDHHC4
MED17,18,MED17
MAN2B2,3,MAN2B2
RPAIN,11,RPAIN
ARHGAP19,5,ARHGAP19
CDH8,7,CDH8
TBC1D3L,3,TBC1D3L
CUEDC1,7,CUEDC1
SGTB,2,SGTB
AMOTL1,3,AMOTL1
AMPH,4,AMPH
AC084337.2,2,AC084337.2
SCNN1B,6,SCNN1B
ARFIP2,7,ARFIP2
LIMS3,4,LIMS3
GIPC3,3,GIPC3
ALG8,17,ALG8
RRM1,6,RRM1
AP003071.5,1,AP003071.5
POMGNT2,2,POMGNT2
ACTN3,3,ACTN3
TONSL,4,TONSL
PPP1R3G,1,PPP1R3G
CSAG1,4,CSAG1
RPSA,4,RPSA
HP,14,HP
ROPN1B,7,ROPN1B
SLC7A7,16,SLC7A7
CFD,4,CFD
SHTN1,5,SHTN1
TWNK,8,TWNK
TGM5,5,TGM5
HOMER2,4,HOMER2
STARD4,7,STARD4
CCDC124,3,CCDC124
ADIG,4,ADIG
RASD2,1,RASD2
CCDC14,13,CCDC14
C15orf40,9,C15orf40
UBE2V2,7,UBE2V2
PPP1R27,2,PPP1R27
TMEM92,2,TMEM92
TTC34,3,TTC34
PCDH9,5,PCDH9
SELENOS,4,SELENOS
GP9,1,GP9
AL157392.5,3,AL157392.5
OGN,3,OGN
TLE6,4,TLE6
SPEM3,2,SPEM3
RPL10,11,RPL10
FN3KRP,7,FN3KRP
MYO16,8,MYO16
DZIP1L,5,DZIP1L
FAM9B,4,FAM9B
SLIT2,9,SLIT2
LRRC15,2,LRRC15
EMC8,3,EMC8
SLC9B2,7,SLC9B2
REM1,1,REM1
PYCR1,17,PYCR1
TEX36,3,TEX36
FSTL1,4,FSTL1
SSX2IP,7,SSX2IP
VCX3A,3,VCX3A
TRIM52,1,TRIM52
GNG3,1,GNG3
CTDSPL2,7,CTDSPL2
SLC26A9,3,SLC26A9
PCDHGA2,2,PCDHGA2
PRKAR1B,10,PRKAR1B
SMOC1,2,SMOC1
MDM1,8,MDM1
ANKRD9,5,ANKRD9
ADGRF4,3,ADGRF4
OCIAD2,5,OCIAD2
HPSE2,6,HPSE2
HAUS1,8,HAUS1
NTN4,5,NTN4
ATP5F1A,14,ATP5F1A
RECK,1,RECK
TTLL6,6,TTLL6
FILIP1,3,FILIP1
PARP9,6,PARP9
LEF1,8,LEF1
ASAP1,9,ASAP1
MARF1,14,MARF1
KRT36,2,KRT36
ABCC3,9,ABCC3
HIST1H2BE,2,HIST1H2BE
HIST1H4D,1,HIST1H4D
ATG16L1,20,ATG16L1
PCDHB8,1,PCDHB8
CXCR4,2,CXCR4
BICDL2,4,BICDL2
WNT1,2,WNT1
CAPN10,11,CAPN10
GAGE12E,1,GAGE12E
WDR35,5,WDR35
PPP1R15B,1,PPP1R15B
GAGE12H,1,GAGE12H
NKIRAS2,12,NKIRAS2
SBF2,4,SBF2
HS3ST1,3,HS3ST1
FAP,7,FAP
KISS1,2,KISS1
HOXB8,3,HOXB8
ERI3,8,ERI3
FAM20C,3,FAM20C
EEF1AKMT2,4,EEF1AKMT2
NUDT14,2,NUDT14
OR5P3,5,OR5P3
TMEM65,1,TMEM65
NPIPA1,6,NPIPA1
MARCKSL1,1,MARCKSL1
LAX1,2,LAX1
SREK1IP1,1,SREK1IP1
SOX5,14,SOX5
FAM160A2,3,FAM160A2
GU182352.2,1,GU182352.2
NKG7,5,NKG7
DSCAML1,3,DSCAML1
PDE8B,9,PDE8B
ETFB,3,ETFB
ACLY,7,ACLY
AC135068.3,1,AC135068.3
METTL21C,1,METTL21C
ANKRA2,2,ANKRA2
PARP3,5,PARP3
SWAP70,5,SWAP70
KLRK1,3,KLRK1
UAP1L1,3,UAP1L1
FAM171A1,2,FAM171A1
ETNK1,4,ETNK1
RAB9A,3,RAB9A
KDR,2,KDR
HOXB5,1,HOXB5
LEUTX,4,LEUTX
LUZP2,4,LUZP2
RDM1,29,RDM1
ZNRF1,6,ZNRF1
GPR37L1,1,GPR37L1
SLITRK2,3,SLITRK2
MOCS1,5,MOCS1
