Genes,Domain Number,Norm_Symbol
POLR3H,2,POLR3H
OXA1L,1,OXA1L
DDX23,2,DDX23
MBD4,1,MBD4
MMRN2,2,MMRN2
NDUFA2,1,NDUFA2
RYR3,8,RYR3
TBPL1,1,TBPL1
TUBA3C,2,TUBA3C
LRRTM1,1,LRRTM1
RND1,1,RND1
NKX2-4,1,NKX2-4
FAM25A,1,FAM25A
FNDC5,2,FNDC5
USP6NL,1,USP6NL
SEPTIN6,1,SEPTIN6
PIGN,3,PIGN
CXorf38,1,CXorf38
MAST1,3,MAST1
PTCHD4,1,PTCHD4
NKX2-2,1,NKX2-2
ERVV-2,1,ERVV-2
REG3A,1,REG3A
GU182355.2,1,GU182355.2
GATA1,1,GATA1
RPS6KA4,2,RPS6KA4
PRPS1L1,2,PRPS1L1
RHOB,1,RHOB
SLC2A14,1,SLC2A14
PRDX2,2,PRDX2
FKBP11,1,FKBP11
MYOZ1,1,MYOZ1
EPHB4,6,EPHB4
GGA2,4,GGA2
RPLP2,1,RPLP2
CAV1,1,CAV1
ZNF780B,3,ZNF780B
RNASEH2A,1,RNASEH2A
TRIL,2,TRIL
NCSTN,2,NCSTN
CWC27,1,CWC27
COA8,1,COA8
PEX1,4,PEX1
NDOR1,3,NDOR1
ADRA2C,1,ADRA2C
ZNF780A,2,ZNF780A
BX255925.3,1,BX255925.3
IKZF1,1,IKZF1
ANKRD20A4,2,ANKRD20A4
TMPRSS15,6,TMPRSS15
TENM3,2,TENM3
ARF3,1,ARF3
SLC12A9,2,SLC12A9
BRWD1,2,BRWD1
CTNNA2,1,CTNNA2
FHL5,1,FHL5
PDE12,1,PDE12
SLC5A9,1,SLC5A9
TUBD1,1,TUBD1
TRPC7,3,TRPC7
GU182355.4,1,GU182355.4
CCDC65,1,CCDC65
MSC,1,MSC
RTBDN,1,RTBDN
LRSAM1,3,LRSAM1
TYK2,4,TYK2
GU182355.1,1,GU182355.1
AC073610.2,1,AC073610.2
GU182355.6,1,GU182355.6
GU182355.3,1,GU182355.3
TRAF3IP1,2,TRAF3IP1
AC004593.3,3,AC004593.3
LTBP2,3,LTBP2
NEUROD2,2,NEUROD2
UBE2D4,1,UBE2D4
MS4A3,1,MS4A3
GRPEL2,1,GRPEL2
TNS2,3,TNS2
OPRM1,1,OPRM1
GU182355.7,1,GU182355.7
TRPA1,4,TRPA1
JUNB,2,JUNB
KDM5C,6,KDM5C
GU182355.5,1,GU182355.5
TRIM71,3,TRIM71
EIF4E2,1,EIF4E2
P2RX3,1,P2RX3
ZIK1,2,ZIK1
CCR4,1,CCR4
SYP,1,SYP
SPDYE1,1,SPDYE1
PSMA7,2,PSMA7
MRPL33,1,MRPL33
GCM1,1,GCM1
ZNF416,2,ZNF416
GFI1,1,GFI1
IFI35,2,IFI35
CA10,1,CA10
FSD2,2,FSD2
FXN,1,FXN
RRN3,1,RRN3
TBC1D2B,2,TBC1D2B
C7orf33,1,C7orf33
GSC,1,GSC
TAF3,2,TAF3
ZNF682,2,ZNF682
EFHD1,1,EFHD1
AL358113.1,3,AL358113.1
LIMS4,1,LIMS4
TSPAN15,1,TSPAN15
MYLK4,1,MYLK4
PGM1,4,PGM1
ZNF160,2,ZNF160
EVI5,1,EVI5
SPRYD3,1,SPRYD3
ZNF211,3,ZNF211
ANAPC10,1,ANAPC10
SYNPO2L,1,SYNPO2L
CPVL,1,CPVL
ZBED5,1,ZBED5
CNKSR3,4,CNKSR3
PRMT3,1,PRMT3
PRG3,1,PRG3
MGRN1,1,MGRN1
BABAM2,1,BABAM2
HNF4G,2,HNF4G
ZNF154,2,ZNF154
UQCRFS1,3,UQCRFS1
NRCAM,4,NRCAM
AC138811.2,1,AC138811.2
FBLN5,2,FBLN5
AGAP5,2,AGAP5
SGCE,1,SGCE
ZSCAN4,2,ZSCAN4
AC003006.1,1,AC003006.1
SLC7A6OS,1,SLC7A6OS
VAPB,1,VAPB
ZNF134,1,ZNF134
VSTM2B,1,VSTM2B
ZNF530,2,ZNF530
CHN2,3,CHN2
SOWAHD,1,SOWAHD
ITGB3BP,1,ITGB3BP
ZNF415,2,ZNF415
BLCAP,1,BLCAP
ERBB2,4,ERBB2
ZNF671,2,ZNF671
RPL39,1,RPL39
GFM1,5,GFM1
PCBP3,1,PCBP3
CRTC3,3,CRTC3
ZNF776,2,ZNF776
COL11A1,4,COL11A1
PAIP1,2,PAIP1
ABCB11,2,ABCB11
ZNF551,2,ZNF551
MAN2B2,4,MAN2B2
LXN,1,LXN
ELOVL7,1,ELOVL7
DNAJC13,2,DNAJC13
GPR63,1,GPR63
GALR1,1,GALR1
ZNF347,2,ZNF347
YIPF5,1,YIPF5
ANGPTL7,1,ANGPTL7
TBC1D3K,1,TBC1D3K
SLC7A6,1,SLC7A6
EFCAB7,1,EFCAB7
CYSRT1,1,CYSRT1
FRG2,1,FRG2
PRG2,1,PRG2
COPA,4,COPA
RNF224,1,RNF224
ASB1,2,ASB1
DNPEP,1,DNPEP
CUL1,2,CUL1
UPF3B,1,UPF3B
RINL,1,RINL
MIEN1,1,MIEN1
REEP2,1,REEP2
RSPRY1,2,RSPRY1
IPCEF1,1,IPCEF1
SLC34A3,1,SLC34A3
RPS15A,1,RPS15A
RBKS,1,RBKS
PPP6R2,1,PPP6R2
RLBP1,2,RLBP1
PGAP3,1,PGAP3
PRDM13,1,PRDM13
PCYOX1L,2,PCYOX1L
AL357075.5,5,AL357075.5
UBE4B,2,UBE4B
MED11,1,MED11
IPO8,2,IPO8
EPB41L5,4,EPB41L5
TUBB4B,2,TUBB4B
TBC1D3L,1,TBC1D3L
MTOR,5,MTOR
CDC34,1,CDC34
NDUFAF4,1,NDUFAF4
TMEM54,1,TMEM54
ANTXR1,3,ANTXR1
FAM166A,1,FAM166A
NPIPB3,1,NPIPB3
ATP5MC3,1,ATP5MC3
SPDYC,1,SPDYC
DRD3,1,DRD3
AMY2B,2,AMY2B
C9orf152,1,C9orf152
PTPN6,2,PTPN6
TPTE2,2,TPTE2
KIF2B,1,KIF2B
ADGRG3,2,ADGRG3
HPCA,2,HPCA
ZMYND15,1,ZMYND15
PAX1,1,PAX1
MYO1H,2,MYO1H
TBC1D3D,1,TBC1D3D
ZNF80,1,ZNF80
DHRS9,1,DHRS9
COL24A1,3,COL24A1
MRPL14,1,MRPL14
ARFGAP1,1,ARFGAP1
ADCY3,2,ADCY3
OR1J1,1,OR1J1
MTCP1,1,MTCP1
OR1J2,1,OR1J2
TMEM106C,1,TMEM106C
GYPA,1,GYPA
NRBP1,1,NRBP1
ZNF486,2,ZNF486
ECHDC3,1,ECHDC3
OR1J4,1,OR1J4
OR1Q1,1,OR1Q1
PARD6A,2,PARD6A
RNPC3,1,RNPC3
OR1L8,1,OR1L8
CMC4,1,CMC4
FAM83A,1,FAM83A
SBF1,6,SBF1
OR1N2,1,OR1N2
LPL,2,LPL
KCTD10,1,KCTD10
TBC1D3C,1,TBC1D3C
OR1B1,1,OR1B1
CSN2,1,CSN2
OR1N1,1,OR1N1
PTRHD1,1,PTRHD1
ZNF90,2,ZNF90
STPG3,1,STPG3
KCTD16,1,KCTD16
SLC43A3,1,SLC43A3
TMEM63B,3,TMEM63B
CRKL,3,CRKL
MAPK15,1,MAPK15
CENPO,1,CENPO
DLL3,3,DLL3
HHIP,2,HHIP
GGACT,1,GGACT
CMTR2,1,CMTR2
H2BFS,1,H2BFS
SLFN12,1,SLFN12
TRPC6,3,TRPC6
ARF4,1,ARF4
ACTL7B,1,ACTL7B
SPATA6,1,SPATA6
ZFHX4,3,ZFHX4
NHLH1,1,NHLH1
ACTL7A,2,ACTL7A
KLRK1,1,KLRK1
BRCC3,2,BRCC3
PLCB1,7,PLCB1
VANGL2,1,VANGL2
TARBP2,1,TARBP2
TMPPE,1,TMPPE
RARRES1,1,RARRES1
NEUROG3,1,NEUROG3
GYPB,1,GYPB
TXN,1,TXN
RNFT1,1,RNFT1
STK40,1,STK40
SLAMF6,1,SLAMF6
AMY2A,2,AMY2A
ZNF484,2,ZNF484
MS4A2,1,MS4A2
AL133414.5,1,AL133414.5
MET,4,MET
ZNF665,2,ZNF665
NGB,1,NGB
TMEM151A,1,TMEM151A
PRSS16,1,PRSS16
INVS,3,INVS
MYD88,2,MYD88
CD248,2,CD248
MARCH10,1,MARCH10
OGFRL1,1,OGFRL1
VPS28,1,VPS28
AL133414.4,1,AL133414.4
DIPK1A,2,DIPK1A
ZFP14,3,ZFP14
UGGT2,6,UGGT2
SECISBP2L,1,SECISBP2L
AL133414.3,1,AL133414.3
ELOVL5,1,ELOVL5
AL133414.1,1,AL133414.1
NPHP3,2,NPHP3
CAPN1,3,CAPN1
BEND5,1,BEND5
PCCA,5,PCCA
IFI6,1,IFI6
SLC6A5,1,SLC6A5
RPL5,2,RPL5
TEX10,1,TEX10
CALB2,2,CALB2
NPHP3-ACAD11,2,NPHP3-ACAD11
AGBL4,2,AGBL4
ACKR4,1,ACKR4
TBC1D3E,1,TBC1D3E
GLB1,2,GLB1
GABRR3,2,GABRR3
PDE4A,2,PDE4A
SLAMF1,1,SLAMF1
SLFN13,2,SLFN13
BRI3,1,BRI3
TBC1D3,1,TBC1D3
GHRHR,2,GHRHR
RPS6KB1,2,RPS6KB1
BAIAP2L1,2,BAIAP2L1
CD48,2,CD48
SPATA19,1,SPATA19
TSEN54,1,TSEN54
CDC37,3,CDC37
ZNF677,2,ZNF677
GK5,2,GK5
NOS2,4,NOS2
MMUT,2,MMUT
AMY1A,2,AMY1A
SRPX2,3,SRPX2
UBA5,1,UBA5
ZFP82,2,ZFP82
HS1BP3,1,HS1BP3
OTUD4,1,OTUD4
SELENOV,1,SELENOV
MRPL45,1,MRPL45
LYRM9,1,LYRM9
LNPK,1,LNPK
L1TD1,2,L1TD1
SS18L1,1,SS18L1
STATH,1,STATH
IL17B,1,IL17B
MFSD1,1,MFSD1
HIF3A,3,HIF3A
AC005697.1,1,AC005697.1
FREM3,2,FREM3
VN1R2,1,VN1R2
SALL3,2,SALL3
PLEKHH2,3,PLEKHH2
NOP53,1,NOP53
PLLP,1,PLLP
FAM83H,1,FAM83H
GPR179,1,GPR179
CENPQ,1,CENPQ
SOX3,2,SOX3
SYTL1,2,SYTL1
ARL2BP,1,ARL2BP
GLYATL3,2,GLYATL3
TRPM5,2,TRPM5
NDUFA1,1,NDUFA1
RNF113A,2,RNF113A
NDUFAF1,1,NDUFAF1
TIGIT,1,TIGIT
MPHOSPH8,2,MPHOSPH8
MRPL48,1,MRPL48
KANK4,3,KANK4
ACAD11,4,ACAD11
ENKD1,1,ENKD1
ZNF200,1,ZNF200
C16orf86,1,C16orf86
APCDD1L,1,APCDD1L
CATSPER4,1,CATSPER4
KLHL32,3,KLHL32
REXO1,2,REXO1
SMAP2,1,SMAP2
OR1F1,1,OR1F1
TUFM,3,TUFM
LOXHD1,1,LOXHD1
CCL22,1,CCL22
HAS2,1,HAS2
TANC2,4,TANC2
SOCS7,2,SOCS7
TMPRSS6,3,TMPRSS6
GABRG1,2,GABRG1
NR2E3,2,NR2E3
MTF2,3,MTF2
IGSF9B,2,IGSF9B
PRR5,1,PRR5
ANXA3,1,ANXA3
TM4SF5,1,TM4SF5
ABCE1,3,ABCE1
ZNF566,3,ZNF566
STX5,2,STX5
HS6ST3,1,HS6ST3
WNT10B,1,WNT10B
PLD1,4,PLD1
MARCH5,1,MARCH5
TXNDC8,1,TXNDC8
FAIM,1,FAIM
EGR1,3,EGR1
WNT1,1,WNT1
SYTL4,2,SYTL4
SLFN12L,1,SLFN12L
AL133414.6,1,AL133414.6
KIAA0556,1,KIAA0556
AL133414.2,1,AL133414.2
CX3CL1,1,CX3CL1
GZMM,1,GZMM
TARS,4,TARS
KLF16,1,KLF16
SENP8,1,SENP8
AKTIP,1,AKTIP
C8orf76,1,C8orf76
CCL17,1,CCL17
FOXD4L5,1,FOXD4L5
CACNG2,1,CACNG2
ARNTL,3,ARNTL
MYH3,3,MYH3
ZBTB20,2,ZBTB20
DIAPH3,4,DIAPH3
ZHX1-C8orf76,1,ZHX1-C8orf76
DDC,1,DDC
HPX,1,HPX
RBL2,3,RBL2
ZHX1,3,ZHX1
SELENOW,1,SELENOW
PRR5-ARHGAP8,3,PRR5-ARHGAP8
SOX11,1,SOX11
TLE2,2,TLE2
MSL3,2,MSL3
ZNF260,2,ZNF260
MGAT5B,1,MGAT5B
ZNF587,2,ZNF587
SERINC2,1,SERINC2
ZNF382,2,ZNF382
GFOD2,1,GFOD2
ZNF552,2,ZNF552
DENND6A,2,DENND6A
AC010522.1,1,AC010522.1
NNT,4,NNT
SH3TC1,1,SH3TC1
ZNF587B,2,ZNF587B
CCDC33,1,CCDC33
FIGNL1,2,FIGNL1
ZNF529,2,ZNF529
CASK,5,CASK
TLE7,1,TLE7
CD47,2,CD47
ZNF586,3,ZNF586
AP000295.1,2,AP000295.1
PPP1R1B,1,PPP1R1B
MAP3K10,2,MAP3K10
KMT2D,6,KMT2D
LAMA1,6,LAMA1
DR1,1,DR1
EXOSC9,2,EXOSC9
F11,2,F11
DDN,1,DDN
ZNF814,2,ZNF814
SLFN14,1,SLFN14
NELFB,1,NELFB
CAPRIN2,3,CAPRIN2
TOR4A,1,TOR4A
ST8SIA6,1,ST8SIA6
LRRK1,4,LRRK1
NRARP,1,NRARP
MYO9A,4,MYO9A
MTNR1A,1,MTNR1A
ZNF417,2,ZNF417
PRKAG1,1,PRKAG1
ARHGAP8,2,ARHGAP8
NPIPA1,1,NPIPA1
LGALS13,1,LGALS13
CCNA2,3,CCNA2
BSG,1,BSG
RANBP10,3,RANBP10
EVX2,1,EVX2
AMY1B,2,AMY1B
ISX,1,ISX
GLUD1,2,GLUD1
PAAF1,1,PAAF1
ANGPTL5,1,ANGPTL5
GPR82,1,GPR82
C6,4,C6
SHLD2,1,SHLD2
PSPC1,2,PSPC1
CLCA2,1,CLCA2
KDM3A,1,KDM3A
ABI3BP,1,ABI3BP
IFNAR2,2,IFNAR2
ZNF479,2,ZNF479
USP1,1,USP1
PKN3,3,PKN3
CEP126,1,CEP126
UBE2D3,1,UBE2D3
TMED5,1,TMED5
CLCA1,2,CLCA1
AMY1C,2,AMY1C
EXD3,2,EXD3
NDUFB7,1,NDUFB7
HOXD13,2,HOXD13
ZDHHC12,1,ZDHHC12
HOXD12,1,HOXD12
ALDH1A3,1,ALDH1A3
MYH6,3,MYH6
LGALS16,1,LGALS16
IL10RB,2,IL10RB
RBM26,2,RBM26
COL7A1,4,COL7A1
HOXD10,1,HOXD10
VN1R4,1,VN1R4
HOXD11,2,HOXD11
NMRK2,1,NMRK2
RAPGEF2,4,RAPGEF2
PRELID2,1,PRELID2
KHDC1L,1,KHDC1L
ZNF845,2,ZNF845
CLCA4,2,CLCA4
RNASEH2C,1,RNASEH2C
VMO1,1,VMO1
OR5AC2,1,OR5AC2
CARHSP1,1,CARHSP1
ZCWPW1,2,ZCWPW1
NUMB,2,NUMB
ENTPD8,1,ENTPD8
KHDC1,1,KHDC1
SLC6A16,1,SLC6A16
MED14,1,MED14
POLR1B,6,POLR1B
GLTPD2,1,GLTPD2
RTF1,1,RTF1
SPAG6,1,SPAG6
PPY,1,PPY
ZNF525,2,ZNF525
PSMB6,1,PSMB6
FAM241B,1,FAM241B
SCO1,1,SCO1
TWIST2,1,TWIST2
OR5H1,1,OR5H1
ITPKA,1,ITPKA
HIST1H1E,1,HIST1H1E
VPREB1,1,VPREB1
OR5H14,1,OR5H14
ARHGAP23,3,ARHGAP23
GCK,2,GCK
PYY,1,PYY
BRMS1,1,BRMS1
PEX12,1,PEX12
SH2B1,3,SH2B1
MEPCE,2,MEPCE
SH3GLB1,2,SH3GLB1
NOXA1,3,NOXA1
POM121L2,1,POM121L2
ZNF765,2,ZNF765
HIST1H4D,1,HIST1H4D
HIST1H2BE,1,HIST1H2BE
TMEM220,1,TMEM220
HIST1H2AD,2,HIST1H2AD
TUBB8,2,TUBB8
SPOCK1,3,SPOCK1
VAT1,3,VAT1
HIST1H2BD,1,HIST1H2BD
NOTO,1,NOTO
WDR74,1,WDR74
HIST1H3D,1,HIST1H3D
UBE3B,2,UBE3B
HIST1H2BF,1,HIST1H2BF
AC136428.1,1,AC136428.1
FOXA1,3,FOXA1
AL031777.3,2,AL031777.3
NDFIP2,1,NDFIP2
LSM10,1,LSM10
UBFD1,1,UBFD1
RIN1,2,RIN1
OXGR1,1,OXGR1
KATNB1,2,KATNB1
ADPRM,1,ADPRM
GDF7,2,GDF7
OR5H15,1,OR5H15
TMEM238L,1,TMEM238L
PIRT,1,PIRT
POP4,1,POP4
LRRC30,1,LRRC30
EARS2,1,EARS2
MX1,3,MX1
STRA6,1,STRA6
COL2A1,3,COL2A1
TTC6,4,TTC6
SMYD5,1,SMYD5
HAGH,2,HAGH
ROR1,4,ROR1
TINF2,1,TINF2
FOXA2,3,FOXA2
CFAP300,1,CFAP300
UBXN11,2,UBXN11
OR5K4,1,OR5K4
CAPN11,3,CAPN11
OR5H6,1,OR5H6
KAT5,3,KAT5
HIST1H4E,1,HIST1H4E
MTA2,4,MTA2
NAGS,1,NAGS
FAHD1,1,FAHD1
OR5H2,1,OR5H2
OR5K3,1,OR5K3
MCHR2,1,MCHR2
PROSER2,1,PROSER2
RND2,1,RND2
UBE2U,1,UBE2U
HIST1H2BG,1,HIST1H2BG
ELOVL2,1,ELOVL2
TRIP12,2,TRIP12
C17orf50,1,C17orf50
MEIOB,1,MEIOB
ABAT,1,ABAT
SLAMF7,1,SLAMF7
PRMT7,1,PRMT7
CLEC17A,1,CLEC17A
FBXO36,1,FBXO36
MCAM,4,MCAM
CD52,1,CD52
LDAH,1,LDAH
CACHD1,2,CACHD1
ADAMTS6,6,ADAMTS6
SH3BGRL3,1,SH3BGRL3
MBNL2,2,MBNL2
PMM2,1,PMM2
CCT5,1,CCT5
FST,2,FST
DMBT1,3,DMBT1
PIK3CB,5,PIK3CB
SH2D7,1,SH2D7
HOXD9,2,HOXD9
HOXD4,1,HOXD4
ERVFRD-1,1,ERVFRD-1
MRFAP1,1,MRFAP1
PRADC1,1,PRADC1
SMIM13,1,SMIM13
OTOP1,1,OTOP1
KAT6B,4,KAT6B
HOXD3,2,HOXD3
TERF1,2,TERF1
HIST1H2AE,2,HIST1H2AE
RAP2A,1,RAP2A
HIST1H3E,1,HIST1H3E
ELP1,1,ELP1
KCNB2,3,KCNB2
TINAGL1,1,TINAGL1
SEC14L1,3,SEC14L1
SBSPON,1,SBSPON
IDH3A,1,IDH3A
PLIN4,1,PLIN4
RRP1B,1,RRP1B
CTNNBL1,1,CTNNBL1
GIPC3,1,GIPC3
C1QTNF6,2,C1QTNF6
LGALS14,1,LGALS14
ADGRF3,3,ADGRF3
AREL1,2,AREL1
YKT6,2,YKT6
TOM1L1,2,TOM1L1
HOXD8,1,HOXD8
TRIM3,4,TRIM3
ETF1,3,ETF1
ZNF66,2,ZNF66
SELENOI,1,SELENOI
HOXD1,1,HOXD1
IL2RB,1,IL2RB
ARIH1,1,ARIH1
AC093323.1,1,AC093323.1
TSNAXIP1,1,TSNAXIP1
CBL,5,CBL
ZNF737,2,ZNF737
HIST1H1D,1,HIST1H1D
PLAGL1,2,PLAGL1
TTC9B,1,TTC9B
HIST1H4F,1,HIST1H4F
FUT11,2,FUT11
PLEKHF1,2,PLEKHF1
OSCP1,1,OSCP1
TEAD2,2,TEAD2
DTD2,1,DTD2
HIST1H3F,1,HIST1H3F
CNTD2,2,CNTD2
IQSEC2,2,IQSEC2
AL845331.2,1,AL845331.2
NPFF,1,NPFF
PNPLA2,1,PNPLA2
HIST1H2BH,1,HIST1H2BH
SPANXB1,1,SPANXB1
NEDD9,4,NEDD9
SSTR4,1,SSTR4
ZNF626,2,ZNF626
ZFYVE28,1,ZFYVE28
LDOC1,1,LDOC1
COL4A2,2,COL4A2
HIST1H3G,1,HIST1H3G
CYB561,1,CYB561
MAP3K6,2,MAP3K6
RGPD6,5,RGPD6
CIB2,1,CIB2
THBD,5,THBD
HIST1H2BI,1,HIST1H2BI
ZHX2,2,ZHX2
C10orf105,1,C10orf105
ZBTB4,1,ZBTB4
SLC18A1,1,SLC18A1
KCNJ6,2,KCNJ6
FRMD5,4,FRMD5
VSIR,1,VSIR
CD244,2,CD244
HDGFL2,2,HDGFL2
ZFYVE1,1,ZFYVE1
SPANXA1,1,SPANXA1
PAPPA,3,PAPPA
SLC45A2,1,SLC45A2
CHST4,1,CHST4
ATF7,1,ATF7
AP2B1,3,AP2B1
HIST1H4H,1,HIST1H4H
SPANXA2,1,SPANXA2
MYH7,3,MYH7
SEC24C,5,SEC24C
FSTL5,2,FSTL5
SVEP1,8,SVEP1
CD93,3,CD93
ACSBG1,1,ACSBG1
OR5K1,1,OR5K1
CD37,1,CD37
IFT27,1,IFT27
STXBP4,2,STXBP4
LYAR,2,LYAR
TAT,2,TAT
ATF7-NPFF,1,ATF7-NPFF
YAP1,1,YAP1
TMEM164,1,TMEM164
SPANXC,1,SPANXC
NDUFS4,1,NDUFS4
ZNF23,2,ZNF23
DPPA5,1,DPPA5
NBEAL1,5,NBEAL1
KHDC3L,1,KHDC3L
CIAPIN1,2,CIAPIN1
COX11,1,COX11
DMRT1,2,DMRT1
AKAP14,1,AKAP14
ALS2,5,ALS2
DMRT3,2,DMRT3
PTPRZ1,3,PTPRZ1
SLC29A4,1,SLC29A4
METTL9,1,METTL9
DMRTB1,1,DMRTB1
CGAS,1,CGAS
ATG9A,1,ATG9A
CENPT,2,CENPT
LIPG,2,LIPG
AMMECR1,1,AMMECR1
SCARA5,2,SCARA5
IGSF6,1,IGSF6
ENTPD6,1,ENTPD6
UPF2,2,UPF2
CHRM5,1,CHRM5
ZNF19,2,ZNF19
NKAP,2,NKAP
TNRC18,1,TNRC18
OR4F5,1,OR4F5
ZNF839,1,ZNF839
DDX43,3,DDX43
ADAMTS9,6,ADAMTS9
OOEP,1,OOEP
SH3RF2,4,SH3RF2
PEX2,2,PEX2
IDE,3,IDE
GABRA2,2,GABRA2
SPANXD,1,SPANXD
EIF1AD,1,EIF1AD
MTG2,2,MTG2
THAP11,1,THAP11
FAT1,3,FAT1
COL4A1,2,COL4A1
MAGEC3,1,MAGEC3
TGM1,3,TGM1
WRNIP1,4,WRNIP1
ID1,1,ID1
C1QTNF3,2,C1QTNF3
HACD1,1,HACD1
HRH3,1,HRH3
MMAB,1,MMAB
NUTF2,1,NUTF2
TMEM243,1,TMEM243
DOK4,2,DOK4
TEKT4,1,TEKT4
AC100868.1,1,AC100868.1
OC90,1,OC90
POLR3A,5,POLR3A
OXSR1,2,OXSR1
XRN1,5,XRN1
AMACR,2,AMACR
DERL1,1,DERL1
FTO,2,FTO
MMS22L,2,MMS22L
SLC16A14,1,SLC16A14
PTK2,4,PTK2
ABCB6,3,ABCB6
MAGEC1,1,MAGEC1
MVK,2,MVK
BANF1,1,BANF1
BTBD10,1,BTBD10
PKIA,1,PKIA
GAS2L2,2,GAS2L2
PRRC1,1,PRRC1
POLR2C,2,POLR2C
RASL10B,1,RASL10B
DLK1,1,DLK1
MS4A6A,1,MS4A6A
CDH23,1,CDH23
LRP2,5,LRP2
NAT9,1,NAT9
FAM210B,1,FAM210B
MSANTD3,1,MSANTD3
CHCHD1,1,CHCHD1
ZBTB49,3,ZBTB49
LLGL2,2,LLGL2
NOX5,6,NOX5
FAM76A,1,FAM76A
CCNE1,2,CCNE1
MSANTD3-TMEFF1,1,MSANTD3-TMEFF1
ADCYAP1R1,2,ADCYAP1R1
BANK1,2,BANK1
IFNAR1,2,IFNAR1
RBM25,2,RBM25
TMEFF1,1,TMEFF1
ABHD17A,1,ABHD17A
PLD2,3,PLD2
DNAJC12,1,DNAJC12
CBWD2,2,CBWD2
UBIAD1,1,UBIAD1
SSTR3,1,SSTR3
TBXA2R,1,TBXA2R
PEF1,2,PEF1
ZNF391,1,ZNF391
COQ9,1,COQ9
NELL1,3,NELL1
RAB40A,2,RAB40A
HCN2,3,HCN2
HCRTR1,1,HCRTR1
NLK,1,NLK
GGTLC2,1,GGTLC2
SF3B5,1,SF3B5
NEK1,1,NEK1
CACNA1F,4,CACNA1F
COX7B2,1,COX7B2
NTAN1,1,NTAN1
FNDC3B,1,FNDC3B
SCAMP2,1,SCAMP2
RAC2,1,RAC2
SELENOF,1,SELENOF
TRPC5,3,TRPC5
RPGRIP1L,3,RPGRIP1L
RAVER2,1,RAVER2
TMTC4,3,TMTC4
DHTKD1,3,DHTKD1
CARTPT,1,CARTPT
LHFPL1,1,LHFPL1
STX11,1,STX11
ST8SIA5,1,ST8SIA5
PRMT6,1,PRMT6
F11R,3,F11R
STX12,2,STX12
FGD3,3,FGD3
TBC1D31,2,TBC1D31
NPTX2,1,NPTX2
ADGRE3,5,ADGRE3
KCNT1,2,KCNT1
GLIS1,1,GLIS1
PTH,1,PTH
DMRT2,1,DMRT2
CPOX,1,CPOX
SPESP1,1,SPESP1
PLAC8L1,1,PLAC8L1
TSTD1,1,TSTD1
HEATR6,1,HEATR6
IQCJ,1,IQCJ
ZNF706,2,ZNF706
ANO5,2,ANO5
SUSD5,1,SUSD5
PPP1R8,1,PPP1R8
IL7,1,IL7
IQCJ-SCHIP1,2,IQCJ-SCHIP1
TMEM108,1,TMEM108
FCN3,1,FCN3
LTK,2,LTK
POMT2,3,POMT2
PHB2,1,PHB2
SI,3,SI
AC022137.3,1,AC022137.3
COL16A1,1,COL16A1
ZNF813,3,ZNF813
BFSP2,1,BFSP2
ZMYM5,1,ZMYM5
ZC2HC1A,1,ZC2HC1A
SLITRK3,1,SLITRK3
PREP,2,PREP
ZNF761,3,ZNF761
FHL1,1,FHL1
ZNF418,2,ZNF418
CCT7,1,CCT7
ATL2,2,ATL2
NCAPD2,2,NCAPD2
DCHS1,1,DCHS1
CDK2,1,CDK2
SIRT2,1,SIRT2
DCAF5,1,DCAF5
TMEM101,1,TMEM101
CACTIN,2,CACTIN
FOXL2,1,FOXL2
POLR2A,8,POLR2A
LARS,3,LARS
USP9Y,1,USP9Y
CPEB2,2,CPEB2
TSPAN11,1,TSPAN11
ZNF256,2,ZNF256
URI1,1,URI1
DAPK3,1,DAPK3
SCG3,1,SCG3
ZFP90,2,ZFP90
MS4A4A,1,MS4A4A
BMPER,4,BMPER
GU182357.5,1,GU182357.5
MRPL51,1,MRPL51
GU182357.4,1,GU182357.4
STK25,1,STK25
SCHIP1,1,SCHIP1
VSTM2L,2,VSTM2L
NFKBIB,2,NFKBIB
NUGGC,1,NUGGC
USF1,1,USF1
MS4A4E,1,MS4A4E
KIF11,2,KIF11
SIRT1,1,SIRT1
MUSK,4,MUSK
AC093155.3,1,AC093155.3
C1QTNF7,2,C1QTNF7
DISP3,1,DISP3
ADGRE2,3,ADGRE2
DNAJB9,1,DNAJB9
HMGXB4,2,HMGXB4
COX4I2,1,COX4I2
PDXK,1,PDXK
FAM222A,1,FAM222A
BLM,8,BLM
GU182357.1,1,GU182357.1
AJUBA,1,AJUBA
HS2ST1,1,HS2ST1
COL6A1,2,COL6A1
CLC,1,CLC
AIFM3,3,AIFM3
RNF19B,1,RNF19B
ANP32A,1,ANP32A
S100P,1,S100P
AL132780.3,1,AL132780.3
OR1L1,1,OR1L1
OR1L3,1,OR1L3
OR1L4,1,OR1L4
OR1L6,1,OR1L6
IGFBP6,1,IGFBP6
TTC7B,3,TTC7B
PPP1R13B,2,PPP1R13B
HSPA9,1,HSPA9
MRFAP1L1,1,MRFAP1L1
NGDN,1,NGDN
FAM47A,1,FAM47A
MAP1B,1,MAP1B
DES,2,DES
JAK1,4,JAK1
PDXDC1,1,PDXDC1
CSDC2,1,CSDC2
ACOT4,2,ACOT4
RIOX1,1,RIOX1
ZNF333,3,ZNF333
BCHE,2,BCHE
LMO4,1,LMO4
