Genes,Chromosome,Norm_Symbol
LRRTM4,2,LRRTM4
ANO1,11,ANO1
CISD1,10,CISD1
DHRS9,2,DHRS9
FER1L5,2,FER1L5
ZNF282,7,ZNF282
GPA33,1,GPA33
FAM76B,11,FAM76B
IGLV2-8,22,IGLV2-8
PAIP2B,2,PAIP2B
ZNF629,16,ZNF629
ZNF236,18,ZNF236
ABCC5,3,ABCC5
FUT1,19,FUT1
HDAC7,12,HDAC7
OR10G3,14,OR10G3
PIGO,9,PIGO
PKLR,1,PKLR
FOXI3,2,FOXI3
CDC42BPA,1,CDC42BPA
RPS6KA3,X,RPS6KA3
HSD17B8,6,HSD17B8
PBLD,10,PBLD
RAB3GAP2,1,RAB3GAP2
CCDC90B,11,CCDC90B
FAM126A,7,FAM126A
RTN3,11,RTN3
SARS,1,SARS
SLC25A39,17,SLC25A39
TAS2R31,12,TAS2R31
PDZRN3,3,PDZRN3
TRAPPC3,1,TRAPPC3
RPGRIP1L,16,RPGRIP1L
TRAIP,3,TRAIP
LRRC19,9,LRRC19
TTC19,17,TTC19
ASB1,2,ASB1
FAM49B,8,FAM49B
NINJ2,12,NINJ2
RPS5,19,RPS5
GPR149,3,GPR149
HEY1,8,HEY1
ABT1,6,ABT1
BMF,15,BMF
NDUFS4,5,NDUFS4
AK6,reserved,AK6
OR52E4,11,OR52E4
PRKCA,NAN,PRKCA
TSPYL1,6,TSPYL1
IGKV5-2,2,IGKV5-2
OR1K1,9,OR1K1
RETREG1,5,RETREG1
PCDHGB4,5,PCDHGB4
PPM1F,22,PPM1F
VMP1,17,VMP1
ALKBH5,17,ALKBH5
NCEH1,3,NCEH1
CYB5RL,1,CYB5RL
SERPINB4,18,SERPINB4
WNK4,17,WNK4
ZNF579,19,ZNF579
FCRLA,1,FCRLA
ST3GAL3,1,ST3GAL3
TACC2,10,TACC2
ESRRB,14,ESRRB
CSDE1,1,CSDE1
KNL1,15,KNL1
LTB4R2,14,LTB4R2
RBP4,10,RBP4
ZBTB12,6,ZBTB12
UCP3,11,UCP3
BAIAP2L2,22,BAIAP2L2
ARID3C,9,ARID3C
AR,X,AR
IGHV3-7,14,IGHV3-7
ZNF138,7,ZNF138
FAM120C,X,FAM120C
ZMYM2,13,ZMYM2
PLSCR2,3,PLSCR2
BAIAP2L1,7,BAIAP2L1
RRP1B,21,RRP1B
FOXH1,8,FOXH1
COMMD9,11,COMMD9
ADH1A,4,ADH1A
CR1,1,CR1
HNRNPH2,X,HNRNPH2
TIMM22,17,TIMM22
PITPNM2,12,PITPNM2
AGRP,16,AGRP
TRBV4-2,7,TRBV4-2
ZNF433,19,ZNF433
KDM1B,6,KDM1B
FLVCR2,14,FLVCR2
RHAG,6,RHAG
MVK,12,MVK
SYF2,1,SYF2
ANKRD33,12,ANKRD33
NTSR1,20,NTSR1
DNAJC5,20,DNAJC5
CDK7,5,CDK7
MBOAT7,19,MBOAT7
ST3GAL1,8,ST3GAL1
PAK1,11,PAK1
TMEM14A,6,TMEM14A
PCDHA5,5,PCDHA5
SECTM1,17,SECTM1
ZBTB42,14,ZBTB42
SNAI3,16,SNAI3
EXT1,8,EXT1
OR9A4,7,OR9A4
PQLC2,1,PQLC2
HLA-DRB1,6,HLA-DRB1
SIGLEC10,19,SIGLEC10
ACO2,22,ACO2
TMEM17,2,TMEM17
ODF2,9,ODF2
TNIP3,4,TNIP3
FGF12,3,FGF12
CNIH2,11,CNIH2
C2orf49,2,C2orf49
KLF5,13,KLF5
FMN2,1,FMN2
MPO,17,MPO
MREG,2,MREG
TDRP,8,TDRP
LPCAT4,15,LPCAT4
TKT,3,TKT
SIRT1,10,SIRT1
TFB2M,1,TFB2M
C8G,9,C8G
EPHA4,2,EPHA4
RIC3,11,RIC3
MCTS2P,20,MCTS2P
TNFRSF9,1,TNFRSF9
WEE2,7,WEE2
TMEM106B,7,TMEM106B
CTDSP2,12,CTDSP2
DNAJC17,15,DNAJC17
KLRG1,12,KLRG1
MDN1,6,MDN1
TP53BP1,15,TP53BP1
HOOK1,1,HOOK1
MTMR2,11,MTMR2
TXK,4,TXK
RAET1G,6,RAET1G
FOXC2,16,FOXC2
POU4F2,4,POU4F2
UST,6,UST
OR3A1,17,OR3A1
CDC37,19,CDC37
SOX14,3,SOX14
WIF1,12,WIF1
DYSF,2,DYSF
IGSF5,21,IGSF5
IQSEC2,X,IQSEC2
KIF24,9,KIF24
EGR2,10,EGR2
NAT2,8,NAT2
FREM2,13,FREM2
HNRNPLL,2,HNRNPLL
CTAG1B,X,CTAG1B
XPO7,8,XPO7
YIPF1,1,YIPF1
YOD1,1,YOD1
ANKFY1,17,ANKFY1
DYDC1,10,DYDC1
OSBPL6,2,OSBPL6
PTPRR,12,PTPRR
EML2,19,EML2
MAGEL2,15,MAGEL2
RHOU,1,RHOU
PRPF19,11,PRPF19
GPR157,1,GPR157
P2RX6,22,P2RX6
ERCC4,16,ERCC4
SMARCD3,7,SMARCD3
ELOVL4,6,ELOVL4
ECHS1,10,ECHS1
TP53TG5,20,TP53TG5
NDEL1,17,NDEL1
ELMSAN1,14,ELMSAN1
JMJD8,16,JMJD8
OR51B6,11,OR51B6
SYT11,1,SYT11
ZNF736,7,ZNF736
PSPH,7,PSPH
FBXO8,4,FBXO8
MUC5AC,11,MUC5AC
P2RY2,11,P2RY2
SF3B2,11,SF3B2
SLC35A2,X,SLC35A2
SPSB2,12,SPSB2
GABRB3,15,GABRB3
GNAI1,7,GNAI1
CDH20,18,CDH20
PWWP2A,5,PWWP2A
CPNE1,20,CPNE1
DLX5,7,DLX5
RAB4B,19,RAB4B
IER3IP1,18,IER3IP1
STXBP5L,3,STXBP5L
TNNT1,19,TNNT1
KLRF1,12,KLRF1
CCDC36,3,CCDC36
LSM3,3,LSM3
EIF4G2,11,EIF4G2
PPOX,1,PPOX
G0S2,1,G0S2
UBE2T,1,UBE2T
TMEM86B,19,TMEM86B
CDK5R1,17,CDK5R1
MAGEE1,X,MAGEE1
SULT1A2,16,SULT1A2
BAP1,3,BAP1
TPRX1,19,TPRX1
COX7B2,4,COX7B2
PNPLA8,7,PNPLA8
RNASE3,14,RNASE3
MC2R,18,MC2R
SLC35D3,6,SLC35D3
RLF,1,RLF
RPS9,19,RPS9
ERCC1,19,ERCC1
NEURL1,10,NEURL1
GCH1,14,GCH1
FAM118B,11,FAM118B
PHYHIPL,10,PHYHIPL
PRSS33,16,PRSS33
ZER1,9,ZER1
DOLK,9,DOLK
NAPRT,8,NAPRT
SARS2,19,SARS2
KCNA3,1,KCNA3
MMP23B,1,MMP23B
SAR1A,10,SAR1A
MSANTD4,11,MSANTD4
ATP8B1,18,ATP8B1
NTHL1,16,NTHL1
UQCC2,6,UQCC2
KRTAP4-3,17,KRTAP4-3
PEBP1,12,PEBP1
SELENON,1,SELENON
COX19,7,COX19
TRAV20,14,TRAV20
MRPL43,10,MRPL43
FCGR2B,1,FCGR2B
PPIF,10,PPIF
AP4M1,7,AP4M1
HSPA9,5,HSPA9
TSEN54,17,TSEN54
BCAT2,19,BCAT2
MAGEH1,X,MAGEH1
MYLK3,16,MYLK3
PPP2R5C,14,PPP2R5C
HCFC2,12,HCFC2
ZNF90,19,ZNF90
ECH1,19,ECH1
PDX1,13,PDX1
SP140,2,SP140
DCLRE1A,10,DCLRE1A
ITGAL,16,ITGAL
OSBPL1A,18,OSBPL1A
TGFBI,5,TGFBI
PRRX1,1,PRRX1
SHH,7,SHH
GJD4,10,GJD4
CACNA1E,1,CACNA1E
ZNF564,19,ZNF564
TUBGCP4,15,TUBGCP4
ERCC8,5,ERCC8
B3GAT1,11,B3GAT1
FRAT2,10,FRAT2
POU2F1,1,POU2F1
STRA8,7,STRA8
SDK1,7,SDK1
DUX4,4,DUX4
NRAS,1,NRAS
RAD54L,1,RAD54L
TXNDC17,17,TXNDC17
ARHGAP26,5,ARHGAP26
SH3GL1,19,SH3GL1
CDC25A,3,CDC25A
LUZP1,1,LUZP1
ISL1,5,ISL1
KLF12,13,KLF12
DPY19L1,7,DPY19L1
NDUFB6,9,NDUFB6
HOXA11,7,HOXA11
SF3B4,1,SF3B4
SLC10A1,14,SLC10A1
STK39,2,STK39
SOHLH2,13,SOHLH2
DROSHA,5,DROSHA
RECQL5,17,RECQL5
ZNF92,7,ZNF92
CERCAM,9,CERCAM
SLC10A2,13,SLC10A2
PCDHB16,5,PCDHB16
CYP2F1,19,CYP2F1
CD200,3,CD200
TMEM88B,1,TMEM88B
DRD1,5,DRD1
CD79A,19,CD79A
TUBA3D,2,TUBA3D
WWTR1,3,WWTR1
IL12RB2,1,IL12RB2
LBX2,2,LBX2
SATL1,X,SATL1
MRS2,6,MRS2
SMC6,2,SMC6
TMEM240,1,TMEM240
KAT5,11,KAT5
PDPN,1,PDPN
CFC1B,2,CFC1B
ERBB2,17,ERBB2
PRAMEF20,1,PRAMEF20
KRTAP20-3,21,KRTAP20-3
PAX9,14,PAX9
VAT1,NAN,VAT1
FAM129B,9,FAM129B
PARP14,3,PARP14
SEPT2,2,SEPT2
ADPRHL2,1,ADPRHL2
WDFY2,13,WDFY2
HTR2A,13,HTR2A
APLF,2,APLF
HADHB,2,HADHB
PCBD1,10,PCBD1
TENM2,5,TENM2
MAPK12,22,MAPK12
TMEM114,16,TMEM114
KNOP1,16,KNOP1
OTOP3,17,OTOP3
TBC1D22A,22,TBC1D22A
IGKV6D-21,2,IGKV6D-21
MAP3K12,12,MAP3K12
OR2V1,5,OR2V1
TRBV11-1,7,TRBV11-1
CHN2,7,CHN2
ACD,16,ACD
OR5B12,11,OR5B12
NEURL1B,5,NEURL1B
REEP6,19,REEP6
RIT2,18,RIT2
EIF3J,15,EIF3J
RPL12,9,RPL12
PTMS,12,PTMS
TACR2,10,TACR2
ZDHHC11,5,ZDHHC11
EIF3C,16,EIF3C
NAB2,12,NAB2
RSPH3,6,RSPH3
SLC25A12,2,SLC25A12
ABCF1,6,ABCF1
SH2D4B,10,SH2D4B
TBPL1,6,TBPL1
TINAGL1,1,TINAGL1
PGM5,9,PGM5
FAP,2,FAP
FAM114A1,4,FAM114A1
BTN3A1,6,BTN3A1
BAG5,14,BAG5
ASB12,X,ASB12
LOXL1,15,LOXL1
ZNF497,19,ZNF497
IQGAP3,1,IQGAP3
SAA1,11,SAA1
KLHL20,1,KLHL20
AC135068.1,15,AC135068.1
EGFR,7,EGFR
SLC49A4,3,SLC49A4
SLC47A1,17,SLC47A1
SRPK2,7,SRPK2
UPF3B,X,UPF3B
ATP13A4,3,ATP13A4
LRP2,2,LRP2
B4GALT2,1,B4GALT2
SPECC1L,22,SPECC1L
STRN,2,STRN
ULBP1,6,ULBP1
PDIA5,3,PDIA5
TNFSF15,9,TNFSF15
GRP,18,GRP
ESRP1,8,ESRP1
NDUFA2,5,NDUFA2
HSPB3,5,HSPB3
SLC6A14,X,SLC6A14
ERCC6L,X,ERCC6L
LTF,3,LTF
MEIS2,15,MEIS2
RBM10,X,RBM10
RRN3,16,RRN3
ZNF786,7,ZNF786
SMARCA1,X,SMARCA1
SPPL2B,19,SPPL2B
CSF1R,5,CSF1R
OR5L2,11,OR5L2
TSPAN9,12,TSPAN9
KAZN,1,KAZN
SSBP2,5,SSBP2
URM1,9,URM1
ERI1,8,ERI1
TNFAIP8L2,1,TNFAIP8L2
ATP8,NAN,ATP8
TTC30B,2,TTC30B
PLIN1,15,PLIN1
LGALS12,11,LGALS12
MEX3B,15,MEX3B
E2F5,8,E2F5
PPP1R9B,17,PPP1R9B
CCDC114,19,CCDC114
TEKT2,1,TEKT2
BATF,14,BATF
NKD2,5,NKD2
OR11A1,6,OR11A1
OR1A1,17,OR1A1
MRPS7,17,MRPS7
KLK10,19,KLK10
KLHDC3,6,KLHDC3
ZNF100,19,ZNF100
GATA3,10,GATA3
FBXL5,4,FBXL5
FAT4,4,FAT4
LSM6,4,LSM6
AP2S1,19,AP2S1
KRT40,17,KRT40
RP1L1,8,RP1L1
MTDH,8,MTDH
COX20,1,COX20
TXN,9,TXN
AMDHD1,12,AMDHD1
PDXDC1,16,PDXDC1
MCUR1,6,MCUR1
PSAP,10,PSAP
SLC36A4,11,SLC36A4
CEP162,6,CEP162
RAB20,13,RAB20
CDY1B,Y,CDY1B
IL3RA,X,IL3RA
TSC22D3,X,TSC22D3
WDR76,15,WDR76
CAPNS1,19,CAPNS1
AWAT2,X,AWAT2
WNT11,11,WNT11
RPS19BP1,22,RPS19BP1
TMEM185A,X,TMEM185A
MARCH6,5,MARCH6
PSEN2,1,PSEN2
DCHS1,11,DCHS1
DRD2,11,DRD2
SCO1,17,SCO1
ATXN1L,16,ATXN1L
RNH1,11,RNH1
TIPIN,15,TIPIN
USP32,17,USP32
DSC3,18,DSC3
VKORC1,16,VKORC1
ZNF35,3,ZNF35
CYP7B1,8,CYP7B1
AF241726.2,X,AF241726.2
ZBTB37,1,ZBTB37
TGFB2,1,TGFB2
VAX1,10,VAX1
PPP3R1,2,PPP3R1
RFC5,12,RFC5
EIF4E3,3,EIF4E3
DDX41,5,DDX41
TOMM20,1,TOMM20
LRRC34,3,LRRC34
SLC13A2,17,SLC13A2
ARHGAP17,16,ARHGAP17
SSX2IP,1,SSX2IP
BPY2B,Y,BPY2B
SRPRB,3,SRPRB
CDK10,16,CDK10
IFI30,19,IFI30
MAN2B1,19,MAN2B1
NUDCD2,5,NUDCD2
RHOXF2,X,RHOXF2
MARCH7,2,MARCH7
ITIH4,3,ITIH4
SLC38A9,5,SLC38A9
TAPBPL,12,TAPBPL
CPSF1,8,CPSF1
MFN2,1,MFN2
CLEC4A,12,CLEC4A
YBX1,1,YBX1
SCD,10,SCD
MTOR,1,MTOR
AGL,1,AGL
AGRN,1,AGRN
PON3,7,PON3
FZD10,12,FZD10
PHC2,1,PHC2
FURIN,15,FURIN
PXN,12,PXN
CCL21,9,CCL21
ZNF777,7,ZNF777
LMAN1L,15,LMAN1L
ARSB,5,ARSB
SLC7A5,16,SLC7A5
NDUFA13,19,NDUFA13
PDS5B,13,PDS5B
MAPK8IP1,11,MAPK8IP1
ACOXL,2,ACOXL
LHX3,9,LHX3
GSTO2,10,GSTO2
USF2,19,USF2
DNAJC28,21,DNAJC28
ACSM2A,16,ACSM2A
FAM9A,X,FAM9A
PDCD10,3,PDCD10
ZNF3,7,ZNF3
ST3GAL5,2,ST3GAL5
ACTR5,20,ACTR5
RASA4B,7,RASA4B
DCXR,17,DCXR
GM2A,5,GM2A
SLC4A1AP,2,SLC4A1AP
ACTR3C,7,ACTR3C
ZMYM3,X,ZMYM3
ABCB5,7,ABCB5
RIPK2,8,RIPK2
ZNF483,9,ZNF483
USP17L11,4,USP17L11
UNC80,2,UNC80
SLC3A1,2,SLC3A1
CD74,5,CD74
CDV3,3,CDV3
CNTNAP2,7,CNTNAP2
DPM1,20,DPM1
NDUFB5,3,NDUFB5
MMP24,20,MMP24
OR56B4,11,OR56B4
GPR4,19,GPR4
TAS2R16,7,TAS2R16
OR4K17,14,OR4K17
CTSK,1,CTSK
ZBTB22,6,ZBTB22
SGMS2,4,SGMS2
LPAR5,12,LPAR5
RBM14,11,RBM14
CIT,12,CIT
NLRP2,19,NLRP2
HSPB6,19,HSPB6
C3orf52,3,C3orf52
ZNF791,19,ZNF791
CPB2,13,CPB2
OR4M1,14,OR4M1
UBA52,19,UBA52
CYP4F8,19,CYP4F8
VPS36,13,VPS36
NOL6,9,NOL6
CDKL3,5,CDKL3
FAM71B,5,FAM71B
NDST2,10,NDST2
TMEM219,16,TMEM219
DEDD2,19,DEDD2
TAS2R8,12,TAS2R8
KRTAP29-1,17,KRTAP29-1
SUPT6H,17,SUPT6H
ADRB3,8,ADRB3
RPL6,12,RPL6
TLK1,2,TLK1
NSRP1,17,NSRP1
EDF1,9,EDF1
CYP4F3,19,CYP4F3
CD1B,1,CD1B
PAQR8,6,PAQR8
TXNDC16,14,TXNDC16
GCLC,6,GCLC
H2AFB1,X,H2AFB1
TIAM2,6,TIAM2
OR4F15,15,OR4F15
GTF3C6,6,GTF3C6
USP13,3,USP13
SNAP29,22,SNAP29
LYPD6,2,LYPD6
MYBPC1,12,MYBPC1
OR5AP2,11,OR5AP2
SERHL2,22,SERHL2
PLEKHH1,14,PLEKHH1
STK17B,2,STK17B
TEX101,19,TEX101
ABCA13,7,ABCA13
WDR59,16,WDR59
SFTPB,2,SFTPB
NLRC3,16,NLRC3
CPQ,8,CPQ
FYTTD1,3,FYTTD1
RCOR3,1,RCOR3
SLC6A5,11,SLC6A5
IGKV2-30,2,IGKV2-30
RPL13,16,RPL13
SUMF1,3,SUMF1
CLDN11,3,CLDN11
BTC,4,BTC
GMEB1,1,GMEB1
SUSD2,22,SUSD2
COMMD2,3,COMMD2
MYF5,12,MYF5
PIM3,22,PIM3
SLC2A10,20,SLC2A10
PTK6,20,PTK6
OR4P4,11,OR4P4
SLC22A7,6,SLC22A7
STMND1,6,STMND1
IFT43,14,IFT43
TRPV3,17,TRPV3
TPMT,6,TPMT
GSTM1,1,GSTM1
KRTAP5-5,11,KRTAP5-5
SEC16B,1,SEC16B
ZNF284,19,ZNF284
RER1,1,RER1
SF1,11,SF1
HIST1H2AE,6,HIST1H2AE
UBE2C,20,UBE2C
BCAP29,7,BCAP29
ZKSCAN8,6,ZKSCAN8
GPR3,1,GPR3
MALSU1,7,MALSU1
GGA3,17,GGA3
DLC1,8,DLC1
DISP2,15,DISP2
LYRM4,6,LYRM4
WHRN,9,WHRN
TYRO3,15,TYRO3
RUNDC3A,17,RUNDC3A
FUT10,8,FUT10
EEF1A2,20,EEF1A2
LY6G6D,6,LY6G6D
TARS,5,TARS
STEAP3,2,STEAP3
SULT6B1,2,SULT6B1
PRELID1,5,PRELID1
PPM1K,4,PPM1K
SRGN,10,SRGN
PIEZO1,16,PIEZO1
CDK8,13,CDK8
PARD3B,2,PARD3B
ZFP57,6,ZFP57
OR4A15,11,OR4A15
GLDN,15,GLDN
NUDT22,11,NUDT22
CLIP2,7,CLIP2
HSD3B7,16,HSD3B7
GMIP,19,GMIP
NUP153,6,NUP153
OR52A5,11,OR52A5
SLC15A2,3,SLC15A2
ZRSR2,X,ZRSR2
LIN7A,12,LIN7A
SAMD1,19,SAMD1
ADH6,4,ADH6
PSD2,5,PSD2
TACO1,17,TACO1
DOK3,5,DOK3
FKBP9,7,FKBP9
HIST1H2BJ,6,HIST1H2BJ
MBTPS1,16,MBTPS1
SLC22A9,11,SLC22A9
SGCA,17,SGCA
ZDHHC24,11,ZDHHC24
OR51Q1,11,OR51Q1
DCC,18,DCC
AZI2,3,AZI2
GARS,7,GARS
PTGFR,1,PTGFR
RFXANK,19,RFXANK
ZNF273,7,ZNF273
NAP1L5,4,NAP1L5
WBP11,12,WBP11
KLHL22,22,KLHL22
IGHD,14,IGHD
CNTNAP4,16,CNTNAP4
TSPAN6,X,TSPAN6
NELFE,6,NELFE
ASH2L,8,ASH2L
HIST1H2BO,6,HIST1H2BO
MCF2,X,MCF2
MUC12,7,MUC12
CALU,7,CALU
CCL15,17,CCL15
UPK2,11,UPK2
SHCBP1L,1,SHCBP1L
CRYAB,11,CRYAB
CBY1,22,CBY1
GJA9,1,GJA9
CERS3,15,CERS3
EPM2AIP1,3,EPM2AIP1
EPC1,10,EPC1
GSTM4,1,GSTM4
UGT1A1,2,UGT1A1
VDAC1,5,VDAC1
GTF3A,13,GTF3A
CALY,10,CALY
CRADD,12,CRADD
CYP11B2,8,CYP11B2
IGHV3-35,14,IGHV3-35
PADI4,1,PADI4
SPINK2,4,SPINK2
KXD1,19,KXD1
EID1,15,EID1
ANK1,8,ANK1
TOB2,22,TOB2
NEU1,6,NEU1
OR2L8,1,OR2L8
RNF130,5,RNF130
TUBGCP2,10,TUBGCP2
GABRG2,5,GABRG2
EFCAB2,1,EFCAB2
PRRT1,6,PRRT1
SHISA3,4,SHISA3
XPO1,2,XPO1
KIF1B,1,KIF1B
NUP62CL,X,NUP62CL
ANO5,11,ANO5
GOLT1B,12,GOLT1B
HNRNPUL1,19,HNRNPUL1
EIF6,20,EIF6
RHEBL1,12,RHEBL1
GFI1B,9,GFI1B
SMTNL1,11,SMTNL1
PEX11G,19,PEX11G
LDHAL6B,15,LDHAL6B
DAB2,5,DAB2
MCIDAS,5,MCIDAS
THSD1,13,THSD1
TSG101,11,TSG101
VWDE,7,VWDE
ARHGAP35,19,ARHGAP35
APRT,16,APRT
AKTIP,16,AKTIP
HOXB5,17,HOXB5
MTRR,5,MTRR
MYO1G,7,MYO1G
SSX1,X,SSX1
CNGA3,2,CNGA3
ZCCHC4,4,ZCCHC4
C4orf19,4,C4orf19
MUC21,6,MUC21
AP1G1,16,AP1G1
TYROBP,19,TYROBP
IL16,15,IL16
LRIT3,4,LRIT3
RIMKLB,12,RIMKLB
IKBKG,X,IKBKG
JPH2,20,JPH2
LARP4,12,LARP4
PDHX,11,PDHX
MT1H,16,MT1H
TCN1,11,TCN1
IFT172,2,IFT172
SDC4,20,SDC4
TNR,1,TNR
PCDHGB6,5,PCDHGB6
SRI,7,SRI
UBE2E3,2,UBE2E3
DGUOK,2,DGUOK
POMC,2,POMC
ZNF84,12,ZNF84
MRPS18C,4,MRPS18C
RTEL1,20,RTEL1
NAGK,2,NAGK
MRPS25,3,MRPS25
TRBV6-4,7,TRBV6-4
RAP1GAP2,17,RAP1GAP2
TARSL2,15,TARSL2
TAT,16,TAT
BUB1,2,BUB1
ABHD14A,3,ABHD14A
SNRNP70,19,SNRNP70
L2HGDH,14,L2HGDH
MEIG1,10,MEIG1
CASP9,1,CASP9
ZRANB1,10,ZRANB1
KLC4,6,KLC4
MOSPD3,7,MOSPD3
HMGCL,1,HMGCL
TAF12,1,TAF12
SCTR,2,SCTR
PLCXD2,3,PLCXD2
ZC3HC1,7,ZC3HC1
BTNL9,5,BTNL9
BIRC7,20,BIRC7
CLDN12,7,CLDN12
GTF2B,1,GTF2B
CECR2,22,CECR2
ARFGAP1,20,ARFGAP1
CCDC22,X,CCDC22
FRMD3,9,FRMD3
CTNNA2,2,CTNNA2
FAM32A,19,FAM32A
TNNT3,11,TNNT3
SAMHD1,20,SAMHD1
PRPF31,19,PRPF31
ABCB8,7,ABCB8
RAB11FIP1,8,RAB11FIP1
REEP4,8,REEP4
ENTPD3,3,ENTPD3
MAT1A,10,MAT1A
CARD10,22,CARD10
IGHV1-24,14,IGHV1-24
CCT8,21,CCT8
PMPCB,7,PMPCB
YY1,14,YY1
ZNF202,11,ZNF202
ZNF454,5,ZNF454
LPAR3,1,LPAR3
VAMP7,X,VAMP7
HAAO,2,HAAO
RYR1,19,RYR1
GNGT2,17,GNGT2
HDC,15,HDC
PIH1D1,19,PIH1D1
PRDM5,4,PRDM5
ACP1,2,ACP1
LIPI,21,LIPI
MOB2,11,MOB2
SNTB1,8,SNTB1
OR51G1,11,OR51G1
CHRM5,15,CHRM5
PIK3R5,17,PIK3R5
TCOF1,5,TCOF1
SLC1A6,19,SLC1A6
ENPP3,6,ENPP3
TIGAR,12,TIGAR
IGHV3OR16-10,16,IGHV3OR16-10
HNRNPH3,10,HNRNPH3
EIF2S2,20,EIF2S2
HNRNPA1,12,HNRNPA1
DBF4,7,DBF4
PITPNC1,17,PITPNC1
BCKDHB,6,BCKDHB
GRAP,17,GRAP
SMIM20,4,SMIM20
POP7,7,POP7
SETMAR,3,SETMAR
RYK,3,RYK
CCL11,17,CCL11
NPAS4,11,NPAS4
OR7C2,19,OR7C2
GIPC1,19,GIPC1
AGAP4,10,AGAP4
RFC4,3,RFC4
PDLIM7,5,PDLIM7
GALNT14,2,GALNT14
KLHL15,X,KLHL15
LRRTM1,2,LRRTM1
PTRH2,17,PTRH2
RUNX2,6,RUNX2
RAB36,22,RAB36
FHL1,X,FHL1
DBNDD1,16,DBNDD1
OR4S1,11,OR4S1
RPS4X,X,RPS4X
SLK,10,SLK
ZNHIT1,7,ZNHIT1
FTMT,5,FTMT
HSCB,22,HSCB
ALAS1,3,ALAS1
MNAT1,14,MNAT1
TM6SF2,19,TM6SF2
EVA1A,2,EVA1A
HTATSF1,X,HTATSF1
CLDN1,3,CLDN1
DCLK3,3,DCLK3
CXCL12,10,CXCL12
CHST12,7,CHST12
F7,13,F7
H3F3B,17,H3F3B
SEMA4D,9,SEMA4D
TEX22,14,TEX22
WDR34,9,WDR34
STAT2,12,STAT2
DPF1,19,DPF1
GSKIP,14,GSKIP
UPF1,19,UPF1
KRTAP27-1,21,KRTAP27-1
OR6C70,12,OR6C70
TRMT112,11,TRMT112
FBXO6,1,FBXO6
PCDHA9,5,PCDHA9
QTRT1,19,QTRT1
OR5R1,11,OR5R1
DOC2B,17,DOC2B
NUP93,16,NUP93
CSNK1A1L,13,CSNK1A1L
SPRR2E,1,SPRR2E
ITPKC,19,ITPKC
PCSK9,1,PCSK9
DYNLL2,17,DYNLL2
GSX1,13,GSX1
LAMTOR5,1,LAMTOR5
LRR1,14,LRR1
HLA-DQB2,6,HLA-DQB2
KCNB1,20,KCNB1
PTOV1,19,PTOV1
BRINP1,9,BRINP1
RTCA,1,RTCA
LRRC6,8,LRRC6
DSP,6,DSP
CSNK1E,22,CSNK1E
SWAP70,11,SWAP70
CACHD1,1,CACHD1
ITGB1BP2,X,ITGB1BP2
CNNM3,2,CNNM3
KRTAP20-2,21,KRTAP20-2
SPAG1,8,SPAG1
LCE2A,1,LCE2A
LSP1,11,LSP1
SDK2,17,SDK2
AGFG1,2,AGFG1
NGB,14,NGB
PPHLN1,12,PPHLN1
SUV39H2,10,SUV39H2
LBH,2,LBH
MMP17,12,MMP17
ERAL1,17,ERAL1
ARMCX6,X,ARMCX6
IFT81,12,IFT81
APOBEC1,12,APOBEC1
DHCR7,11,DHCR7
KDM5D,Y,KDM5D
MSANTD3-TMEFF1,9,MSANTD3-TMEFF1
OTULIN,5,OTULIN
PAX5,9,PAX5
RBMX2,X,RBMX2
VPS45,1,VPS45
DHCR24,1,DHCR24
CNKSR2,X,CNKSR2
MCOLN2,1,MCOLN2
TGFA,2,TGFA
HBG2,11,HBG2
HEATR1,1,HEATR1
CACNB2,10,CACNB2
NAP1L4,11,NAP1L4
RBM11,21,RBM11
GLUD1,10,GLUD1
FHOD1,16,FHOD1
DPYSL2,8,DPYSL2
EIF5A2,3,EIF5A2
KCNA10,1,KCNA10
LIX1L,1,LIX1L
ITGA5,12,ITGA5
IFT57,3,IFT57
NFATC3,16,NFATC3
CCNK,14,CCNK
TRAV21,14,TRAV21
STAG1,3,STAG1
USP17L13,4,USP17L13
LCA5L,21,LCA5L
S100A7A,1,S100A7A
CTBP2,10,CTBP2
COMMD5,8,COMMD5
ARF4,3,ARF4
ING1,13,ING1
SCN3B,11,SCN3B
ADPGK,15,ADPGK
RPL39,X,RPL39
HMGB2,4,HMGB2
HOOK2,19,HOOK2
AKIRIN1,1,AKIRIN1
FXYD1,19,FXYD1
ZNF662,3,ZNF662
CHMP3,2,CHMP3
CUL1,7,CUL1
PHKB,16,PHKB
MTERF1,7,MTERF1
NOM1,7,NOM1
IGKV1D-16,2,IGKV1D-16
UBXN11,1,UBXN11
TUBB2A,6,TUBB2A
MYH15,3,MYH15
PLCB1,20,PLCB1
OTC,X,OTC
KCNAB3,17,KCNAB3
EPG5,18,EPG5
FAAP24,19,FAAP24
GGT7,20,GGT7
MAGED1,X,MAGED1
PPFIBP2,11,PPFIBP2
CAMK1G,1,CAMK1G
CLIC4,1,CLIC4
GALNT13,2,GALNT13
PDZD3,11,PDZD3
ZNF667,19,ZNF667
CEMIP,15,CEMIP
UBXN1,11,UBXN1
IGHV1-45,14,IGHV1-45
OR5D14,11,OR5D14
SLC27A1,19,SLC27A1
F13A1,6,F13A1
CPLX2,5,CPLX2
AURKA,20,AURKA
EIF3I,1,EIF3I
MYO1A,12,MYO1A
