Genes,Average Gene Length,Norm_Symbol
SERPINI1,90325.0,SERPINI1
ZC2HC1C,15818.0,ZC2HC1C
AC105052.1,60346.0,AC105052.1
AF196969.1,23663.0,AF196969.1
NF1,287189.0,NF1
SEZ6,51539.0,SEZ6
TMC5,88617.0,TMC5
EBP,6917.0,EBP
AC093668.1,50943.0,AC093668.1
SPTB,133624.0,SPTB
KEAP1,17433.0,KEAP1
WDR45B,33991.0,WDR45B
ACYP1,16246.0,ACYP1
NOMO3,62306.0,NOMO3
FAM86C1,13727.0,FAM86C1
CCDC183,11391.0,CCDC183
USPL1,43077.0,USPL1
NLRP4,45276.0,NLRP4
ROPN1B,14294.0,ROPN1B
NEDD9,199050.0,NEDD9
MRNIP,27040.0,MRNIP
MCAT,11188.0,MCAT
FGFR1,68619.0,FGFR1
HEATR5B,115989.0,HEATR5B
ZFHX4,186046.0,ZFHX4
TXNRD2,66303.0,TXNRD2
LEAP2,2724.0,LEAP2
FRAS1,486946.0,FRAS1
BECN1,23216.0,BECN1
TMEM141,1973.0,TMEM141
ZNF77,11753.0,ZNF77
ZNF705E,7503.0,ZNF705E
APOBEC3F,15368.0,APOBEC3F
PRKCQ,153158.0,PRKCQ
GPR101,6400.0,GPR101
ANKRA2,13477.0,ANKRA2
CRIP3,9087.0,CRIP3
PIGR,17944.0,PIGR
TAF5,21089.0,TAF5
SESN3,67028.0,SESN3
DEFA5,1435.0,DEFA5
NUAK2,19732.0,NUAK2
FAM117B,134788.0,FAM117B
NCOA1,278788.0,NCOA1
PTK2B,147909.0,PTK2B
ATP5MD,7451.0,ATP5MD
KANK4,83269.0,KANK4
IFNAR2,35774.0,IFNAR2
GOLIM4,87298.0,GOLIM4
EMD,2326.0,EMD
NRDC,89746.0,NRDC
DCTN1,30933.0,DCTN1
HERC2,233848.8376383764,HERC2
UTP15,17937.0,UTP15
APOBEC3G,10676.0,APOBEC3G
THYN1,5091.0,THYN1
ZNF318,62513.0,ZNF318
ZDHHC16,11200.0,ZDHHC16
TMEM38B,82088.0,TMEM38B
BMP1,47186.0,BMP1
FZD3,80062.0,FZD3
ALOX5AP,50948.0,ALOX5AP
CNTD1,12795.0,CNTD1
TBC1D22A,413082.0,TBC1D22A
ARHGAP44,202145.0,ARHGAP44
PRKAR2A,103277.0,PRKAR2A
IFI6,6134.0,IFI6
RBM34,30100.0,RBM34
PLGLB2,10706.0,PLGLB2
SLC22A7,9844.0,SLC22A7
PSME3,19373.0,PSME3
FCAMR,12660.0,FCAMR
MYL6B,7391.0,MYL6B
ORAI2,23719.0,ORAI2
PDCD11,49668.0,PDCD11
PPP1R10,18210.14285714286,PPP1R10
RGPD2,69992.0,RGPD2
ICA1L,98835.0,ICA1L
TRPM8,102149.0,TRPM8
SYNGAP1,36796.89250814332,SYNGAP1
ARAP2,296293.0,ARAP2
MAPKAPK5,59994.0,MAPKAPK5
DCP1A,64157.0,DCP1A
GGPS1,17182.0,GGPS1
C1orf116,14234.0,C1orf116
CDCA7,14177.0,CDCA7
ALKBH4,8625.0,ALKBH4
CTHRC1,11451.0,CTHRC1
LRRC70,2627.0,LRRC70
SMARCC2,27208.0,SMARCC2
MRPS18B,8670.225130890052,MRPS18B
CHDH,34084.0,CHDH
TSSK2,1314.0,TSSK2
KIF2A,231087.0,KIF2A
ESS2,14405.0,ESS2
IL10RB,43820.0,IL10RB
CCNI,28834.0,CCNI
CPNE5,98669.0,CPNE5
GRASP,8943.0,GRASP
AMOT,66312.0,AMOT
ACOX2,32147.0,ACOX2
AIF1,1832.0612244897961,AIF1
SYT10,65581.0,SYT10
HERC4,153449.0,HERC4
AP000295.1,67259.0,AP000295.1
ALG2,5517.0,ALG2
GSC2,1707.0,GSC2
C13orf46,20374.5,C13orf46
TEX26,42844.0,TEX26
ZIC3,11564.0,ZIC3
NECAB2,34144.0,NECAB2
MEDAG,19301.0,MEDAG
MTMR2,92433.0,MTMR2
IL1R1,115330.0,IL1R1
S1PR5,5189.0,S1PR5
PKHD1L1,174746.0,PKHD1L1
DPP4,81970.0,DPP4
ZBP1,16730.0,ZBP1
ALG10,7226.0,ALG10
SLC41A3,95206.0,SLC41A3
SNX8,102548.0,SNX8
SIRT7,9384.0,SIRT7
LMX1A,154848.0,LMX1A
SPANXN5,1957.0,SPANXN5
SFT2D1,22848.0,SFT2D1
SEC61B,8551.0,SEC61B
XAGE5,6097.0,XAGE5
DIMT1,56655.0,DIMT1
TIMM17B,4696.0,TIMM17B
TMEM116,81903.0,TMEM116
FBRS,12383.0,FBRS
EIF3B,26659.0,EIF3B
KLHDC8A,21025.0,KLHDC8A
SLC25A32,16554.0,SLC25A32
ZFYVE28,149081.0,ZFYVE28
SCMH1,214954.0,SCMH1
EXTL3,155130.0,EXTL3
PAX4,7783.0,PAX4
DUSP11,17973.0,DUSP11
ATP7B,81689.0,ATP7B
RIMS2,755398.0,RIMS2
USP17L1,1592.0,USP17L1
CDC7,24913.0,CDC7
USP17L4,1592.0,USP17L4
DUT,12362.0,DUT
FAT4,176533.0,FAT4
NR4A1,36675.0,NR4A1
PQBP1,12946.0,PQBP1
BTBD3,35886.0,BTBD3
SLC38A8,32969.0,SLC38A8
TMEM206,50970.0,TMEM206
NGEF,134555.0,NGEF
PMEPA1,63144.0,PMEPA1
LRRC75B,7588.0,LRRC75B
IPO11,224610.0,IPO11
SLC25A1,3158.0,SLC25A1
MAFG,9465.0,MAFG
TRIP11,74905.0,TRIP11
LCMT1,66500.0,LCMT1
GUCD1,15512.0,GUCD1
TRPM4,54095.0,TRPM4
NFRKB,31954.0,NFRKB
WHRN,103393.0,WHRN
TSPO,11695.0,TSPO
ZBTB9,3453.0,ZBTB9
OMG,25526.0,OMG
HDX,184605.0,HDX
SLC16A9,85241.0,SLC16A9
EVI2B,10335.0,EVI2B
FGFR3,15579.0,FGFR3
OSBPL9,221248.0,OSBPL9
BAZ1A,122916.0,BAZ1A
HTR2C,325983.0,HTR2C
GIGYF2,163276.0,GIGYF2
USP6NL,157808.0,USP6NL
ERP29,10101.0,ERP29
EBAG9,26285.0,EBAG9
ANXA11,54683.0,ANXA11
NR4A3,45036.0,NR4A3
SLFNL1,7640.0,SLFNL1
SULT1B1,66794.0,SULT1B1
SNX27,87085.0,SNX27
SLC2A10,26698.0,SLC2A10
FHL2,80801.0,FHL2
COQ4,11528.0,COQ4
TLE6,17641.0,TLE6
PRICKLE4,6610.0,PRICKLE4
TAF1,166135.0,TAF1
SPACA3,27501.0,SPACA3
AL365205.1,9792.0,AL365205.1
PPIL1,19976.0,PPIL1
EML2,38635.0,EML2
CD1E,3857.0,CD1E
C6orf89,57094.0,C6orf89
LMAN1L,13042.0,LMAN1L
TOMM6,2236.0,TOMM6
NENF,13459.0,NENF
GGT1,44276.92913385827,GGT1
RNF40,14562.0,RNF40
TIMM50,13373.0,TIMM50
BLACAT1,22206.0,BLACAT1
USP49,105465.0,USP49
TUBGCP6,27334.0,TUBGCP6
RBM3,6713.0,RBM3
C2orf78,32958.0,C2orf78
LEMD1,74576.0,LEMD1
ITGBL1,268263.0,ITGBL1
XAGE3,5558.0,XAGE3
MECOM,580276.0,MECOM
DDIT4,2112.0,DDIT4
FRS3,16366.0,FRS3
EDEM2,31972.0,EDEM2
FAM107A,63493.0,FAM107A
CPLX3,5175.0,CPLX3
YTHDC2,81591.0,YTHDC2
ARSK,49990.0,ARSK
PEX2,20786.0,PEX2
DACH1,429238.0,DACH1
DLGAP2,583631.7300613497,DLGAP2
DNAJB12,22319.0,DNAJB12
RXRG,44433.0,RXRG
SMIM41,28543.0,SMIM41
BEND6,72239.0,BEND6
DCAF13,28739.0,DCAF13
ATG101,8248.0,ATG101
TINAGL1,11201.0,TINAGL1
EIF2S1,26188.0,EIF2S1
SCN9A,180816.0,SCN9A
FGF14,691653.0,FGF14
MRLN,19349.0,MRLN
CD209,7571.0,CD209
ATG4D,9523.0,ATG4D
FAM3D,32888.0,FAM3D
FGF13,608050.0,FGF13
ATP6V1G1,11110.0,ATP6V1G1
C1orf100,37028.0,C1orf100
KRT80,23018.0,KRT80
FYN,213120.0,FYN
AMBRA1,197711.0,AMBRA1
FRY,452409.0,FRY
AC012213.5,103237.0,AC012213.5
ATF3,55443.0,ATF3
NDST3,225016.0,NDST3
SLC25A20,41978.0,SLC25A20
C20orf85,10246.0,C20orf85
ADSS,43415.0,ADSS
POU2F3,83305.0,POU2F3
AC006030.1,151773.0,AC006030.1
TWIST1,96645.0,TWIST1
AC020907.6,17787.0,AC020907.6
HPN,26065.0,HPN
SLC27A4,20943.0,SLC27A4
RAB9B,9930.0,RAB9B
AC005041.1,27826.0,AC005041.1
IL13RA2,16002.0,IL13RA2
ANGPTL2,35287.0,ANGPTL2
TMEM252,4287.0,TMEM252
SLC4A5,127172.0,SLC4A5
KRI1,12959.0,KRI1
CCDC189,4798.0,CCDC189
PRRX2,57027.0,PRRX2
NTM,966344.0,NTM
GRM7,971532.0,GRM7
TMSB15B,39302.0,TMSB15B
PTGES,14711.0,PTGES
HES4,1210.0,HES4
ANKRD44,344156.0,ANKRD44
PKIA,88927.0,PKIA
TOR1B,8124.0,TOR1B
RALGPS1,308392.0,RALGPS1
TMEM268,35216.0,TMEM268
RYR3,555176.0,RYR3
SETMAR,14263.0,SETMAR
GRB7,9364.0,GRB7
ANKRD60,10158.0,ANKRD60
DGCR8,31645.0,DGCR8
URM1,20697.0,URM1
FERD3L,639.0,FERD3L
GAMT,4544.0,GAMT
FAM71A,2304.0,FAM71A
PHKG2,12883.0,PHKG2
ZNF136,26807.0,ZNF136
LRRN1,48266.0,LRRN1
TOR1A,11302.0,TOR1A
TEX53,6070.0,TEX53
FXYD3,8445.0,FXYD3
MBTPS1,63181.0,MBTPS1
CALHM2,5616.0,CALHM2
TEX48,15632.0,TEX48
SUMF1,766459.0,SUMF1
NID2,64425.0,NID2
KRT86,59863.0,KRT86
ZNF638,158508.0,ZNF638
BATF3,13423.0,BATF3
TRMT2A,5517.0,TRMT2A
EPS15L1,116846.0,EPS15L1
NFU1,41878.0,NFU1
MAT1A,17838.0,MAT1A
CALHM1,5501.0,CALHM1
TNFSF15,21387.0,TNFSF15
CALHM3,6436.0,CALHM3
CALCOCO1,19228.0,CALCOCO1
ISG15,13402.0,ISG15
CD2BP2,4535.0,CD2BP2
KRT81,5621.0,KRT81
ZNF44,70201.0,ZNF44
ANKRD62,35896.0,ANKRD62
NEURL1,98573.0,NEURL1
NBPF1,51243.0,NBPF1
TIGD2,3399.0,TIGD2
SNRPD3,26094.0,SNRPD3
RTRAF,21180.0,RTRAF
DPRX,4953.0,DPRX
TBC1D10B,13392.0,TBC1D10B
TMEM265,3900.0,TMEM265
SRCAP,43200.0,SRCAP
KRT7,19666.0,KRT7
LSR,19634.0,LSR
CCDC6,117809.0,CCDC6
ZNF705A,31503.0,ZNF705A
KCNMB4,68002.0,KCNMB4
USP20,47140.0,USP20
TNFSF8,37252.0,TNFSF8
GPRIN3,71417.0,GPRIN3
RANBP1,11417.0,RANBP1
ZZEF1,138585.0,ZZEF1
GPR150,2055.0,GPR150
SCN1A,164573.0,SCN1A
MAML2,366597.0,MAML2
MPC1,18094.0,MPC1
PLEK2,25183.0,PLEK2
TNC,98682.0,TNC
APOBEC3H,6843.0,APOBEC3H
DOCK10,277355.0,DOCK10
AC092111.3,37180.0,AC092111.3
MTHFSD,25059.0,MTHFSD
AC106886.5,41102.0,AC106886.5
APOOL,89439.0,APOOL
RASA3,152872.5,RASA3
NECAP1,20942.0,NECAP1
SLC25A4,7116.0,SLC25A4
GCG,9522.0,GCG
DENND6B,17982.0,DENND6B
C2orf81,7415.0,C2orf81
SLC11A2,49165.0,SLC11A2
USP1,15507.0,USP1
SATL1,151674.0,SATL1
LARGE1,760615.0,LARGE1
SMR3B,20151.0,SMR3B
RAPGEF4,317619.0,RAPGEF4
UTRN,567333.0,UTRN
EIF2B3,136200.0,EIF2B3
UBAP1,73518.0,UBAP1
SYBU,117813.0,SYBU
CUBN,305851.0,CUBN
PRPF3,31754.0,PRPF3
MTHFD2,18955.0,MTHFD2
TTLL12,20512.0,TTLL12
TMEM229B,86655.0,TMEM229B
MSH6,114571.0,MSH6
CHRNB2,12245.0,CHRNB2
SPATA9,46530.0,SPATA9
FAP,74467.0,FAP
PLEKHH1,56311.0,PLEKHH1
C9orf78,8573.0,C9orf78
KCNF1,2291.0,KCNF1
LAMTOR4,7037.0,LAMTOR4
NAA25,82107.0,NAA25
RUNX1,1216866.0,RUNX1
RFESD,38019.0,RFESD
KIF24,58990.0,KIF24
ZNF705G,29270.5,ZNF705G
FEM1B,18117.0,FEM1B
ADAMTS17,370568.0,ADAMTS17
PRSS12,72965.0,PRSS12
ZFP36L1,8593.0,ZFP36L1
LRRC52,19954.0,LRRC52
ZNF572,6094.0,ZNF572
PTPN6,14848.0,PTPN6
MAP11,4303.0,MAP11
PSMC3IP,5516.0,PSMC3IP
ARIH2OS,1603.0,ARIH2OS
DEFB4B,2015.666666666667,DEFB4B
DALRD3,6805.0,DALRD3
FAM76A,37143.0,FAM76A
CATSPERE,186800.0,CATSPERE
AL121753.1,12158.0,AL121753.1
CNTLN,368941.0,CNTLN
MMP24OS,76386.0,MMP24OS
PTPRB,121574.0,PTPRB
PIGH,18331.0,PIGH
C3orf67,332719.0,C3orf67
DEFB103B,1460.0,DEFB103B
SPP2,26455.0,SPP2
PFKFB3,109710.0,PFKFB3
NFATC2IP,16290.0,NFATC2IP
SRGAP1,317517.0,SRGAP1
PPP2R1A,39470.0,PPP2R1A
SNX16,43285.0,SNX16
DEFB108B,4510.0,DEFB108B
CNTNAP3C,122313.0,CNTNAP3C
RBM44,44419.0,RBM44
KIAA1549,149937.0,KIAA1549
PROCR,44168.0,PROCR
DTHD1,64134.0,DTHD1
USP34,283306.0,USP34
SCN4B,19511.0,SCN4B
VILL,19129.0,VILL
SPAG11B,21007.68421052632,SPAG11B
ACTRT3,2640.0,ACTRT3
EIF6,6074.0,EIF6
OPRPN,12264.0,OPRPN
FBXO11,116477.0,FBXO11
DEC1,551676.0,DEC1
LRRFIP1,186095.0,LRRFIP1
MYNN,16885.0,MYNN
HTR4,226203.0,HTR4
F3,12586.0,F3
MLX,6171.0,MLX
HLF,60227.0,HLF
ECHDC3,21704.0,ECHDC3
SPG21,27288.0,SPG21
GTF2A1,45925.0,GTF2A1
NSL1,65629.0,NSL1
ATP6V0A4,93266.0,ATP6V0A4
SNF8,15801.0,SNF8
PFKFB2,46658.0,PFKFB2
MUC7,52505.0,MUC7
SULT1E1,18933.0,SULT1E1
MMD,29302.0,MMD
KCNJ13,10104.0,KCNJ13
TRAFD1,28066.0,TRAFD1
FAM214B,12229.0,FAM214B
SQLE,23786.0,SQLE
CLEC4A,14975.0,CLEC4A
PRKAG2,321001.0,PRKAG2
AASS,70706.0,AASS
DYDC2,23328.0,DYDC2
SNORC,21438.0,SNORC
SNCA,114216.0,SNCA
AC108941.2,37006.0,AC108941.2
MMP24,50308.0,MMP24
WDR6,8891.0,WDR6
RPL13,6171.0,RPL13
BOC,76456.0,BOC
BTNL3,17882.0,BTNL3
ACAD8,12360.0,ACAD8
TMEM9,36802.0,TMEM9
TESK2,147280.0,TESK2
RASGRF1,130826.0,RASGRF1
DYDC1,20650.0,DYDC1
CISD3,4809.0,CISD3
RPS13,3327.0,RPS13
LINC00514,13760.0,LINC00514
PCGF2,15919.5,PCGF2
PDPK1,65209.0,PDPK1
NKX6-3,5491.0,NKX6-3
CFAP97D2,68393.0,CFAP97D2
FAM156B,17254.0,FAM156B
MUTYH,11307.0,MUTYH
LRRC34,19558.0,LRRC34
PARD6A,1832.0,PARD6A
CCNG2,276181.0,CCNG2
DESI2,55930.0,DESI2
DEFB131B,6108.0,DEFB131B
DDX3Y,16370.0,DDX3Y
TMEM213,40149.0,TMEM213
AP002495.1,63145.0,AP002495.1
CERCAM,25600.0,CERCAM
ANXA3,58704.0,ANXA3
SLC44A3,74904.0,SLC44A3
PPP5C,45987.0,PPP5C
SERPINC1,13574.0,SERPINC1
CBX7,32513.0,CBX7
SPICE1,72469.0,SPICE1
DHRS11,8966.0,DHRS11
H2BFWT,2540.0,H2BFWT
DBX1,4458.0,DBX1
H2BFM,2505.0,H2BFM
DHRS7,25737.0,DHRS7
P4HTM,17264.0,P4HTM
CAMKV,11947.0,CAMKV
MSLN,8131.0,MSLN
MTOR,155972.0,MTOR
NLRP13,40637.0,NLRP13
YOD1,9131.0,YOD1
KRT83,7097.0,KRT83
ATG13,57291.0,ATG13
KIR3DP1,13403.5,KIR3DP1
FAM156A,69070.0,FAM156A
LRRIQ4,15853.0,LRRIQ4
CNOT10,88730.0,CNOT10
CFAP44,154680.0,CFAP44
ASIC2,1161877.0,ASIC2
GLRX5,11221.0,GLRX5
FOXC2,2899.0,FOXC2
TRDMT1,64718.0,TRDMT1
CCZ1B,32636.0,CCZ1B
FOXL1,5792.0,FOXL1
LRRC31,30751.0,LRRC31
GPATCH8,108149.0,GPATCH8
KRT85,7475.0,KRT85
TMEM136,8553.0,TMEM136
ZNF462,150468.0,ZNF462
WSB1,21850.0,WSB1
PCNX4,77222.0,PCNX4
PLAGL1,124299.0,PLAGL1
NDUFAF3,3036.0,NDUFAF3
PDLIM3,34952.0,PDLIM3
GNAS,71474.0,GNAS
DEFB104B,4740.75,DEFB104B
CDH11,182359.0,CDH11
AQP8,13201.0,AQP8
WDR20,85344.0,WDR20
PTK2,344316.0,PTK2
DEFB106B,3854.0,DEFB106B
AC112128.1,153250.0,AC112128.1
DEFB105B,1884.8,DEFB105B
CLDN9,1582.0,CLDN9
CASP8AP2,44542.0,CASP8AP2
SAMD7,27603.0,SAMD7
C12orf66,35980.0,C12orf66
ZAR1L,11644.0,ZAR1L
RSPH10B2,45256.0,RSPH10B2
SPOCK3,501412.0,SPOCK3
GUK1,9022.0,GUK1
ARIH2,67561.0,ARIH2
PEX5,29889.0,PEX5
BRCA2,85180.0,BRCA2
TWISTNB,13576.0,TWISTNB
TNFRSF12A,3938.0,TNFRSF12A
NLRP8,40797.0,NLRP8
FHIT,1504182.0,FHIT
LETM1,44677.0,LETM1
MYLPF,7057.0,MYLPF
RPL8,2822.0,RPL8
CLDN6,5359.0,CLDN6
AZIN2,42388.0,AZIN2
MOK,80690.0,MOK
PDGFB,21392.0,PDGFB
DPP6,1006861.0,DPP6
HSF5,68217.0,HSF5
FZD2,2111.0,FZD2
DLL3,9586.0,DLL3
BTNL9,21296.0,BTNL9
C4orf47,23577.0,C4orf47
HECTD4,222251.0,HECTD4
CXCL13,100081.0,CXCL13
MOCS3,5105.0,MOCS3
ADRB2,3442.0,ADRB2
SEPT1,17858.0,SEPT1
GJA10,27291.0,GJA10
ANGPTL7,6626.0,ANGPTL7
KCNG1,19451.0,KCNG1
MICU1,258864.0,MICU1
CCDC110,26570.0,CCDC110
CES4A,21169.0,CES4A
OR4F3,994.0,OR4F3
SECISBP2,41156.0,SECISBP2
CCDC82,37187.0,CCDC82
TGFBR3,225992.0,TGFBR3
PPFIA3,31482.0,PPFIA3
ZKSCAN2,21844.0,ZKSCAN2
GPR161,58124.0,GPR161
AMTN,14174.0,AMTN
CCDC43,16710.0,CCDC43
PRRC2A,17049.85714285714,PRRC2A
SLC25A53,57795.0,SLC25A53
FNBP1L,106530.0,FNBP1L
RAB6D,3031.0,RAB6D
CGNL1,174760.0,CGNL1
ZCCHC18,3715.0,ZCCHC18
SELENOV,5573.0,SELENOV
PTGDR,9011.0,PTGDR
FBXO31,65155.0,FBXO31
PDK3,85245.0,PDK3
CXXC1,5961.0,CXXC1
MEIOC,33904.0,MEIOC
NSMCE2,275441.0,NSMCE2
SPNS1,10327.0,SPNS1
ZNF48,22002.0,ZNF48
NLRP5,62087.0,NLRP5
GALR2,2756.0,GALR2
EXOC7,40560.0,EXOC7
KCNN2,440955.0,KCNN2
EID2B,1864.0,EID2B
PTGER2,14293.0,PTGER2
TMEM126B,7966.0,TMEM126B
LRP2BP,32020.0,LRP2BP
C16orf95,233858.0,C16orf95
ARL4C,4040.0,ARL4C
CNDP2,27638.0,CNDP2
SMIM36,63011.0,SMIM36
SH3PXD2A,261516.0,SH3PXD2A
AC010531.1,31397.0,AC010531.1
OPCML,1117542.0,OPCML
MAP1LC3B,20826.0,MAP1LC3B
SP3,84852.0,SP3
SEC62,31738.0,SEC62
CXADR,80536.0,CXADR
CFAP97,49839.0,CFAP97
HARBI1,15048.0,HARBI1
DNASE1L1,10876.0,DNASE1L1
PROSER2,48938.0,PROSER2
SLC25A47,7035.0,SLC25A47
WASHC5,67559.0,WASHC5
ACOX3,74441.0,ACOX3
PI16,16574.0,PI16
LILRB5,7231.243619489559,LILRB5
RBMXL3,3441.0,RBMXL3
SNX25,165948.0,SNX25
LRCH2,123480.0,LRCH2
NCAPD2,38599.0,NCAPD2
STN1,40615.0,STN1
ZKSCAN5,30049.0,ZKSCAN5
MGST3,30583.0,MGST3
AIPL1,41506.0,AIPL1
PLCH2,61051.084507042244,PLCH2
IGFN1,38127.0,IGFN1
NDUFS3,19226.0,NDUFS3
C4BPB,11133.0,C4BPB
DEFB107B,13464.0,DEFB107B
POLR2J,5789.0,POLR2J
FKRP,30942.0,FKRP
DSN1,22027.0,DSN1
CPNE7,21488.0,CPNE7
PRR23D1,2822.0,PRR23D1
ZNF711,29330.0,ZNF711
OR2V1,8047.0,OR2V1
HSP90AA1,58961.0,HSP90AA1
OR2V2,11699.0,OR2V2
LRWD1,8212.0,LRWD1
MRM1,7393.5,MRM1
RAB40B,43725.0,RAB40B
ZNF789,30760.0,ZNF789
COL11A2,29618.40163934426,COL11A2
PARP1,47402.0,PARP1
GPR160,47397.0,GPR160
KAT5,7608.0,KAT5
AC107959.5,31133.0,AC107959.5
CLP1,12873.0,CLP1
LONRF1,34175.0,LONRF1
SYAP1,45728.0,SYAP1
TNFRSF10C,14847.0,TNFRSF10C
STC2,14790.0,STC2
HNRNPH1,17930.100278551534,HNRNPH1
ZNF253,28788.0,ZNF253
YPEL4,4857.0,YPEL4
WDFY4,298080.0,WDFY4
SLC25A24,66819.5,SLC25A24
IL1F10,7880.0,IL1F10
MTHFD2L,188925.0,MTHFD2L
KIF21B,54310.0,KIF21B
TERF2,53004.0,TERF2
FMN2,460839.0,FMN2
GABRR2,58091.0,GABRR2
C2orf92,38847.0,C2orf92
PRADC1,5229.0,PRADC1
MLF1,36089.0,MLF1
CDKL1,87057.0,CDKL1
FBH1,47391.0,FBH1
NME2,6312.0,NME2
CDS2,71008.0,CDS2
MRPL35,14435.0,MRPL35
CTSL,5360.0,CTSL
KHDC1,69051.0,KHDC1
C2CD6,131757.0,C2CD6
SPON2,42030.0,SPON2
SERPING1,17466.0,SERPING1
ADGRL1,58444.0,ADGRL1
PDE8B,219358.0,PDE8B
CEACAM4,8103.0,CEACAM4
AOC1,36877.0,AOC1
PROS1,106970.0,PROS1
SYT9,230265.0,SYT9
MIF,1033.5,MIF
POGZ,56770.0,POGZ
PRKDC,187075.0,PRKDC
KHDC1L,2226.0,KHDC1L
SNX31,90526.0,SNX31
MITF,228902.0,MITF
ZFP69,19053.0,ZFP69
KCNA1,8351.0,KCNA1
SVOP,113499.0,SVOP
TMEM170A,22443.0,TMEM170A
AL365232.1,53450.0,AL365232.1
TRIB2,25845.0,TRIB2
AC046185.1,49252.0,AC046185.1
PDE4D,1553082.0,PDE4D
HHLA3,30534.0,HHLA3
EDRF1,44628.0,EDRF1
SYNDIG1,196987.0,SYNDIG1
CFDP1,139805.0,CFDP1
CXCL6,12424.0,CXCL6
MCUR1,28011.0,MCUR1
ANOS1,203263.0,ANOS1
STRADA,59650.0,STRADA
AEBP1,10217.0,AEBP1
CCDC180,71220.0,CCDC180
PCDH1,26135.0,PCDH1
EXO5,7815.0,EXO5
NME1-NME2,18154.0,NME1-NME2
ZNF781,24564.0,ZNF781
H2AFV,21292.0,H2AFV
MPPE1,26601.0,MPPE1
ZNF793,41823.0,ZNF793
BNIP1,19945.0,BNIP1
AC009163.4,52022.0,AC009163.4
PIM3,3304.0,PIM3
SLC30A3,22133.0,SLC30A3
USP30,64934.0,USP30
CAPN2,74425.0,CAPN2
CHRNB4,103643.0,CHRNB4
INTS2,62649.0,INTS2
TRAPPC11,54327.0,TRAPPC11
ZNF720,81640.0,ZNF720
NME1,8892.0,NME1
NXF5,25465.0,NXF5
MBL2,6320.0,MBL2
SIM2,50784.0,SIM2
ARHGEF11,110530.0,ARHGEF11
MYH14,122356.0,MYH14
PSMD11,38940.0,PSMD11
AOPEP,360517.0,AOPEP
DNAJC5G,6078.0,DNAJC5G
C8orf89,18173.0,C8orf89
WIPF2,64832.0,WIPF2
GUSB,21531.0,GUSB
AC093227.2,29323.0,AC093227.2
SPAG16,1126122.0,SPAG16
DROSHA,131699.0,DROSHA
ANLN,63970.0,ANLN
ANKRD30A,258323.0,ANKRD30A
SLC4A9,14947.0,SLC4A9
ZNF607,23390.0,ZNF607
IL17REL,18146.0,IL17REL
PLEKHA6,158812.0,PLEKHA6
CEACAM7,26973.681818181816,CEACAM7
TTLL8,41812.0,TTLL8
CCNL1,14252.0,CCNL1
URI1,92968.0,URI1
RNF11,37174.0,RNF11
ZNF571,40008.0,ZNF571
NCKAP5L,37604.0,NCKAP5L
AC242843.1,77416.0,AC242843.1
RMI1,23363.0,RMI1
AC242842.3,165738.0,AC242842.3
ZFP30,78588.0,ZFP30
P2RY6,34112.0,P2RY6
ADRA2B,3695.0,ADRA2B
PLCB2,29759.0,PLCB2
CAB39,108233.0,CAB39
UBTFL1,1181.0,UBTFL1
ASTL,14586.0,ASTL
NBPF19,81023.0,NBPF19
NFX1,80645.0,NFX1
FAM86B2,10621.57142857143,FAM86B2
NLRP3,32952.0,NLRP3
IL37,5911.0,IL37
MLC1,26511.0,MLC1
PF4V1,1187.0,PF4V1
DMBX1,7230.0,DMBX1
MICAL3,236912.0,MICAL3
BCDIN3D,7063.0,BCDIN3D
TOX,313735.0,TOX
MMP21,22241.0,MMP21
ATP9B,291342.51388888893,ATP9B
GPR25,1223.0,GPR25
RDH10,30679.0,RDH10
ZNF540,62773.0,ZNF540
KIAA0895,65904.0,KIAA0895
VDAC2,21294.0,VDAC2
TIGD7,6921.0,TIGD7
RPL7,5547.0,RPL7
PSMB8,3976.1304347826094,PSMB8
VWC2L,167894.0,VWC2L
PPFIBP1,172133.0,PPFIBP1
ZNF263,37601.0,ZNF263
SERPINF2,12430.5,SERPINF2
TRPM2,92918.0,TRPM2
BAMBI,5422.0,BAMBI
ZDHHC3,60928.0,ZDHHC3
NDUFAB1,15302.0,NDUFAB1
TAMM41,46252.31313131314,TAMM41
ZNF75A,13446.0,ZNF75A
TEDC1,9720.0,TEDC1
IL9R,13236.0,IL9R
AC243967.1,48080.0,AC243967.1
TAP1,8769.0,TAP1
HYI,2986.0,HYI
CCDC144A,88344.0,CCDC144A
CEACAM5,21213.0,CEACAM5
YBX3,24234.0,YBX3
IKZF1,101033.0,IKZF1
SEMA7A,24669.0,SEMA7A
CXCL1,1849.0,CXCL1
ALKBH2,5443.0,ALKBH2
FAM9A,10588.0,FAM9A
PERP,18914.0,PERP
HSPB6,3513.0,HSPB6
PROKR2,12329.0,PROKR2
PF4,1047.0,PF4
PNRC1,4409.0,PNRC1
DDX27,24782.0,DDX27
TCF15,6601.0,TCF15
CYTH1,108249.0,CYTH1
PPBP,1751.0,PPBP
ARHGEF10,134689.75247524751,ARHGEF10
PIK3C2B,72096.0,PIK3C2B
ZNF267,43550.0,ZNF267
FZD9,2337.0,FZD9
KIF7,46678.0,KIF7
A4GALT,29177.0,A4GALT
TTC8,56925.0,TTC8
CEACAM6,21234.0,CEACAM6
TUBB2A,3878.0,TUBB2A
PSMB9,33408.84615384616,PSMB9
