Genes,Average_GC,Norm_Symbol
NOL9,47.77,NOL9
ZNF579,64.61,ZNF579
CYP17A1,52.49,CYP17A1
MARK3,42.14999999999999,MARK3
IGHV3OR16-9,54.42,IGHV3OR16-9
ARIH2,44.51,ARIH2
MOB2,54.17,MOB2
SPRR2E,37.98,SPRR2E
GPR21,45.81,GPR21
EID2B,48.95,EID2B
ENTPD1,40.86,ENTPD1
LEFTY2,56.27,LEFTY2
ATP5MPL,47.77,ATP5MPL
HES7,63.33000000000001,HES7
RECQL4,65.51,RECQL4
ST3GAL4,52.01,ST3GAL4
IL2RA,44.48,IL2RA
RNF7,39.14,RNF7
TDGF1,45.44,TDGF1
SULT1A1,52.56,SULT1A1
BRCA2,38.2,BRCA2
CNGA4,48.79,CNGA4
RAB3GAP1,37.96,RAB3GAP1
HTATSF1,37.88,HTATSF1
ZBTB8B,45.12,ZBTB8B
PIK3CB,40.59,PIK3CB
PPP2R5B,54.41,PPP2R5B
NOC3L,37.01,NOC3L
ANKRD35,48.17,ANKRD35
CKMT1A,50.24,CKMT1A
IARS2,39.19,IARS2
TDRD15,35.49,TDRD15
KCNH1,41.06,KCNH1
TM9SF2,40.68,TM9SF2
PODXL2,48.63,PODXL2
EXOG,42.1,EXOG
PSAP,47.68,PSAP
ADGRL3,35.25,ADGRL3
CCL28,41.26,CCL28
ENO3,58.22000000000001,ENO3
TAF11L7,58.46,TAF11L7
NTF4,57.01,NTF4
TASOR2,38.82999999999999,TASOR2
TSFM,44.14,TSFM
MATN3,42.5,MATN3
OR2L8,44.94,OR2L8
ANKRD17,36.17000000000001,ANKRD17
SMIM18,36.33,SMIM18
MRPL51,48.71999999999999,MRPL51
UBE3A,36.200000000000024,UBE3A
LRP12,35.69,LRP12
AC006538.1,59.07,AC006538.1
INPP4B,36.40999999999999,INPP4B
ZNF521,38.07,ZNF521
OR6C75,35.8,OR6C75
CYP2C8,37.59,CYP2C8
ANKRD18A,36.84,ANKRD18A
BUB1,38.21,BUB1
FAM57A,49.92,FAM57A
MOCOS,42.78,MOCOS
OR5A1,39.21,OR5A1
ACBD5,40.95,ACBD5
DHX40,39.62,DHX40
SNCA,36.12,SNCA
ICAM4,60.71,ICAM4
IDO1,39.07,IDO1
COX15,42.42,COX15
OCA2,43.312222222222225,OCA2
USP25,35.41,USP25
STX16,41.01,STX16
PARP10,54.62,PARP10
GOSR2,47.30999999999999,GOSR2
RARS,39.43,RARS
IFNA17,40.31,IFNA17
AGFG1,37.09,AGFG1
LGALS12,52.28,LGALS12
CLGN,35.86,CLGN
MINDY4,48.22,MINDY4
HOXD1,56.07,HOXD1
ZFP42,44.58000000000001,ZFP42
TEX30,40.96,TEX30
AL929561.4,36.69,AL929561.4
ALPG,62.98,ALPG
SRGAP1,39.42,SRGAP1
TERB1,39.95,TERB1
HSD17B12,38.14,HSD17B12
USF1,50.71,USF1
HNRNPCL3,47.02,HNRNPCL3
OR2J1,37.906666666666666,OR2J1
SLC30A1,40.58,SLC30A1
LOXL4,53.19,LOXL4
ASDURF,38.63,ASDURF
KRT16,59.38,KRT16
GCG,34.2,GCG
GPN3,45.03000000000001,GPN3
ATXN2L,52.63999999999999,ATXN2L
LYG2,41.93,LYG2
AL512785.2,49.67,AL512785.2
NRXN3,39.46,NRXN3
GAPVD1,42.11000000000001,GAPVD1
ZFP36L1,53.26,ZFP36L1
MFSD6,39.84,MFSD6
NDST1,52.04,NDST1
AC011005.1,49.93,AC011005.1
GABRQ,48.3,GABRQ
GPR137B,43.63,GPR137B
LY96,41.99,LY96
MS4A12,39.32,MS4A12
LCN2,60.89000000000001,LCN2
RAB6B,49.61000000000001,RAB6B
SCX,68.16,SCX
JMJD1C,38.11,JMJD1C
CPB2,39.0,CPB2
STPG4,47.28,STPG4
EFTUD2,46.17000000000001,EFTUD2
STAT4,37.27,STAT4
KCTD11,60.44,KCTD11
GLG1,42.38,GLG1
H2BFM,46.21,H2BFM
CDH17,40.61,CDH17
PRXL2A,47.5,PRXL2A
DUSP10,41.32,DUSP10
SAP25,68.08,SAP25
FAM135A,36.09,FAM135A
ADAM22,37.29,ADAM22
PCDHGA7,45.38,PCDHGA7
SPOUT1,57.6,SPOUT1
RSPO2,37.74,RSPO2
RBFOX3,55.28,RBFOX3
TAPBPL,50.43,TAPBPL
SH2B2,56.99,SH2B2
UGT1A10,41.6,UGT1A10
EIF2B2,44.02,EIF2B2
CTSO,38.28,CTSO
RIPPLY1,51.27,RIPPLY1
STRA8,48.48,STRA8
OR9Q2,40.57,OR9Q2
INPP5J,55.87,INPP5J
BBS12,39.69,BBS12
KDM3B,43.14,KDM3B
HOXC12,58.16,HOXC12
AC008397.2,54.12,AC008397.2
CYSLTR1,38.17,CYSLTR1
INTS14,40.67000000000001,INTS14
CLCNKA,59.91,CLCNKA
NDUFAF2,36.29,NDUFAF2
HHLA1,42.77,HHLA1
EVI2B,37.11,EVI2B
PRPF4B,38.36,PRPF4B
RFTN1,43.5,RFTN1
ROBO2,35.65,ROBO2
C4B_2,52.28,C4B_2
NTN3,70.83,NTN3
FBXL16,64.23,FBXL16
LHX9,43.13,LHX9
BBX,36.95000000000001,BBX
RNASE6,42.58,RNASE6
TES,37.72,TES
DYDC2,43.12,DYDC2
STXBP5L,36.35,STXBP5L
ADGRA1,60.33000000000001,ADGRA1
TULP3,44.99,TULP3
BTC,37.37,BTC
TACR1,40.29,TACR1
STUM,49.68,STUM
YAE1,40.07,YAE1
AL662852.3,36.64,AL662852.3
TMEM127,51.14000000000001,TMEM127
MPP5,37.63,MPP5
FHL3,56.84,FHL3
LRCH1,40.02,LRCH1
SLC25A43,45.23,SLC25A43
ANP32D,44.58,ANP32D
PDAP1,53.84,PDAP1
SHROOM2,47.43,SHROOM2
FNTA,42.58,FNTA
IFIT1,38.55,IFIT1
TUFM,55.33,TUFM
CCDC91,35.52,CCDC91
SSMEM1,39.82,SSMEM1
MCM3AP,47.4,MCM3AP
RPL3,53.40999999999999,RPL3
TMEM169,43.95,TMEM169
GNA12,45.86,GNA12
FAM3A,55.32,FAM3A
SPPL2C,61.51333333333333,SPPL2C
AC093525.2,58.06,AC093525.2
USP15,34.93,USP15
PALB2,43.53,PALB2
RNF26,59.17,RNF26
RPP14,44.14000000000001,RPP14
AC037459.1,59.10999999999999,AC037459.1
NPIPA3,45.96,NPIPA3
HTR7,40.72,HTR7
ISYNA1,66.58,ISYNA1
TRPC5OS,39.31,TRPC5OS
ZCWPW2,36.04,ZCWPW2
LINS1,40.18,LINS1
RPUSD2,48.66,RPUSD2
C3orf14,35.7,C3orf14
PRR5-ARHGAP8,52.76,PRR5-ARHGAP8
SLC14A1,43.44000000000001,SLC14A1
OSR1,55.71,OSR1
OR10C1,50.0375,OR10C1
PARS2,49.79,PARS2
C16orf90,62.79,C16orf90
NME6,47.25,NME6
SLC12A4,56.90999999999998,SLC12A4
KIAA2013,55.79,KIAA2013
FRA10AC1,34.84,FRA10AC1
NDP,42.21,NDP
TESK2,42.23,TESK2
DDX25,44.92,DDX25
INSIG2,37.96,INSIG2
PCDHGB2,45.22,PCDHGB2
NDC1,40.2,NDC1
XIRP2,36.19,XIRP2
NDUFAF4,38.15,NDUFAF4
ABCA5,34.61000000000001,ABCA5
RAB4A,41.32,RAB4A
BCORL1,49.7,BCORL1
ACOT8,49.07,ACOT8
OR2W3,56.93,OR2W3
GPSM3,52.72692307692307,GPSM3
NPC2,43.65,NPC2
RPS27L,39.85,RPS27L
NME3,69.2,NME3
GABRG3,40.82,GABRG3
PPP1R16B,47.52,PPP1R16B
NFE4,42.69,NFE4
CCDC174,42.28,CCDC174
MAPK10,37.36999999999999,MAPK10
TMEM211,48.56,TMEM211
DIP2B,41.84,DIP2B
COL23A1,50.60999999999999,COL23A1
ASS1,55.65,ASS1
SPATA46,51.83,SPATA46
CORO2A,49.15,CORO2A
TMPRSS5,49.51,TMPRSS5
FBXO44,54.94,FBXO44
DDX17,43.03,DDX17
AC011476.4,50.12,AC011476.4
CYP4V2,42.07,CYP4V2
MFHAS1,44.07666666666666,MFHAS1
IFNE,35.46,IFNE
C20orf144,59.16,C20orf144
FCGR1B,42.06,FCGR1B
EID1,41.64,EID1
ZNF586,46.13,ZNF586
KCNN1,54.70000000000001,KCNN1
TMEM231,45.26,TMEM231
TRIM49D2,37.46,TRIM49D2
SGSM2,54.99,SGSM2
ZNF33B,40.2,ZNF33B
WRN,36.0,WRN
FAM47C,57.09,FAM47C
EML1,45.19000000000001,EML1
C22orf23,50.35,C22orf23
COX7A2,40.34,COX7A2
SRRM5,50.64,SRRM5
NEU4,65.6,NEU4
CT476828.15,73.35,CT476828.15
CDH8,36.82,CDH8
PATE1,44.67,PATE1
C19orf67,55.98,C19orf67
ZFP92,54.68,ZFP92
HARS,44.98,HARS
TAF7,42.08,TAF7
CNBD2,45.62,CNBD2
METTL5,39.58,METTL5
HPCA,57.12,HPCA
CALHM2,55.67,CALHM2
HTR1F,33.82,HTR1F
FAM90A26,53.94,FAM90A26
CRHR1,54.72909090909092,CRHR1
RGPD1,40.42,RGPD1
RBAK,40.26,RBAK
FZD4,45.44,FZD4
MORF4L2,39.39,MORF4L2
PNPLA2,64.52,PNPLA2
MMP20,39.64,MMP20
RPL18A,58.25,RPL18A
AC012314.1,53.97,AC012314.1
CAST,39.41,CAST
GLRA3,35.39,GLRA3
MSRA,43.555,MSRA
SDE2,40.61,SDE2
C2orf78,42.94,C2orf78
OR2AG2,39.84,OR2AG2
KCNK7,60.40999999999999,KCNK7
SYK,44.17,SYK
ZNF397,41.49,ZNF397
SETD4,44.84000000000001,SETD4
DIO1,47.96,DIO1
STON2,41.03,STON2
TRAPPC11,38.51,TRAPPC11
DENND6A,39.72,DENND6A
ZNF582,40.84,ZNF582
PJVK,39.790000000000006,PJVK
MROH6,67.0625,MROH6
UBE2Q2,38.58,UBE2Q2
NMUR2,37.97,NMUR2
PCK2,49.20000000000001,PCK2
ZNF710,50.7,ZNF710
GCSAML-AS1,43.34,GCSAML-AS1
ZNF648,51.55,ZNF648
JTB,50.82,JTB
IFNL3,61.19,IFNL3
RBP7,48.33,RBP7
MYBPC3,57.91,MYBPC3
LHB,64.18,LHB
OAZ3,48.79,OAZ3
LRRN1,40.88,LRRN1
CSNK1G2,61.02,CSNK1G2
IL24,48.47,IL24
OGDH,46.23,OGDH
IGSF10,40.08,IGSF10
DCTPP1,53.23,DCTPP1
RAE1,44.53000000000001,RAE1
NOTCH4,52.15428571428572,NOTCH4
SATB1,36.42000000000001,SATB1
RASGRF2,40.98,RASGRF2
ACVR2B,47.63,ACVR2B
OR6P1,37.83,OR6P1
KANTR,42.45,KANTR
EDNRA,38.78,EDNRA
OR11G2,39.89,OR11G2
AP000721.1,54.58,AP000721.1
TMEM151A,64.72,TMEM151A
GAD2,42.67,GAD2
ZNF764,58.06,ZNF764
GU182343.4,47.39,GU182343.4
MEGF11,49.06399999999999,MEGF11
HNRNPUL2,46.27,HNRNPUL2
ARRDC5,50.25,ARRDC5
SLC12A8,45.27,SLC12A8
IGFBP2,50.33,IGFBP2
OSCP1,45.44,OSCP1
AL513523.9,54.13,AL513523.9
MRGBP,59.24,MRGBP
PRDM12,55.2,PRDM12
UIMC1,42.38,UIMC1
ADGRF2,40.38,ADGRF2
ZNF354C,42.43,ZNF354C
HIST1H4I,46.75,HIST1H4I
HDDC2,40.11,HDDC2
CT45A7,42.87,CT45A7
GPR162,61.54,GPR162
PRODH2,51.56,PRODH2
STARD7,42.97,STARD7
ITGA1,36.8,ITGA1
CUTA,54.89999999999999,CUTA
E2F5,39.54,E2F5
LDHA,43.95,LDHA
MAGEL2,61.17,MAGEL2
CBLL1,36.19,CBLL1
PRSS1,51.965,PRSS1
EREG,36.63,EREG
GU182351.3,49.41,GU182351.3
BCL2L10,52.23,BCL2L10
UST,41.41,UST
NCBP1,37.74,NCBP1
RAD17,39.65500000000001,RAD17
TADA1,40.88,TADA1
TAS2R5,48.39,TAS2R5
IPMK,38.59,IPMK
C17orf64,45.51,C17orf64
AMOTL2,55.04,AMOTL2
GU182352.3,48.8,GU182352.3
CALML5,67.05,CALML5
PIN1,56.31,PIN1
CSNK2A2,41.51,CSNK2A2
PRDX3,45.98,PRDX3
HLTF,35.95,HLTF
BAAT,37.99666666666667,BAAT
SLC5A11,45.54,SLC5A11
TMTC1,39.27,TMTC1
TRAPPC13,36.77,TRAPPC13
LRIF1,36.39,LRIF1
SURF2,59.58,SURF2
SDF2L1,62.21,SDF2L1
OVGP1,45.7,OVGP1
SSB,39.88,SSB
AL590132.1,39.9,AL590132.1
GPR37L1,55.39,GPR37L1
PDZD8,37.49,PDZD8
KDM3A,40.15,KDM3A
MIXL1,51.0,MIXL1
FOSL2,51.81,FOSL2
WNK2,52.37,WNK2
CDV3,42.4,CDV3
UCP3,52.41,UCP3
FMOD,50.22,FMOD
ENOSF1,46.09,ENOSF1
GTF2IRD2B,46.68,GTF2IRD2B
PAPOLA,36.57,PAPOLA
AKAP1,49.96,AKAP1
STKLD1,54.49,STKLD1
CCN6,38.66,CCN6
IQSEC1,53.38,IQSEC1
AC021072.1,61.92,AC021072.1
SLC35F2,43.51,SLC35F2
MACO1,40.69,MACO1
NUP88,42.59,NUP88
BRD1,54.0,BRD1
CDIP1,52.065,CDIP1
ABCB9,52.47,ABCB9
CELSR3,59.87,CELSR3
C5,38.08,C5
KRTAP12-3,63.66,KRTAP12-3
ZNF254,41.43,ZNF254
GYS2,37.1,GYS2
SLC39A2,49.06,SLC39A2
GK5,38.78,GK5
RBM42,53.79,RBM42
FPGT-TNNI3K,36.52,FPGT-TNNI3K
DDN,61.96,DDN
TMEM245,39.52,TMEM245
PCDHAC1,39.4,PCDHAC1
MBOAT4,45.33,MBOAT4
UNC119B,48.12,UNC119B
PRPF4,42.73,PRPF4
FAM220A,48.26,FAM220A
SLC10A5,38.9,SLC10A5
CARD10,57.09000000000001,CARD10
EMILIN3,62.58,EMILIN3
IFNA7,44.78,IFNA7
TPO,48.24500000000001,TPO
MORC2,45.25,MORC2
GIMAP4,44.07,GIMAP4
BZW2,37.77,BZW2
OASL,48.47,OASL
LDLRAD3,44.12,LDLRAD3
GLYCTK,56.8,GLYCTK
TERF2,44.3,TERF2
AC233755.1,57.27,AC233755.1
CELF4,52.36,CELF4
CDY1B,41.35,CDY1B
RNF31,52.92,RNF31
FAM189B,57.4,FAM189B
NSFL1C,45.85999999999999,NSFL1C
DEGS1,46.06,DEGS1
OSCAR,53.03887096774196,OSCAR
AP5S1,51.08,AP5S1
NIPAL2,39.03,NIPAL2
KCNG1,52.17,KCNG1
KIF17,52.54,KIF17
HIST2H2AC,62.82,HIST2H2AC
XAGE1A,41.95,XAGE1A
CLECL1,36.01,CLECL1
AASDHPPT,36.56,AASDHPPT
HIRA,46.11,HIRA
ZNF165,42.29,ZNF165
ZBTB38,42.29,ZBTB38
MED7,41.05,MED7
CLDN17,44.68,CLDN17
PKDCC,56.23,PKDCC
CT476828.4,73.35,CT476828.4
TRIM32,43.29999999999999,TRIM32
ARL8A,53.33,ARL8A
BANK1,36.28,BANK1
AC020909.2,57.68,AC020909.2
TMEM249,64.5,TMEM249
LY6H,69.94,LY6H
SRFBP1,36.16,SRFBP1
CDK5RAP1,44.4,CDK5RAP1
OR10K2,36.19,OR10K2
SNX16,35.17000000000001,SNX16
FLNC,60.86,FLNC
NUDC,48.43,NUDC
FBLIM1,53.52999999999999,FBLIM1
CCDC180,46.88,CCDC180
CACNG4,52.47,CACNG4
SEL1L2,40.67,SEL1L2
MAML2,40.05,MAML2
TMUB1,67.5,TMUB1
AC114490.3,50.52,AC114490.3
GPC4,41.25,GPC4
DCUN1D2,44.88999999999999,DCUN1D2
LHCGR,41.23,LHCGR
SYP,52.69,SYP
DTNB,41.46,DTNB
DHRS9,39.63,DHRS9
TRIM24,39.2,TRIM24
FITM2,49.34,FITM2
C5orf52,48.4,C5orf52
LRRC34,38.99,LRRC34
FAM49A,42.98,FAM49A
OR5D3P,33.25,OR5D3P
ZNF550,44.48,ZNF550
ENDOV,56.47000000000001,ENDOV
CRIP1,68.07,CRIP1
KRT80,55.71,KRT80
TUBB2B,56.79,TUBB2B
MUC16,45.91,MUC16
RAD51C,41.71,RAD51C
CHI3L1,54.8,CHI3L1
SNED1,50.87,SNED1
IFNA16,39.72,IFNA16
KRTAP1-5,48.9,KRTAP1-5
TNKS,37.13142857142857,TNKS
GU182343.2,49.15,GU182343.2
NENF,47.62,NENF
CLIP4,38.44,CLIP4
AC226593.1,39.34,AC226593.1
NAPEPLD,40.36000000000001,NAPEPLD
PGAP2,50.46000000000001,PGAP2
DDX56,53.74,DDX56
TMEM44,50.87,TMEM44
AGAP6,40.81,AGAP6
CDCP1,45.19,CDCP1
CDKN2C,40.97,CDKN2C
LIMK2,47.35,LIMK2
GRM4,56.0,GRM4
AL445989.1,39.1,AL445989.1
MIEF1,49.85,MIEF1
RGS11,64.56,RGS11
NFYB,39.11,NFYB
MYBL1,36.72,MYBL1
ZSCAN26,41.65,ZSCAN26
DPP8,40.97000000000001,DPP8
CHRFAM7A,43.81,CHRFAM7A
VCY,61.99,VCY
ECI2,41.7,ECI2
AC026470.1,42.34,AC026470.1
TMEM213,43.97,TMEM213
PEX3,35.1,PEX3
AGAP2,57.66,AGAP2
CCDC60,43.78,CCDC60
NR4A1,56.01,NR4A1
SLC43A1,50.69,SLC43A1
TMEM72,51.49,TMEM72
ALDH1A2,41.16,ALDH1A2
MPPED2,40.01,MPPED2
KIR3DL1,48.49514705882354,KIR3DL1
LY6G5B,52.6175,LY6G5B
ZC2HC1B,39.82,ZC2HC1B
TAF10,52.53,TAF10
NEURL4,57.23,NEURL4
VPS45,39.17,VPS45
C1QTNF8,65.58,C1QTNF8
TM4SF20,41.12,TM4SF20
TMEM171,47.02,TMEM171
SOD3,49.34,SOD3
GMNN,36.82,GMNN
SOCS3,62.24,SOCS3
SPATA5,37.39,SPATA5
FRG2B,44.33,FRG2B
COL9A2,57.43,COL9A2
OR10Q1,57.28,OR10Q1
AC231657.3,57.57,AC231657.3
TMEM67,37.38,TMEM67
PDE11A,39.155,PDE11A
CADM2,34.0,CADM2
IGSF22,50.45,IGSF22
PLLP,51.12,PLLP
ALX1,31.67,ALX1
CDKN2AIPNL,45.12,CDKN2AIPNL
ZNF493,38.43,ZNF493
SLC35D3,57.5,SLC35D3
IP6K2,47.61,IP6K2
SPRED1,35.19,SPRED1
L34079.1,49.62,L34079.1
SUGCT,38.71,SUGCT
GAL3ST3,55.97,GAL3ST3
USP17L30,52.35,USP17L30
TMEM45A,40.01,TMEM45A
MAT2A,44.47,MAT2A
ATP7B,44.7,ATP7B
GPR142,59.32,GPR142
TTC30B,43.32,TTC30B
TSPYL6,48.79,TSPYL6
C8orf88,32.96,C8orf88
TEX10,37.95,TEX10
CPNE9,48.54,CPNE9
SF3B1,39.45,SF3B1
SERPIND1,46.49,SERPIND1
AKR1A1,49.1,AKR1A1
CARMIL1,39.54,CARMIL1
GUCA1C,39.06,GUCA1C
LIN9,39.7,LIN9
AL139011.2,43.12,AL139011.2
COPS7B,44.89999999999999,COPS7B
ZKSCAN8,38.62,ZKSCAN8
AC091167.6,43.75,AC091167.6
PAPPA2,39.35,PAPPA2
TBC1D7,44.56,TBC1D7
RGPD8,39.88,RGPD8
CFAP65,52.34000000000001,CFAP65
AL162171.1,41.39,AL162171.1
SAV1,37.89,SAV1
EDNRB,38.12,EDNRB
OLFML2A,52.21,OLFML2A
AF196969.1,48.46,AF196969.1
CRKL,45.77,CRKL
SFTPD,44.59,SFTPD
RPS23,44.59,RPS23
CLDN24,51.13,CLDN24
SFMBT1,40.71,SFMBT1
F9,38.93,F9
LAIR2,48.6925,LAIR2
AMPD2,56.74,AMPD2
CST9,49.87,CST9
OOSP1,38.37,OOSP1
C1orf115,47.84,C1orf115
TOR4A,67.76,TOR4A
S100B,45.16,S100B
KIAA0232,42.27,KIAA0232
SLC40A1,38.25,SLC40A1
TXNL4B,44.45,TXNL4B
C11orf87,44.7,C11orf87
PRSS38,42.65,PRSS38
SLC28A3,42.6,SLC28A3
LRTM1,44.17,LRTM1
SNX20,51.29,SNX20
DEFB131B,33.75,DEFB131B
SHC1,53.79,SHC1
GRAMD1B,45.79999999999999,GRAMD1B
SRPX,41.48,SRPX
STAR,51.57,STAR
METTL9,42.825,METTL9
TEKT1,42.61,TEKT1
TECRL,33.53,TECRL
AGBL4,39.05,AGBL4
AMTN,37.6,AMTN
GM2A,47.41,GM2A
CEBPB,66.16,CEBPB
RAB32,38.94,RAB32
ILDR2,42.38999999999999,ILDR2
SCHIP1,39.91,SCHIP1
ADAMTSL5,60.93,ADAMTSL5
UCN2,57.99,UCN2
CEP85L,38.17000000000001,CEP85L
TCEAL2,41.81,TCEAL2
HAP1,54.47000000000001,HAP1
EMP2,48.27,EMP2
DIO2,37.62,DIO2
ATP4B,56.35,ATP4B
RANBP3,52.74,RANBP3
IQCF1,44.14,IQCF1
ELMO2,44.14999999999999,ELMO2
CCDC63,47.84,CCDC63
BAIAP2,60.69,BAIAP2
MCOLN2,40.38,MCOLN2
INS,64.81,INS
KIF7,49.36,KIF7
PSRC1,53.65,PSRC1
DDIT4L,43.04999999999999,DDIT4L
MAN1B1,54.83,MAN1B1
PUF60,61.88444444444443,PUF60
THYN1,43.95,THYN1
YPEL4,55.21,YPEL4
CHD2,39.49,CHD2
PAIP2,43.58,PAIP2
DOT1L,59.52,DOT1L
GTF2H2C_2,38.23,GTF2H2C_2
KCNJ6,42.73,KCNJ6
HDAC4,51.32999999999999,HDAC4
LDHAL6A,41.58,LDHAL6A
CES4A,51.15,CES4A
LRIT1,49.87,LRIT1
NXT1,48.53,NXT1
LMF2,67.14,LMF2
TOE1,52.55,TOE1
ENSA,45.32,ENSA
ODF1,43.79,ODF1
NAA20,41.08,NAA20
POTEG,37.17,POTEG
ZNF598,64.24,ZNF598
LRRC28,38.12,LRRC28
STX1A,58.84,STX1A
GIPC2,38.79,GIPC2
KLHDC7B,66.69,KLHDC7B
OR1A2,45.27,OR1A2
SGCE,35.34999999999999,SGCE
ECSIT,50.88,ECSIT
CT476828.5,73.35,CT476828.5
ZNF761,42.98,ZNF761
SPRR5,49.41,SPRR5
ZC3H12B,39.86,ZC3H12B
GPR89A,38.91,GPR89A
U2AF2,56.03,U2AF2
GMPR2,46.61999999999999,GMPR2
RBBP7,42.25,RBBP7
ACOX2,47.21,ACOX2
TFAP2D,37.24,TFAP2D
SLX4,52.41,SLX4
HBM,58.25,HBM
GNPTAB,40.95,GNPTAB
DIPK2A,37.13,DIPK2A
MYOD1,63.8,MYOD1
CCDC198,39.97,CCDC198
AC254813.1,54.89,AC254813.1
TCEAL7,44.23,TCEAL7
CRBN,37.25,CRBN
OPTC,51.14,OPTC
AC005726.1,51.06,AC005726.1
MYBL2,49.88,MYBL2
PIM1,53.82,PIM1
HVCN1,47.77,HVCN1
PMAIP1,39.83,PMAIP1
FAM160A2,44.54999999999999,FAM160A2
C5orf47,40.36,C5orf47
SLC24A1,44.73,SLC24A1
SLC26A6,59.36999999999999,SLC26A6
AC003112.1,58.34,AC003112.1
MTTP,35.98,MTTP
CAPRIN2,37.58,CAPRIN2
AC097636.2,43.37,AC097636.2
LIMS1,41.38,LIMS1
SIT1,60.02,SIT1
NAA10,57.53,NAA10
BMP1,53.83,BMP1
SCARA5,49.04,SCARA5
MOGAT2,51.97,MOGAT2
RPRML,68.4,RPRML
FAM205A,50.01,FAM205A
OR5M8,43.74,OR5M8
GAGE12E,44.08,GAGE12E
OR7A10,42.43,OR7A10
TAF6L,51.72,TAF6L
HIST1H2BA,47.87,HIST1H2BA
NHLRC2,35.52,NHLRC2
MYCBP,43.34,MYCBP
RAB26,58.26,RAB26
ZNF319,60.06,ZNF319
LRRC36,41.32999999999999,LRRC36
MIS12,44.08,MIS12
ABCC2,45.05,ABCC2
HIST2H4B,46.92,HIST2H4B
PPIA,47.06,PPIA
CFAP20,44.82,CFAP20
OR4D1,42.98,OR4D1
ERICH3,36.47,ERICH3
DDX59,41.97,DDX59
SHLD3,38.83,SHLD3
ZFHX2,52.73,ZFHX2
H3.Y,58.28,H3.Y
KIF5B,37.57,KIF5B
TOX,37.57,TOX
MIA,49.41,MIA
PLXND1,58.39,PLXND1
GC,36.46,GC
MCF2L2,42.38999999999999,MCF2L2
RPS7,44.62,RPS7
MS4A2,38.41,MS4A2
PPP1R1C,36.58,PPP1R1C
SPART,39.04,SPART
SEC61G,39.24,SEC61G
GTF2E1,38.04,GTF2E1
MRFAP1,53.11,MRFAP1
NANOS3,56.97,NANOS3
CLEC4M,52.67,CLEC4M
LTBP4,56.48,LTBP4
GIN1,36.0,GIN1
AMDHD1,43.76,AMDHD1
ZNF682,41.39999999999999,ZNF682
SLC5A3,39.02,SLC5A3
PDCD5,45.21,PDCD5
GPR174,36.54,GPR174
GU182347.8,49.21,GU182347.8
ZFYVE19,53.53,ZFYVE19
OSBPL9,40.07999999999999,OSBPL9
CDC37,54.04,CDC37
ACTN1,50.81,ACTN1
LNX1,41.42000000000001,LNX1
PPP1R9B,59.42,PPP1R9B
RIPOR2,41.72000000000001,RIPOR2
ELAC1,41.78,ELAC1
FLAD1,51.25,FLAD1
AL845331.2,52.12,AL845331.2
TMEM14A,41.72,TMEM14A
PYCARD,61.88,PYCARD
CALN1,43.35,CALN1
XIRP1,58.29,XIRP1
WFS1,57.04,WFS1
AMY1C,34.04,AMY1C
C20orf204,63.16,C20orf204
GCNT7,45.02,GCNT7
PRMT8,45.94,PRMT8
SLC9A4,40.97,SLC9A4
CENPQ,37.99,CENPQ
TBC1D9,41.17,TBC1D9
SLCO1B1,35.22,SLCO1B1
MYPOP,54.09,MYPOP
SPATA2L,62.68,SPATA2L
CDK7,40.47000000000001,CDK7
PSAT1,45.6,PSAT1
CDX1,53.77,CDX1
RBM15,44.01,RBM15
FOXC2,63.17,FOXC2
C1orf87,38.38,C1orf87
IGFN1,52.47,IGFN1
BAG3,49.77,BAG3
ADAMTS19,34.94,ADAMTS19
CTNND1,42.81,CTNND1
SLC1A6,46.49,SLC1A6
TCL1A,50.16,TCL1A
BHLHE41,48.58,BHLHE41
GPR42,59.93,GPR42
CASP2,43.43,CASP2
COX7A1,63.15,COX7A1
ASIC1,54.15,ASIC1
VCPKMT,39.75,VCPKMT
FAM86B2,53.63,FAM86B2
PLCD3,57.79,PLCD3
DHRS2,49.5,DHRS2
HOXC10,52.92,HOXC10
NPR1,55.39,NPR1
TST,57.04,TST
CD320,58.36,CD320
DNAH5,38.97,DNAH5
PPFIA2,34.5,PPFIA2
AC002996.1,50.58,AC002996.1
DNMT1,50.43,DNMT1
CC2D1A,53.88,CC2D1A
CHRNB3,44.81,CHRNB3
ZC3H12D,50.10999999999999,ZC3H12D
MAGEC3,39.06,MAGEC3
TMEM94,52.0,TMEM94
AC213203.2,60.17,AC213203.2
PSMG3,57.70000000000001,PSMG3
PIGL,44.78,PIGL
SNAI3,57.19,SNAI3
CSRP3,42.88,CSRP3
TIMP1,53.47000000000001,TIMP1
ANAPC4,37.97,ANAPC4
SS18L1,55.0,SS18L1
DAPK3,58.44,DAPK3
TRIM62,51.85,TRIM62
SLC9C1,37.335,SLC9C1
GPR157,49.97,GPR157
HTR4,38.87,HTR4
SLC15A5,36.22,SLC15A5
NETO1,36.85,NETO1
ARL1,39.41,ARL1
CLLU1OS,38.76,CLLU1OS
TCTEX1D4,69.86,TCTEX1D4
PTDSS2,56.21,PTDSS2
HOXB9,55.85,HOXB9
DPPA4,43.85,DPPA4
PSMA5,40.76,PSMA5
FAM129A,40.12,FAM129A
RADX,35.16,RADX
ARGFX,41.37,ARGFX
RPP21,45.85117647058824,RPP21
ANXA3,39.9,ANXA3
