Genes,Average No. of Exons per Transcript,Norm_Symbol
GRPR,3.0,GRPR
MISP3,2.75,MISP3
SERTM2,2.5,SERTM2
SMC1B,24.0,SMC1B
CRIP2,6.2727272727272725,CRIP2
ZC3H3,5.666666666666668,ZC3H3
UQCRH,3.4,UQCRH
CST4,3.0,CST4
C19orf67,4.666666666666667,C19orf67
STX7,7.5,STX7
TMEM119,2.75,TMEM119
C20orf194,21.0,C20orf194
EPHA3,13.666666666666664,EPHA3
CST1,3.5,CST1
H2AFB2,1.0,H2AFB2
SLC43A1,7.7,SLC43A1
ATP6V0E1,3.25,ATP6V0E1
GGT7,7.0,GGT7
DTX2,4.67741935483871,DTX2
SELPLG,2.0,SELPLG
PCYOX1,4.666666666666667,PCYOX1
ISYNA1,6.571428571428571,ISYNA1
HSFX1,2.0,HSFX1
MAGEA9,4.0,MAGEA9
TLR5,4.25,TLR5
TCN2,6.2857142857142865,TCN2
D2HGDH,4.9375,D2HGDH
IL1A,7.0,IL1A
AC009070.1,3.8571428571428568,AC009070.1
ARAP3,21.285714285714285,ARAP3
TLCD2,4.0,TLCD2
MAP6,3.25,MAP6
HDGFL2,7.8,HDGFL2
LINC02210-CRHR1,10.0,LINC02210-CRHR1
DUPD1,3.0,DUPD1
RIBC2,4.666666666666667,RIBC2
GDI2,6.4444444444444455,GDI2
NDUFB10,3.4,NDUFB10
OCM,4.5,OCM
NSUN5,7.571428571428571,NSUN5
DERL3,4.5,DERL3
FBXO43,4.333333333333333,FBXO43
CTRB1,5.4,CTRB1
RNLS,5.2,RNLS
ZNF221,5.2,ZNF221
POLR2K,3.333333333333333,POLR2K
NPR1,10.0,NPR1
PES1,8.615384615384615,PES1
MYH3,10.8,MYH3
TAAR9,1.0,TAAR9
FZD1,1.0,FZD1
TAAR8,1.0,TAAR8
CUL4A,11.333333333333336,CUL4A
TAAR6,1.0,TAAR6
IFT74,11.545454545454545,IFT74
TAAR5,1.0,TAAR5
KCNAB1,10.133333333333333,KCNAB1
SMARCB1,5.642857142857142,SMARCB1
SUSD4,6.0,SUSD4
SMCO2,5.5,SMCO2
HLA-DQA2,4.75,HLA-DQA2
DPH5,6.333333333333332,DPH5
AKR1B15,8.75,AKR1B15
LIPJ,6.0,LIPJ
POMGNT2,2.5,POMGNT2
SSBP4,8.4,SSBP4
HLA-DQB2,5.0,HLA-DQB2
NUTM2F,7.5,NUTM2F
PLIN4,7.0,PLIN4
MYH10,14.090909090909092,MYH10
ZNF155,4.4444444444444455,ZNF155
EIF2S3B,1.5,EIF2S3B
RSPH10B,10.2,RSPH10B
SPACA1,4.333333333333333,SPACA1
CEBPD,1.0,CEBPD
TIMM10,3.0,TIMM10
AC092718.8,4.5,AC092718.8
CST2,3.0,CST2
SPDYE16,7.0,SPDYE16
CRK,3.0,CRK
TAX1BP3,3.5,TAX1BP3
CMC2,4.375,CMC2
BPGM,3.25,BPGM
CST5,3.0,CST5
PRRT1B,4.0,PRRT1B
REX1BD,3.625,REX1BD
AP2A2,5.925373134328357,AP2A2
CTNS,6.6,CTNS
UPK3B,4.0,UPK3B
MAGEA8,3.4,MAGEA8
PPIA,4.8,PPIA
LIPF,8.166666666666666,LIPF
VCPKMT,5.4,VCPKMT
ZNF230,3.6,ZNF230
MAPK8,7.4375,MAPK8
AFAP1,9.2,AFAP1
CLSTN2,14.0,CLSTN2
TRMT1L,6.75,TRMT1L
UBA52,4.5,UBA52
F8A2,1.0,F8A2
RAPGEFL1,8.818181818181818,RAPGEFL1
GOLGA6L6,9.0,GOLGA6L6
F8A3,1.0,F8A3
AC019117.3,12.0,AC019117.3
H2AFB3,1.0,H2AFB3
PLAA,7.0,PLAA
IRX2,4.5,IRX2
ABRAXAS2,9.0,ABRAXAS2
ARHGAP30,9.0,ARHGAP30
TMLHE,3.8333333333333335,TMLHE
KRT36,7.5,KRT36
RNF19A,4.066666666666666,RNF19A
CCZ1,6.142857142857142,CCZ1
SEZ6L2,11.444444444444445,SEZ6L2
PIRT,2.0,PIRT
TMEM238L,2.0,TMEM238L
PRKY,5.0,PRKY
P2RX5,8.636363636363637,P2RX5
ANGPTL6,4.75,ANGPTL6
NSUN4,4.777777777777779,NSUN4
EARS2,4.764705882352942,EARS2
ABHD5,5.9375,ABHD5
ANKRD36B,22.75,ANKRD36B
CNR1,2.142857142857143,CNR1
RTL8B,1.0,RTL8B
SCO1,4.8,SCO1
NEU4,3.4705882352941178,NEU4
LRRC19,4.0,LRRC19
AHR,6.7142857142857135,AHR
PARP4,13.333333333333336,PARP4
C16orf46,3.25,C16orf46
POLDIP3,6.5555555555555545,POLDIP3
RBM25,10.583333333333334,RBM25
C19orf66,5.636363636363638,C19orf66
CTBP2,6.357142857142858,CTBP2
SPAG1,9.428571428571429,SPAG1
ZNF496,5.8,ZNF496
HBEGF,3.333333333333333,HBEGF
SPRY3,2.0,SPRY3
REN,11.0,REN
MYL12B,4.0,MYL12B
TMEM220,4.333333333333333,TMEM220
DDX59,4.75,DDX59
SAMD1,4.0,SAMD1
TRIM50,4.75,TRIM50
UBFD1,4.2,UBFD1
SMTNL1,7.5,SMTNL1
IL9,5.0,IL9
TAAR2,1.5,TAAR2
RNF212,6.066666666666666,RNF212
EBF2,11.5,EBF2
LIPK,9.0,LIPK
MOGAT2,4.25,MOGAT2
UBE2L6,3.8,UBE2L6
RGS12,7.1923076923076925,RGS12
NDEL1,4.684210526315789,NDEL1
SSR3,4.333333333333333,SSR3
ADPRM,3.25,ADPRM
MYL12A,3.083333333333333,MYL12A
CTSV,7.0,CTSV
TMEM130,5.25,TMEM130
ETF1,6.777777777777778,ETF1
AC003112.1,6.6,AC003112.1
TAAR1,1.0,TAAR1
GSDMD,6.4375,GSDMD
SNRK,4.375,SNRK
IL1B,4.625,IL1B
CEACAM21,6.307692307692308,CEACAM21
GAL3ST2,3.333333333333333,GAL3ST2
CXorf40B,4.714285714285714,CXorf40B
IRX6,5.5,IRX6
TAP2,8.243243243243244,TAP2
SAMD8,5.5,SAMD8
CLDN24,1.0,CLDN24
MAGOHB,4.454545454545454,MAGOHB
CDKN2AIP,2.6,CDKN2AIP
WDR81,6.071428571428571,WDR81
NBPF9,20.33333333333333,NBPF9
DGAT2,5.222222222222221,DGAT2
ANO10,6.411764705882352,ANO10
CRLF1,4.0,CRLF1
DUSP13,5.266666666666667,DUSP13
DAAM2,12.818181818181818,DAAM2
PPM1F,4.1,PPM1F
SLCO1B3,10.4,SLCO1B3
CORO1C,6.2631578947368425,CORO1C
C5orf38,3.3,C5orf38
RAPGEF2,8.8,RAPGEF2
NLRP14,12.0,NLRP14
RAX,2.0,RAX
TOP3B,7.9411764705882355,TOP3B
SWT1,14.333333333333336,SWT1
TRIP10,9.153846153846152,TRIP10
CDKN2C,3.0,CDKN2C
CRHBP,4.4,CRHBP
AC011604.2,15.0,AC011604.2
NIM1K,3.6,NIM1K
MFSD14B,9.5,MFSD14B
POMZP3,5.6,POMZP3
SEPT7,7.263157894736842,SEPT7
ING2,2.0,ING2
ZRANB1,6.0,ZRANB1
HSFX4,2.0,HSFX4
CCNE1,7.428571428571429,CCNE1
GGTLC1,5.666666666666668,GGTLC1
PFKFB4,8.933333333333334,PFKFB4
CLDN20,2.0,CLDN20
NECTIN4,6.0,NECTIN4
TFB1M,3.7777777777777777,TFB1M
LIN37,4.777777777777779,LIN37
NOTO,3.0,NOTO
CPLX4,3.0,CPLX4
EMC6,2.0,EMC6
SLCO1B7,8.5,SLCO1B7
CHRNA5,4.75,CHRNA5
P2RX5-TAX1BP3,15.0,P2RX5-TAX1BP3
CIB3,5.0,CIB3
VCX,4.0,VCX
MOCS1,8.777777777777779,MOCS1
TRIM42,5.0,TRIM42
DACT1,4.0,DACT1
LECT2,3.6,LECT2
FBP2,7.0,FBP2
PSENEN,3.6666666666666665,PSENEN
BBS7,8.333333333333334,BBS7
ITGB6,11.625,ITGB6
ASAH1,9.18840579710145,ASAH1
CCDC185,1.0,CCDC185
AC022335.1,6.0,AC022335.1
CHMP5,5.666666666666668,CHMP5
FBP1,6.5,FBP1
CHRNA3,3.875,CHRNA3
STYK1,5.166666666666667,STYK1
SPIN4,1.0,SPIN4
RBMXL2,1.0,RBMXL2
TIAM2,10.3,TIAM2
AD000671.1,11.0,AD000671.1
STAT2,16.0,STAT2
CYP1B1,2.571428571428572,CYP1B1
SLCO1B1,15.0,SLCO1B1
PLIN5,3.8333333333333335,PLIN5
ATP13A1,8.8,ATP13A1
CTAGE15,1.0,CTAGE15
C1orf185,4.4,C1orf185
CCDC196,9.5,CCDC196
LRRC37A,13.333333333333336,LRRC37A
RMDN2,7.666666666666668,RMDN2
PNPLA4,6.5,PNPLA4
KRT13,5.333333333333333,KRT13
STRBP,9.6,STRBP
GJD4,2.0,GJD4
VNN1,7.0,VNN1
CPA6,7.333333333333332,CPA6
LRG1,2.5,LRG1
PEBP4,4.666666666666667,PEBP4
FZD8,1.0,FZD8
AC011498.4,4.0,AC011498.4
TCAF2C,6.0,TCAF2C
ADSSL1,6.416666666666668,ADSSL1
TCAF2,6.857142857142858,TCAF2
RNGTT,14.25,RNGTT
EGR3,2.2,EGR3
CXCL8,3.0,CXCL8
RIPK1,9.666666666666666,RIPK1
RPRM,1.0,RPRM
MTIF2,6.833333333333332,MTIF2
RHOBTB2,6.125,RHOBTB2
SNRPG,3.7777777777777777,SNRPG
B3GALT6,1.0,B3GALT6
MEN1,7.1875,MEN1
TIPARP,5.7142857142857135,TIPARP
C1QTNF12,3.6,C1QTNF12
TGM4,5.0,TGM4
TRIM49C,8.0,TRIM49C
NPHP1,13.545454545454545,NPHP1
FBLN1,7.277777777777778,FBLN1
AHSA1,5.0769230769230775,AHSA1
POTEB2,10.0,POTEB2
REEP5,4.428571428571429,REEP5
EPC2,5.166666666666667,EPC2
GPHN,10.0625,GPHN
SLC16A8,3.6666666666666665,SLC16A8
ZNF284,5.0,ZNF284
MAP4,7.8125,MAP4
MTX1,6.857142857142858,MTX1
AC092072.1,4.2,AC092072.1
RHCG,8.428571428571429,RHCG
CYB5R3,7.5,CYB5R3
TAF1B,6.727272727272728,TAF1B
SMAP2,8.166666666666666,SMAP2
SLC25A36,5.3125,SLC25A36
PRKACA,6.4,PRKACA
ZNF222,4.25,ZNF222
VCX2,3.0,VCX2
KLHDC9,3.5,KLHDC9
BAIAP2L2,11.0,BAIAP2L2
AC067968.1,11.0,AC067968.1
KCNT2,23.5,KCNT2
THBS3,12.454545454545455,THBS3
PROP1,2.333333333333333,PROP1
SSH1,8.0,SSH1
FKBP6,7.5,FKBP6
DDX42,7.947368421052633,DDX42
CHD8,16.04,CHD8
AC008575.1,8.0,AC008575.1
VIPAS39,13.363636363636365,VIPAS39
IRX1,4.0,IRX1
P2RY2,3.0,P2RY2
CAPN8,7.1818181818181825,CAPN8
TNFRSF10B,5.625,TNFRSF10B
APC,10.0,APC
OLFML1,2.8,OLFML1
CAMSAP3,11.0,CAMSAP3
RWDD4,6.428571428571429,RWDD4
NSMAF,9.833333333333334,NSMAF
VCX3B,4.0,VCX3B
SSH3,7.363636363636362,SSH3
CDH1,10.071428571428571,CDH1
MECR,6.222222222222222,MECR
PPFIBP2,7.296296296296298,PPFIBP2
SOS2,10.666666666666666,SOS2
LIPN,9.0,LIPN
UCN2,2.0,UCN2
SPSB4,2.75,SPSB4
NPPC,2.5,NPPC
AP000350.12,6.0,AP000350.12
KISS1,3.0,KISS1
CENPW,3.0,CENPW
LIPM,9.0,LIPM
BAD,3.1428571428571432,BAD
ATP5MGL,1.0,ATP5MGL
RSPO3,5.0,RSPO3
ANKRD22,4.0,ANKRD22
CDK12,6.2,CDK12
GOLT1A,3.5,GOLT1A
CENPK,7.117647058823528,CENPK
NDUFC2-KCTD14,3.0,NDUFC2-KCTD14
ANKRD46,3.9090909090909087,ANKRD46
GPR137,4.578947368421051,GPR137
LIMD2,4.166666666666667,LIMD2
THRSP,2.0,THRSP
S100G,3.0,S100G
PIKFYVE,14.888888888888891,PIKFYVE
NIT1,4.75,NIT1
RAPGEF1,13.857142857142858,RAPGEF1
CTPS2,12.8,CTPS2
PREX2,19.2,PREX2
NDUFC2,2.6,NDUFC2
PACS1,5.866666666666666,PACS1
TMPO,4.6923076923076925,TMPO
LEKR1,5.416666666666668,LEKR1
CLDN14,2.6,CLDN14
KCTD14,2.5,KCTD14
ASF1B,3.4,ASF1B
HCFC1,16.25,HCFC1
SIM1,6.75,SIM1
RYR2,37.444444444444436,RYR2
MAP3K3,10.818181818181818,MAP3K3
DEFB130A,2.0,DEFB130A
CREBRF,4.833333333333333,CREBRF
SRP19,4.083333333333333,SRP19
FAM136A,3.0,FAM136A
SALL3,3.3529411764705883,SALL3
EEPD1,5.2,EEPD1
CAMSAP2,10.333333333333334,CAMSAP2
MAPK3,6.066666666666666,MAPK3
CNOT9,5.5555555555555545,CNOT9
PFDN2,3.0,PFDN2
DAZ3,17.333333333333332,DAZ3
POTED,9.5,POTED
MTERF1,3.125,MTERF1
DEDD,5.666666666666668,DEDD
DENND1A,11.75,DENND1A
SGO1,7.461538461538463,SGO1
KIR2DS5,7.68,KIR2DS5
SLC6A4,11.0,SLC6A4
ZFP69B,5.25,ZFP69B
COX5B,4.0,COX5B
VKORC1L1,2.75,VKORC1L1
ARHGAP22,5.933333333333334,ARHGAP22
GTF2B,5.142857142857143,GTF2B
SCAF8,12.833333333333336,SCAF8
ANKRD13C,7.6,ANKRD13C
DAO,7.5,DAO
TTYH2,7.666666666666668,TTYH2
KAT2B,6.6,KAT2B
FICD,2.4,FICD
ZBTB8OS,5.066666666666666,ZBTB8OS
AL033529.1,10.0,AL033529.1
IFITM10,2.0,IFITM10
RNF216,8.555555555555555,RNF216
CARHSP1,3.9,CARHSP1
CD99,7.133333333333334,CD99
CCDC138,8.125,CCDC138
INSYN1,2.5,INSYN1
TMEM173,5.086956521739131,TMEM173
HRAS,4.454545454545454,HRAS
CALR,4.571428571428571,CALR
THBS4,9.428571428571429,THBS4
NT5C1A,6.0,NT5C1A
TOMM20L,4.5,TOMM20L
BRINP3,3.6,BRINP3
TIMM9,4.5,TIMM9
USP50,5.6,USP50
LRRN3,3.0,LRRN3
HPCAL4,4.0,HPCAL4
ZFY,5.428571428571429,ZFY
ATG4B,7.115384615384616,ATG4B
GTSF1L,1.5,GTSF1L
DDIT4L,2.6666666666666665,DDIT4L
DNAAF3,6.529411764705883,DNAAF3
RAB41,6.333333333333332,RAB41
IMMP2L,4.7,IMMP2L
GNLY,4.142857142857143,GNLY
CPEB2,9.333333333333334,CPEB2
H2AFZ,3.8571428571428568,H2AFZ
WFDC3,4.461538461538462,WFDC3
USP38,10.0,USP38
PSG9,4.5555555555555545,PSG9
KIAA0586,19.16,KIAA0586
EIF1AY,4.6,EIF1AY
MOB2,3.2857142857142856,MOB2
PRR30,3.5,PRR30
MAST2,9.6,MAST2
MICU2,6.5,MICU2
TMEM186,2.5,TMEM186
KCTD15,5.083333333333333,KCTD15
RUNDC3B,7.222222222222222,RUNDC3B
PMM2,5.277777777777779,PMM2
BANF1,2.625,BANF1
ZFP14,4.0,ZFP14
IGSF5,5.666666666666668,IGSF5
MCTP1,10.777777777777779,MCTP1
CCER2,4.0,CCER2
DLL1,7.0,DLL1
INPP1,4.266666666666667,INPP1
MGAT1,2.36,MGAT1
RGS21,5.0,RGS21
PRAME,4.5555555555555545,PRAME
EIF1AD,5.090909090909091,EIF1AD
RGS2,3.75,RGS2
CHIC1,6.25,CHIC1
AKAP7,4.5555555555555545,AKAP7
AC010327.2,9.0,AC010327.2
FAM120B,8.8,FAM120B
PHRF1,15.666666666666664,PHRF1
B3GNT7,2.0,B3GNT7
GAB1,4.857142857142857,GAB1
RGS13,5.25,RGS13
DBT,9.5,DBT
TMEM88B,2.0,TMEM88B
CAPZB,7.111111111111112,CAPZB
PRAMEF26,4.0,PRAMEF26
FBXO9,6.6923076923076925,FBXO9
HUS1,6.125,HUS1
RGS1,3.1666666666666665,RGS1
SLAMF7,4.727272727272728,SLAMF7
GALNT3,5.111111111111111,GALNT3
ABAT,8.5625,ABAT
SLC25A30,6.625,SLC25A30
TRNAU1AP,5.8,TRNAU1AP
ZNF587,2.4,ZNF587
COL1A1,7.615384615384616,COL1A1
C1QTNF7,2.8571428571428568,C1QTNF7
HPS5,10.454545454545457,HPS5
UBXN2A,6.25,UBXN2A
TMEM170B,3.0,TMEM170B
MYO10,15.25,MYO10
RTCA,7.4,RTCA
PPP1R12C,10.111111111111109,PPP1R12C
AC010326.2,6.0,AC010326.2
NMT1,5.0769230769230775,NMT1
AL136454.1,1.0,AL136454.1
DBN1,8.272727272727273,DBN1
RGS18,4.75,RGS18
ZNF417,3.571428571428572,ZNF417
FST,4.4,FST
PRR14L,4.714285714285714,PRR14L
C2orf50,3.5,C2orf50
ZNF461,4.071428571428571,ZNF461
VWA1,2.5,VWA1
ZNF587B,3.5,ZNF587B
CFAP57,10.625,CFAP57
HELZ2,8.0,HELZ2
GOLGA8F,10.416666666666666,GOLGA8F
ZNF586,3.0,ZNF586
PCP4,3.5,PCP4
E2F3,6.333333333333332,E2F3
NDUFS4,4.833333333333333,NDUFS4
AP5Z1,8.736842105263158,AP5Z1
DCAKD,4.666666666666667,DCAKD
IGSF6,3.6666666666666665,IGSF6
MIIP,5.428571428571429,MIIP
EZR,12.0,EZR
AC010522.1,3.333333333333333,AC010522.1
ICK,14.5,ICK
C18orf25,3.333333333333333,C18orf25
PRDM9,8.666666666666666,PRDM9
CFAP206,11.0,CFAP206
METTL9,3.5454545454545454,METTL9
ZNF552,2.5,ZNF552
SELENOW,4.3125,SELENOW
AC010327.1,9.0,AC010327.1
SNTG1,13.166666666666664,SNTG1
HES3,4.0,HES3
ZNF814,3.4,ZNF814
CRABP1,3.0,CRABP1
ITGAX,13.857142857142858,ITGAX
GPR153,6.0,GPR153
SMS,7.75,SMS
CIDEA,5.0,CIDEA
ACBD4,7.6875,ACBD4
ADM,3.25,ADM
SLC35A1,7.0,SLC35A1
ARL15,4.714285714285714,ARL15
NRL,2.833333333333333,NRL
TMEM125,3.25,TMEM125
ZNF850,4.666666666666667,ZNF850
TBC1D21,10.333333333333334,TBC1D21
KLK12,5.857142857142858,KLK12
NBL1,3.928571428571429,NBL1
ZNF567,4.285714285714286,ZNF567
AP000552.3,1.0,AP000552.3
SUN3,8.2,SUN3
RIMBP3B,1.0,RIMBP3B
EBNA1BP2,5.777777777777778,EBNA1BP2
CT55,5.5,CT55
MYO1F,6.2727272727272725,MYO1F
NDUFAF1,4.0,NDUFAF1
DMRT3,1.5,DMRT3
SLC16A3,3.636363636363636,SLC16A3
ATAD3C,6.666666666666668,ATAD3C
PARD3B,13.5,PARD3B
SYT5,5.0,SYT5
AL049697.1,10.333333333333334,AL049697.1
ZNF75D,4.25,ZNF75D
RBMY1D,11.333333333333336,RBMY1D
C5orf58,3.5,C5orf58
THAP4,4.333333333333333,THAP4
CSTF2,12.25,CSTF2
TSBP1,24.5,TSBP1
SIKE1,3.3,SIKE1
RAD23A,7.0,RAD23A
ATOH8,3.0,ATOH8
TXNDC15,3.4,TXNDC15
ETDA,2.5,ETDA
LCP2,8.6,LCP2
ETDC,1.0,ETDC
RTF1,6.0,RTF1
PRMT2,6.8125,PRMT2
ANKFY1,11.142857142857142,ANKFY1
TCF23,2.5,TCF23
LRRC10B,1.0,LRRC10B
MFSD2B,10.166666666666666,MFSD2B
SLF1,7.0,SLF1
GUCY2D,11.0,GUCY2D
PPP2R2C,7.4444444444444455,PPP2R2C
KLK13,4.777777777777779,KLK13
PLCD3,4.416666666666667,PLCD3
HEXIM2,3.375,HEXIM2
LOXL1,5.0,LOXL1
ISLR2,3.333333333333333,ISLR2
WDCP,3.0,WDCP
HSPB3,1.0,HSPB3
MAP7,17.333333333333332,MAP7
TPT1,4.357142857142857,TPT1
SNX18,1.6666666666666667,SNX18
MICOS10,3.9090909090909087,MICOS10
AJAP1,4.666666666666667,AJAP1
AL645941.2,4.0,AL645941.2
APH1B,4.4,APH1B
RNF165,4.375,RNF165
FKBP1B,4.5,FKBP1B
AFF3,8.666666666666666,AFF3
GADD45GIP1,2.0,GADD45GIP1
EWSR1,10.0,EWSR1
BTNL2,4.928571428571429,BTNL2
AP4M1,9.823529411764708,AP4M1
HEXIM1,1.0,HEXIM1
SPDYE1,8.0,SPDYE1
ZFP82,2.6666666666666665,ZFP82
CSNK1D,5.038461538461538,CSNK1D
TNFRSF8,10.4,TNFRSF8
CD177,7.0,CD177
MICOS10-NBL1,8.0,MICOS10-NBL1
PDZD11,6.25,PDZD11
ESCO1,8.5,ESCO1
RPS4Y2,7.0,RPS4Y2
DXO,4.6117647058823525,DXO
TRAF4,4.411764705882354,TRAF4
OLR1,4.181818181818182,OLR1
AC115220.1,4.0,AC115220.1
IL3,5.0,IL3
UBE2D4,5.727272727272728,UBE2D4
RIPPLY2,2.6666666666666665,RIPPLY2
NQO1,5.0,NQO1
RPRML,1.0,RPRML
RGS6,13.2,RGS6
LRFN4,2.333333333333333,LRFN4
AC005670.2,9.0,AC005670.2
RETREG1,5.166666666666667,RETREG1
MIA2,16.210526315789473,MIA2
KIF4A,17.5,KIF4A
ABCA10,16.5,ABCA10
LAMP5,5.5,LAMP5
PC,14.36842105263158,PC
AL445685.3,7.0,AL445685.3
TGIF2LY,1.5,TGIF2LY
ZNF449,3.5,ZNF449
TXNDC12,4.6,TXNDC12
HLA-DRA,4.4,HLA-DRA
GLO1,4.5,GLO1
OXCT1,7.125,OXCT1
SMIM10L2A,2.0,SMIM10L2A
STK32A,7.1,STK32A
MPP1,6.111111111111112,MPP1
CYB5D2,4.0,CYB5D2
LSM5,4.5,LSM5
API5,8.363636363636363,API5
EPS8L1,8.157894736842103,EPS8L1
CDKAL1,9.75,CDKAL1
CLCN7,9.214285714285714,CLCN7
TNFRSF1B,6.75,TNFRSF1B
RAB20,2.0,RAB20
CRELD1,6.454545454545454,CRELD1
DENND1C,10.642857142857142,DENND1C
INTS6L,12.5,INTS6L
KTI12,1.0,KTI12
NAXD,8.666666666666666,NAXD
TMEM175,7.545454545454546,TMEM175
RADIL,7.857142857142858,RADIL
TMEM52B,3.333333333333333,TMEM52B
KLK14,7.0,KLK14
STK19,5.128205128205129,STK19
FBXO5,4.0,FBXO5
TMEM177,2.1666666666666665,TMEM177
DUOXA1,6.375,DUOXA1
FBXO48,4.0,FBXO48
ADTRP,5.0,ADTRP
PAPOLB,1.0,PAPOLB
TTC23L,6.888888888888888,TTC23L
MTRF1L,5.181818181818182,MTRF1L
PROM2,12.727272727272727,PROM2
PROKR1,3.0,PROKR1
OSTF1,10.0,OSTF1
CSF2,4.0,CSF2
APLF,7.2857142857142865,APLF
CYYR1,4.0,CYYR1
PRRG4,6.0,PRRG4
TAGAP,9.0,TAGAP
SEC11A,5.0,SEC11A
NOX1,9.4,NOX1
ZNF566,3.727272727272727,ZNF566
NKX2-4,2.0,NKX2-4
ISLR,2.0,ISLR
PHLPP1,5.857142857142858,PHLPP1
ITPKA,5.5,ITPKA
MED23,18.666666666666668,MED23
PIK3R2,8.75,PIK3R2
ABCA5,14.571428571428573,ABCA5
EMP1,3.1666666666666665,EMP1
CEP131,16.625,CEP131
DAZAP1,8.272727272727273,DAZAP1
GSTK1,6.0,GSTK1
EIF2AK4,12.727272727272727,EIF2AK4
ADAMTS10,10.785714285714288,ADAMTS10
ATAD3B,9.8,ATAD3B
ZFYVE21,4.0,ZFYVE21
RSPH3,6.0,RSPH3
TOX2,7.666666666666668,TOX2
SLC25A23,5.846153846153847,SLC25A23
PRRT3,4.0,PRRT3
IFI30,5.0,IFI30
ARHGDIG,5.75,ARHGDIG
ITFG2,6.666666666666668,ITFG2
ZNF727,4.0,ZNF727
NOB1,5.666666666666668,NOB1
CTU1,3.0,CTU1
ITGAD,13.666666666666664,ITGAD
ARSI,2.0,ARSI
TTC17,6.7333333333333325,TTC17
SNRPD1,3.25,SNRPD1
AC007192.1,25.0,AC007192.1
HIC2,2.6666666666666665,HIC2
PPP1R13B,6.388888888888888,PPP1R13B
SIGLEC9,6.0,SIGLEC9
EHBP1L1,6.090909090909091,EHBP1L1
PXDN,7.142857142857142,PXDN
FAM234A,8.095238095238095,FAM234A
INTU,8.5,INTU
TAF6,8.052631578947368,TAF6
FGF9,2.6666666666666665,FGF9
UBE2D2,6.375,UBE2D2
DDB2,6.0,DDB2
TPRX1,3.0,TPRX1
PDE2A,11.629629629629632,PDE2A
CELF4,7.695652173913044,CELF4
ZNF382,3.2,ZNF382
FMR1NB,5.5,FMR1NB
NKX2-2,2.0,NKX2-2
CRB3,4.0,CRB3
DUOXA2,5.666666666666668,DUOXA2
PDLIM4,4.285714285714286,PDLIM4
SERINC5,9.833333333333334,SERINC5
SYCP1,18.2,SYCP1
ZNF529,4.222222222222221,ZNF529
GRIN2B,4.0,GRIN2B
DSCAM,30.66666666666667,DSCAM
EDAR,11.666666666666664,EDAR
DUOX1,13.0,DUOX1
SESTD1,7.333333333333332,SESTD1
RIMS1,20.8,RIMS1
TULP3,8.0,TULP3
DAND5,3.0,DAND5
TMEM139,3.0,TMEM139
C4A,9.372881355932204,C4A
PQLC3,4.8,PQLC3
RHBDD3,4.428571428571429,RHBDD3
PAX1,4.0,PAX1
DNTTIP1,8.166666666666666,DNTTIP1
ZNF260,2.8,ZNF260
SPTBN1,18.714285714285715,SPTBN1
DPY30,6.571428571428571,DPY30
SRP14,4.375,SRP14
SLC22A4,5.666666666666668,SLC22A4
CCDC15,9.5,CCDC15
BMP8B,7.0,BMP8B
NOL11,6.636363636363638,NOL11
GPAT3,6.5,GPAT3
QSER1,8.428571428571429,QSER1
MFSD10,9.181818181818182,MFSD10
SLC7A6OS,3.4,SLC7A6OS
PPIE,7.866666666666666,PPIE
POM121,14.0,POM121
P4HA2,7.6190476190476195,P4HA2
TEX52,3.0,TEX52
MEMO1,6.5555555555555545,MEMO1
EIF2AK2,10.75,EIF2AK2
RHNO1,2.8,RHNO1
SLC7A6,5.941176470588236,SLC7A6
XKRX,2.5,XKRX
ARG1,5.142857142857143,ARG1
BCL2,2.0,BCL2
ZBTB2,3.0,ZBTB2
CTDP1,7.6923076923076925,CTDP1
FOXM1,5.9,FOXM1
FREM2,14.0,FREM2
ONECUT1,2.75,ONECUT1
TNNT3,12.611111111111109,TNNT3
COX6A2,2.5,COX6A2
KCND3,7.0,KCND3
SCAF4,13.833333333333336,SCAF4
ZNF843,2.333333333333333,ZNF843
C5orf51,5.25,C5orf51
TNNT1,10.058823529411764,TNNT1
PALM,5.090909090909091,PALM
SIGLEC7,3.8333333333333335,SIGLEC7
CFAP36,7.571428571428571,CFAP36
LRIF1,3.333333333333333,LRIF1
MMD2,7.25,MMD2
POLR1B,7.764705882352941,POLR1B
MYO3B,26.0,MYO3B
S100A5,3.5,S100A5
PARK7,6.2,PARK7
RBMY1E,11.333333333333336,RBMY1E
FDX1,4.0,FDX1
GPHB5,2.5,GPHB5
NRIP2,5.0,NRIP2
ATF7IP2,6.277777777777778,ATF7IP2
CYB5R4,9.333333333333334,CYB5R4
ARL13A,6.5,ARL13A
OXCT2,1.0,OXCT2
PNP,3.875,PNP
RMND1,7.916666666666668,RMND1
CNPY4,4.4,CNPY4
TMEM216,4.4,TMEM216
ANXA5,8.0,ANXA5
FNDC1,16.333333333333332,FNDC1
CHADL,5.0,CHADL
MPND,9.75,MPND
DNAJA2,6.0,DNAJA2
ESM1,2.5,ESM1
GPATCH11,6.666666666666668,GPATCH11
METTL4,5.142857142857143,METTL4
SLC11A1,7.111111111111112,SLC11A1
CA12,6.333333333333332,CA12
MCM7,8.307692307692307,MCM7
BRF1,8.590909090909092,BRF1
HS6ST2,4.333333333333333,HS6ST2
L3MBTL2,11.333333333333336,L3MBTL2
