Genes,Phosphosite_hu_no,Norm_Symbol
L1RE1,3,L1RE1
L1TD1,41,L1TD1
L2HGDH,6,L2HGDH
L3HYPDH,3,L3HYPDH
L3MBTL1,3,L3MBTL1
L3MBTL2,23,L3MBTL2
L3MBTL3,15,L3MBTL3
L3MBTL4,8,L3MBTL4
LAT2,26,LAT2
LACC1,2,LACC1
AFG1L,9,AFG1L
LACRT,1,LACRT
LACTB,15,LACTB
LACTB2,2,LACTB2
LACTBL1,7,LACTBL1
LAD1,57,LAD1
EPM2A,3,EPM2A
LAG3,2,LAG3
LAGE3,1,LAGE3
LAIR1,12,LAIR1
LAIR2,3,LAIR2
LALBA,1,LALBA
LAMA1,25,LAMA1
LAMA2,20,LAMA2
LAMA3,25,LAMA3
LAMA4,15,LAMA4
LAMA5,25,LAMA5
LAMB1,18,LAMB1
LAMB2,9,LAMB2
LAMB3,5,LAMB3
LAMB4,19,LAMB4
LAMC1,22,LAMC1
LAMC2,11,LAMC2
LAMC3,5,LAMC3
LMNA,116,LMNA
LMNB1,54,LMNB1
LMNB2,47,LMNB2
LAMP1,11,LAMP1
LAMP2,11,LAMP2
LAMP3,7,LAMP3
LAMP5,3,LAMP5
LAMTOR1,23,LAMTOR1
LAMTOR2,1,LAMTOR2
LANCL1,12,LANCL1
LANCL2,4,LANCL2
LANCL3,5,LANCL3
CD207,2,CD207
ANP32E,6,ANP32E
LAP3,17,LAP3
LAPTM4A,6,LAPTM4A
LAPTM4B,2,LAPTM4B
LAPTM5,9,LAPTM5
LARGE1,7,LARGE1
LARP1,137,LARP1
LARP1B,38,LARP1B
LARP4,53,LARP4
LARP4B,55,LARP4B
LARP6,21,LARP6
LARP7,38,LARP7
LARS,31,LARS
LARS2,15,LARS2
LAS1L,30,LAS1L
C18ORF54,4,C18ORF54
LASP1,33,LASP1
CERS1,2,CERS1
CERS2,5,CERS2
CERS3,1,CERS3
CERS4,4,CERS4
CERS5,5,CERS5
CERS6,5,CERS6
LAT,43,LAT
ADGRL1,31,ADGRL1
ADGRL2,37,ADGRL2
ADGRL3,27,ADGRL3
LATS1,45,LATS1
LATS2,34,LATS2
LAX1,10,LAX1
LAYN,8,LAYN
TRANK1,20,TRANK1
LBH,5,LBH
LBHD1,7,LBHD1
LBR,33,LBR
LBX1,2,LBX1
LBX2,2,LBX2
MAP1LC3A,2,MAP1LC3A
MAP1LC3B,2,MAP1LC3B
DYNLL1,6,DYNLL1
LCA5,13,LCA5
LCA5L,8,LCA5L
LCAT,4,LCAT
LCE1A,2,LCE1A
LCE1C,2,LCE1C
LCE1E,4,LCE1E
LCE1F,2,LCE1F
LCE2A,1,LCE2A
LCE3A,4,LCE3A
LCE3E,2,LCE3E
LCE4A,4,LCE4A
KIAA1147,6,KIAA1147
LCK,37,LCK
LCMT1,11,LCMT1
LCMT2,10,LCMT2
LCN1,5,LCN1
LCN10,1,LCN10
LCN2,5,LCN2
LCN6,1,LCN6
LCN8,1,LCN8
LCN9,1,LCN9
LCNL1,2,LCNL1
LCOR,59,LCOR
LCORL,7,LCORL
LCT,20,LCT
LDAH,5,LDAH
LDB1,21,LDB1
LDB2,4,LDB2
LDB3,26,LDB3
LDHA,24,LDHA
LDHB,22,LDHB
LDHC,13,LDHC
LDHD,2,LDHD
LDHAL6A,6,LDHAL6A
LDHAL6B,7,LDHAL6B
LDLR,11,LDLR
LDLRAD2,1,LDLRAD2
LDLRAD3,1,LDLRAD3
LDLRAD4,6,LDLRAD4
LDLRAP1,10,LDLRAP1
RTL6,9,RTL6
LEAP2,1,LEAP2
CNMD,2,CNMD
PSIP1,47,PSIP1
LEF1,30,LEF1
LEFTY1,3,LEFTY1
LEFTY2,2,LEFTY2
LEKR1,5,LEKR1
LEMD1,7,LEMD1
LEMD2,24,LEMD2
LENEP,1,LENEP
LENG1,5,LENG1
MBOAT7,11,MBOAT7
LENG8,27,LENG8
LENG9,4,LENG9
LEO1,54,LEO1
LEPR,17,LEPR
P3H1,5,P3H1
P3H2,1,P3H2
P3H3,4,P3H3
LEP,1,LEP
LETM1,17,LETM1
LETM2,8,LETM2
LETMD1,4,LETMD1
LPXN,22,LPXN
LEXM,11,LEXM
LFNG,3,LFNG
LGALS12,4,LGALS12
LGALS3BP,13,LGALS3BP
LGALS7B,4,LGALS7B
LGALS9B,1,LGALS9B
LGALS9C,1,LGALS9C
LGI1,4,LGI1
LGI2,5,LGI2
LGI3,1,LGI3
LGI4,2,LGI4
LGMN,7,LGMN
LGR4,10,LGR4
LGR5,12,LGR5
LGR6,7,LGR6
RXFP2,1,RXFP2
LHFPL6,2,LHFPL6
LHFPL3,1,LHFPL3
LHPP,6,LHPP
LHCGR,3,LHCGR
LHX1,2,LHX1
LHX2,6,LHX2
LHX3,7,LHX3
LHX5,2,LHX5
LHX6,2,LHX6
LHX8,1,LHX8
LHX9,5,LHX9
LIAS,2,LIAS
C17ORF97,5,C17ORF97
LIFR,19,LIFR
LIG1,45,LIG1
LIG3,33,LIG3
LIG4,7,LIG4
LILRA1,4,LILRA1
LILRA2,2,LILRA2
LILRA3,5,LILRA3
LILRA4,6,LILRA4
LILRA5,3,LILRA5
LILRA6,7,LILRA6
LILRB1,10,LILRB1
LILRB2,9,LILRB2
LILRB3,10,LILRB3
LILRB4,12,LILRB4
LILRB5,8,LILRB5
LIMCH1,144,LIMCH1
LIMD1,47,LIMD1
LIMD2,7,LIMD2
LIME1,18,LIME1
LIMK1,19,LIMK1
LIMK2,21,LIMK2
LIMS1,9,LIMS1
LIMS2,8,LIMS2
LIMS3,3,LIMS3
LIMS4,1,LIMS4
LIN28A,4,LIN28A
LIN28B,8,LIN28B
LIN52,6,LIN52
LIN7A,2,LIN7A
LIN7B,2,LIN7B
LIN7C,5,LIN7C
LIN9,27,LIN9
LINC00469,4,LINC00469
LINC00472,2,LINC00472
LINC00518,2,LINC00518
LINC00526,1,LINC00526
LINC00614,1,LINC00614
LINGO1,7,LINGO1
LINGO4,7,LINGO4
LINS1,11,LINS1
CNTROB,17,CNTROB
LIPA,4,LIPA
LIPC,1,LIPC
LIPF,3,LIPF
LIPG,4,LIPG
LIPH,3,LIPH
LIPI,5,LIPI
LIPJ,1,LIPJ
LIPK,1,LIPK
LIPM,4,LIPM
PPFIA1,63,PPFIA1
PPFIA2,23,PPFIA2
PPFIA4,13,PPFIA4
PPFIBP1,73,PPFIBP1
LIPT1,2,LIPT1
LSR,65,LSR
LITAF,11,LITAF
LIX1L,6,LIX1L
LKAAEAR1,2,LKAAEAR1
MARF1,35,MARF1
STK11,15,STK11
LLGL1,15,LLGL1
LLGL2,24,LLGL2
LMAN1,7,LMAN1
LMAN2,9,LMAN2
LMBR1,3,LMBR1
LMBR1L,3,LMBR1L
LMBRD1,6,LMBRD1
LMBRD2,16,LMBRD2
LMCD1,15,LMCD1
LMF1,1,LMF1
LMF2,9,LMF2
LMLN,10,LMLN
LMNTD2,3,LMNTD2
LMO1,1,LMO1
LMO2,2,LMO2
LMO3,1,LMO3
LMO4,2,LMO4
PRICKLE3,18,PRICKLE3
LMO7,217,LMO7
LMOD1,19,LMOD1
LMOD2,9,LMOD2
LMOD3,3,LMOD3
AATK,15,AATK
LMTK2,47,LMTK2
LMTK3,8,LMTK3
LMX1A,1,LMX1A
LMX1B,7,LMX1B
SH2B3,19,SH2B3
LNP1,6,LNP1
LNX1,12,LNX1
LNX2,4,LNX2
LOC100128108,2,LOC100128108
HGC6.3,1,HGC6.3
LOC100128265,1,LOC100128265
LOC100128340,8,LOC100128340
LOC100128364,1,LOC100128364
LOC100128482,2,LOC100128482
LOC100129240,1,LOC100129240
LOC100129473,1,LOC100129473
MKRN2OS,5,MKRN2OS
LOC100129540,1,LOC100129540
LOC100129677,3,LOC100129677
LOC100507402,3,LOC100507402
LOC100129869,2,LOC100129869
LOC100130232,2,LOC100130232
LOC100130533,5,LOC100130533
LOC100130598,1,LOC100130598
LOC100130764,2,LOC100130764
LOC100131107,3,LOC100131107
LOC100134317,1,LOC100134317
LOC100131635,3,LOC100131635
LOC100132174,3,LOC100132174
LOC100132229,1,LOC100132229
NPIPB5,13,NPIPB5
LOC100132661,2,LOC100132661
LINC00856,3,LINC00856
LOC100133029,2,LOC100133029
LOC100133542,17,LOC100133542
LOC100287576,2,LOC100287576
LOC100287837,3,LOC100287837
LOC100288208,2,LOC100288208
MTRNR2L7,1,MTRNR2L7
LOC100505502,3,LOC100505502
LOC100505870,1,LOC100505870
PPP5D1,2,PPP5D1
LOC100506073,4,LOC100506073
LOC100506127,3,LOC100506127
LOC100506242,2,LOC100506242
LOC100506417,1,LOC100506417
LOC100506422,2,LOC100506422
LOC100506557,2,LOC100506557
C16ORF95,7,C16ORF95
LOC100506928,3,LOC100506928
LOC100507236,1,LOC100507236
LOC100507386,3,LOC100507386
LOC100507445,1,LOC100507445
LOC100507494,1,LOC100507494
MCPH1-AS1,1,MCPH1-AS1
LOC100508226,1,LOC100508226
LOC100509763,1,LOC100509763
LOC100509780,3,LOC100509780
LOC100509814,3,LOC100509814
LOC100653147,2,LOC100653147
LOC113230,7,LOC113230
HSD3BP4,3,HSD3BP4
CST9LP1,1,CST9LP1
C5ORF58,1,C5ORF58
C7ORF57,6,C7ORF57
C11ORF94,1,C11ORF94
C11ORF84,19,C11ORF84
C3ORF79,2,C3ORF79
CREBRF,14,CREBRF
C7ORF66,1,C7ORF66
C12ORF77,2,C12ORF77
LOC254896,1,LOC254896
C17ORF105,1,C17ORF105
YWHAEP7,1,YWHAEP7
AATBC,1,AATBC
CLPSL1,2,CLPSL1
LOC340268,4,LOC340268
CXORF67,22,CXORF67
C19ORF81,3,C19ORF81
PRR25,1,PRR25
LOC388210,1,LOC388210
TRABD2B,2,TRABD2B
FAM209B,2,FAM209B
LOC388813,2,LOC388813
OGFRP1,2,OGFRP1
LINC00937,2,LINC00937
LOC389831,1,LOC389831
LOC400499,3,LOC400499
C20ORF202,1,C20ORF202
LOC400940,1,LOC400940
LOC100287704,4,LOC100287704
LOC402624,1,LOC402624
LOC440683,1,LOC440683
LOC440896,1,LOC440896
LINC01124,1,LINC01124
LOC441081,10,LOC441081
LOC441239,2,LOC441239
C12ORF60,3,C12ORF60
WDPCP,3,WDPCP
LOC554249,2,LOC554249
ZBED8,3,ZBED8
LOC642452,2,LOC642452
SAGE2P,5,SAGE2P
FAM90A27P,1,FAM90A27P
C4ORF51,6,C4ORF51
CYP4F62P,1,CYP4F62P
LOC650293,2,LOC650293
KRTAP9-1,1,KRTAP9-1
LOC729159,1,LOC729159
LOC729461,7,LOC729461
LOC729978,1,LOC729978
LOC732210,4,LOC732210
STPG1,6,STPG1
LOC93622,2,LOC93622
BORCS5,8,BORCS5
STK10,38,STK10
LONP2,8,LONP2
LONRF1,9,LONRF1
LONRF2,5,LONRF2
LONRF3,11,LONRF3
LOR,1,LOR
LOX,1,LOX
LOXHD1,22,LOXHD1
LOXL1,3,LOXL1
LOXL2,5,LOXL2
LOXL3,1,LOXL3
LOXL4,4,LOXL4
LPA,8,LPA
LPAR1,7,LPAR1
LPAR4,2,LPAR4
LPCAT1,2,LPCAT1
LPGAT1,3,LPGAT1
LPIN1,39,LPIN1
LPIN2,29,LPIN2
LPIN3,18,LPIN3
LPL,8,LPL
BPIFB1,2,BPIFB1
LPO,12,LPO
LPP,54,LPP
PLPPR2,4,PLPPR2
PLPPR3,8,PLPPR3
PLPPR4,13,PLPPR4
FLVCR1-AS1,2,FLVCR1-AS1
LRAT,3,LRAT
LRBA,78,LRBA
LRCH1,16,LRCH1
LRCH2,13,LRCH2
LRCH3,26,LRCH3
LRCH4,34,LRCH4
LRFN1,19,LRFN1
LRFN2,13,LRFN2
LRFN3,7,LRFN3
LRFN4,9,LRFN4
LRFN5,7,LRFN5
LRG1,1,LRG1
LRGUK,6,LRGUK
LRIF1,23,LRIF1
LRIG1,16,LRIG1
LRIG2,13,LRIG2
LRIG3,20,LRIG3
LRIT1,3,LRIT1
LRIT2,1,LRIT2
LRIT3,7,LRIT3
LRMDA,4,LRMDA
LRMP,27,LRMP
LRP1,34,LRP1
LRP10,12,LRP10
LRP11,8,LRP11
LRP12,18,LRP12
LRP1B,16,LRP1B
LRP2,45,LRP2
LRP2BP,4,LRP2BP
LRP3,3,LRP3
LRP4,13,LRP4
LRP5,13,LRP5
LRP6,43,LRP6
LRP8,6,LRP8
LRPAP1,13,LRPAP1
LRPPRC,53,LRPPRC
LRRC1,19,LRRC1
LRRC10,3,LRRC10
LRRC10B,2,LRRC10B
LRRC14,1,LRRC14
LRRC14B,2,LRRC14B
LRRC15,1,LRRC15
CARMIL1,63,CARMIL1
CARMIL3,17,CARMIL3
LRRC17,5,LRRC17
LRRC18,2,LRRC18
LRRC19,3,LRRC19
LRRC2,2,LRRC2
LRRC20,4,LRRC20
LRRC23,1,LRRC23
LRRC24,1,LRRC24
LRRC26,2,LRRC26
LRRC27,7,LRRC27
LRRC28,2,LRRC28
LRRC29,1,LRRC29
LRRC30,1,LRRC30
LRRC31,6,LRRC31
LRRC32,11,LRRC32
LRRC34,4,LRRC34
TBCEL,4,TBCEL
LRRC36,9,LRRC36
LRRC37A,8,LRRC37A
LRRC37A2,8,LRRC37A2
LRRC37A3,12,LRRC37A3
LRRC37B,8,LRRC37B
LRRC39,1,LRRC39
LRRC3B,4,LRRC3B
LRRC3C,5,LRRC3C
LRRC4,7,LRRC4
LRRC40,15,LRRC40
LRRC41,14,LRRC41
LRRC42,4,LRRC42
LRRC45,12,LRRC45
LRRC46,1,LRRC46
LRRC47,15,LRRC47
DRC3,1,DRC3
LRRC49,6,LRRC49
LRRC4B,8,LRRC4B
LRRC4C,9,LRRC4C
DNAAF1,5,DNAAF1
LRTOMT,4,LRTOMT
LRRC53,6,LRRC53
LRRC56,7,LRRC56
LRRC57,7,LRRC57
LRRC58,4,LRRC58
LRRC59,7,LRRC59
LRRC6,4,LRRC6
LRRC61,2,LRRC61
LRRC63,1,LRRC63
LRRC66,10,LRRC66
PPP1R42,2,PPP1R42
PPP1R37,12,PPP1R37
LRRC69,1,LRRC69
LRRC7,23,LRRC7
LRRC70,3,LRRC70
LRRC71,9,LRRC71
LRRC72,1,LRRC72
LRRC73,6,LRRC73
LRRC74A,3,LRRC74A
LRRC8A,17,LRRC8A
LRRC8B,3,LRRC8B
LRRC8C,7,LRRC8C
LRRC8D,17,LRRC8D
LRRC8E,4,LRRC8E
LRRC9,2,LRRC9
LRRCC1,8,LRRCC1
LRRFIP1,58,LRRFIP1
LRRFIP2,45,LRRFIP2
LRRIQ1,12,LRRIQ1
CEP97,28,CEP97
LRRIQ3,3,LRRIQ3
LRRIQ4,1,LRRIQ4
LRRK1,26,LRRK1
LRRK2,96,LRRK2
LRRN1,6,LRRN1
LRRN2,5,LRRN2
LRRN4,8,LRRN4
LRRTM1,3,LRRTM1
LRRTM2,7,LRRTM2
LRRTM3,1,LRRTM3
LRRTM4,5,LRRTM4
LRSAM1,18,LRSAM1
LRTM1,1,LRTM1
LRTM2,1,LRTM2
LRWD1,14,LRWD1
LSAMP,2,LSAMP
KDM1A,30,KDM1A
LSG1,19,LSG1
LSM1,3,LSM1
LSM11,13,LSM11
LSM12,7,LSM12
LSM14B,36,LSM14B
LSM2,8,LSM2
LSM3,2,LSM3
LSM5,1,LSM5
LSM7,4,LSM7
LSM8,5,LSM8
NAA38,6,NAA38
LSP1,34,LSP1
GPALPP1,9,GPALPP1
LSS,7,LSS
SLCO1B7,3,SLCO1B7
LST1,3,LST1
MLST8,7,MLST8
LTA4H,16,LTA4H
PTGR1,7,PTGR1
LTB4R,8,LTB4R
LTB4R2,4,LTB4R2
LTBP1,22,LTBP1
LTBP2,12,LTBP2
LTBP3,9,LTBP3
LTBP4,24,LTBP4
LTBR,3,LTBR
LTC4S,2,LTC4S
LTF,18,LTF
LTK,6,LTK
LTV1,31,LTV1
BCAM,16,BCAM
LUC7L,12,LUC7L
LUC7L2,24,LUC7L2
LUM,11,LUM
LNPK,17,LNPK
LURAP1,2,LURAP1
LURAP1L,5,LURAP1L
LUZP1,92,LUZP1
LUZP2,2,LUZP2
LUZP4,3,LUZP4
NCAPG2,18,NCAPG2
LUZP6,4,LUZP6
LVRN,3,LVRN
LXN,2,LXN
NR1H3,7,NR1H3
NR1H2,4,NR1H2
LY6E,1,LY6E
LY6G5B,3,LY6G5B
LY6G6D,1,LY6G6D
LY6H,2,LY6H
LY6K,1,LY6K
LY75,13,LY75
LY86,1,LY86
LY96,2,LY96
LYAR,14,LYAR
LYG1,1,LYG1
LYG2,1,LYG2
LYL1,5,LYL1
LYN,47,LYN
LYNX1,1,LYNX1
LYPD3,3,LYPD3
LYPD4,1,LYPD4
LYPD5,1,LYPD5
LYPD8,2,LYPD8
LYPLA1,2,LYPLA1
LYPLA2,1,LYPLA2
PLA2G15,2,PLA2G15
LYPLAL1,3,LYPLAL1
MTDH,62,MTDH
LYRM1,1,LYRM1
LYRM4,6,LYRM4
ETFRF1,3,ETFRF1
LYRM7,1,LYRM7
LYSMD1,20,LYSMD1
LYSMD3,8,LYSMD3
LYSMD4,2,LYSMD4
LYST,66,LYST
LYZ,2,LYZ
LYZL1,4,LYZL1
LYZL2,5,LYZL2
LYZL4,3,LYZL4
LYZL6,2,LYZL6
LZIC,4,LZIC
MAP3K13,14,MAP3K13
OIT3,8,OIT3
LZTFL1,3,LZTFL1
LZTR1,9,LZTR1
LZTS1,24,LZTS1
LZTS2,29,LZTS2
CSF1,7,CSF1
M1AP,3,M1AP
M6PR,2,M6PR
MAATS1,13,MAATS1
MAB21L1,10,MAB21L1
MAB21L2,8,MAB21L2
MACC1,22,MACC1
CHRM1,7,CHRM1
CHRM2,19,CHRM2
CHRM3,6,CHRM3
CHRM4,4,CHRM4
CHRM5,5,CHRM5
MACROD2,2,MACROD2
MXD1,10,MXD1
MAD1L1,42,MAD1L1
MXI1,3,MXI1
MAD2L1,10,MAD2L1
MAD2L1BP,13,MAD2L1BP
MAD2L2,1,MAD2L2
MXD4,1,MXD4
MADCAM1,7,MADCAM1
MADD,67,MADD
MAEA,4,MAEA
MAEL,7,MAEL
MRO,2,MRO
MAF,6,MAF
MAF1,11,MAF1
MAFA,9,MAFA
MAFB,4,MAFB
MAFF,3,MAFF
MAFG,2,MAFG
MAFIP,1,MAFIP
MAFK,7,MAFK
MAG,5,MAG
MAGEA1,7,MAGEA1
MAGEA10,7,MAGEA10
MAGEA11,16,MAGEA11
MAGEA2,1,MAGEA2
MAGEA4,8,MAGEA4
MAGEA5,1,MAGEA5
MAGEA6,4,MAGEA6
MAGEA8,2,MAGEA8
MAGEA9,4,MAGEA9
MAGEB1,3,MAGEB1
MAGEB10,8,MAGEB10
MAGEB16,2,MAGEB16
MAGEB18,3,MAGEB18
MAGEB2,8,MAGEB2
MAGEB3,9,MAGEB3
MAGEB4,8,MAGEB4
MAGEB5,1,MAGEB5
MAGEB6,6,MAGEB6
MAGEC1,12,MAGEC1
MAGEC2,4,MAGEC2
MAGEC3,9,MAGEC3
MAGED2,36,MAGED2
MAGED4,12,MAGED4
MAGEE1,9,MAGEE1
MAGEF1,2,MAGEF1
NSMCE3,9,NSMCE3
MAGEH1,3,MAGEH1
MAGEL2,3,MAGEL2
MAGEA3,3,MAGEA3
MAGEB17,1,MAGEB17
MAGI1,40,MAGI1
MAGI3,30,MAGI3
MAGIX,8,MAGIX
PAM16,7,PAM16
MAGOH,6,MAGOH
MAGOHB,5,MAGOHB
MAGT1,7,MAGT1
MAIP1,8,MAIP1
CD300A,9,CD300A
MAJIN,1,MAJIN
MAK,9,MAK
MALL,1,MALL
MALRD1,8,MALRD1
MALSU1,3,MALSU1
MALT1,13,MALT1
MDGA2,11,MDGA2
MAMDC2,2,MAMDC2
MAMDC4,5,MAMDC4
MAML1,20,MAML1
MAML2,12,MAML2
MAML3,8,MAML3
MAMLD1,8,MAMLD1
MAMSTR,2,MAMSTR
LEMD3,55,LEMD3
MAN1A1,5,MAN1A1
MAN1A2,6,MAN1A2
MAN1B1,7,MAN1B1
MAN1C1,4,MAN1C1
MAN2A1,21,MAN2A1
MAN2A2,9,MAN2A2
MAN2B1,14,MAN2B1
MAN2B2,5,MAN2B2
MAN2C1,10,MAN2C1
MANBA,4,MANBA
MANBAL,2,MANBAL
MANEA,12,MANEA
MANEAL,5,MANEAL
MANSC1,4,MANSC1
MANSC4,1,MANSC4
MAOA,6,MAOA
MAOB,10,MAOB
MAP10,10,MAP10
MAP1A,181,MAP1A
MAP1B,255,MAP1B
METAP1D,4,METAP1D
MAP2,133,MAP2
MAP3K15,12,MAP3K15
MAP4,181,MAP4
MAP6,9,MAP6
MAP7,48,MAP7
MAP7D2,24,MAP7D2
MAP7D3,54,MAP7D3
MAP9,29,MAP9
MAPK8IP2,7,MAPK8IP2
MAPKAPK2,21,MAPKAPK2
MAPKAPK3,19,MAPKAPK3
MAPKAPK5,12,MAPKAPK5
MAPKAPK5-AS1,1,MAPKAPK5-AS1
MAPKBP1,21,MAPKBP1
MARCH1,2,MARCH1
MARCH10,9,MARCH10
MARCH11,2,MARCH11
MARCH2,1,MARCH2
MARCH3,9,MARCH3
MARCH4,7,MARCH4
MARCH5,1,MARCH5
MARCH6,9,MARCH6
MARCH7,33,MARCH7
MARCH8,3,MARCH8
MARCH9,1,MARCH9
MARCKS,29,MARCKS
MARCO,9,MARCO
MARK1,53,MARK1
MARK2,102,MARK2
MARK3,96,MARK3
MARK4,34,MARK4
MARS,17,MARS
MARS2,8,MARS2
MARVELD1,4,MARVELD1
MARVELD2,27,MARVELD2
MARVELD3,16,MARVELD3
MAS1,2,MAS1
ANKHD1-EIF4EBP3,61,ANKHD1-EIF4EBP3
MASP1,6,MASP1
MASP2,9,MASP2
SERPINB5,15,SERPINB5
MAST1,38,MAST1
MAST2,94,MAST2
MAST3,63,MAST3
MAST4,100,MAST4
MASTL,63,MASTL
MAT1A,3,MAT1A
MAT2A,10,MAT2A
MAT2B,10,MAT2B
MATN1,2,MATN1
MATN2,9,MATN2
MATN3,11,MATN3
MATN4,5,MATN4
MATR3,99,MATR3
MAU2,5,MAU2
MAVS,40,MAVS
MAX,23,MAX
MAZ,15,MAZ
MB,8,MB
MB21D2,12,MB21D2
MBD1,25,MBD1
MBD2,9,MBD2
MBD3,18,MBD3
MBD3L1,3,MBD3L1
MBD4,18,MBD4
MBD5,14,MBD5
MBD6,7,MBD6
MBIP,6,MBIP
MBL2,2,MBL2
MBLAC1,4,MBLAC1
MBLAC2,3,MBLAC2
PCGF6,10,PCGF6
MBNL1,8,MBNL1
MBNL2,4,MBNL2
MBOAT1,5,MBOAT1
MBOAT2,8,MBOAT2
LPCAT3,4,LPCAT3
MBP,31,MBP
MBTD1,6,MBTD1
MBTPS1,7,MBTPS1
MBTPS2,10,MBTPS2
MC1R,5,MC1R
MC2R,3,MC2R
MC4R,9,MC4R
MC5R,3,MC5R
MILR1,9,MILR1
MCAM,9,MCAM
SLC25A51,5,SLC25A51
SLC25A52,3,SLC25A52
MCAT,1,MCAT
MCC,28,MCC
MCCC1,21,MCCC1
MCCC2,9,MCCC2
AFF4,102,AFF4
MCEMP1,5,MCEMP1
MCF2,10,MCF2
MCF2L2,10,MCF2L2
MCFD2,5,MCFD2
MCIDAS,4,MCIDAS
MCL1,14,MCL1
MCM10,42,MCM10
MCM2,40,MCM2
MCM3,48,MCM3
MCM4,47,MCM4
MCM5,24,MCM5
MCM6,32,MCM6
MCM7,28,MCM7
MCM8,13,MCM8
MCM9,25,MCM9
MCMBP,17,MCMBP
MCMDC2,9,MCMDC2
MCOLN2,3,MCOLN2
MCOLN3,3,MCOLN3
MCPH1,31,MCPH1
ZC3H12A,16,ZC3H12A
NR3C2,32,NR3C2
MCRS1,17,MCRS1
SLC16A1,14,SLC16A1
MCTP1,9,MCTP1
MCTP2,21,MCTP2
MCTS1,3,MCTS1
MCU,10,MCU
MCUR1,4,MCUR1
IFIH1,12,IFIH1
MDC1,186,MDC1
MDFI,3,MDFI
MDFIC,10,MDFIC
MDGA1,7,MDGA1
MDH1,22,MDH1
MDH1B,2,MDH1B
MDH2,30,MDH2
MDM1,24,MDM1
MDM2,52,MDM2
MDM4,14,MDM4
MDP1,5,MDP1
TXLNB,9,TXLNB
TRMT11,7,TRMT11
ME1,9,ME1
ME2,10,ME2
ME3,14,ME3
MEA1,6,MEA1
MEAF6,9,MEAF6
MECP2,35,MECP2
MECR,3,MECR
MED1,119,MED1
MED10,1,MED10
MED11,1,MED11
MED12,17,MED12
MED12L,20,MED12L
MED16,13,MED16
MED17,13,MED17
MED18,1,MED18
MED19,8,MED19
MED21,2,MED21
MED23,5,MED23
MED25,4,MED25
MED26,31,MED26
MED27,11,MED27
MED28,1,MED28
MED30,2,MED30
MED31,3,MED31
MED4,2,MED4
MED6,4,MED6
MED7,2,MED7
MED8,3,MED8
MED9,7,MED9
MEDAG,5,MEDAG
MEF2A,29,MEF2A
MEF2B,6,MEF2B
BORCS8,4,BORCS8
MEF2C,24,MEF2C
MEF2D,23,MEF2D
MEGF10,19,MEGF10
MEGF11,3,MEGF11
MEGF6,3,MEGF6
MEGF8,13,MEGF8
MEGF9,4,MEGF9
MEI1,9,MEI1
MEIG1,1,MEIG1
MEIOB,2,MEIOB
MEIOC,9,MEIOC
MEIS1,3,MEIS1
MEIS2,1,MEIS2
MEIS3,3,MEIS3
MEIS3P2,1,MEIS3P2
MAP2K1,17,MAP2K1
MAP2K2,18,MAP2K2
MAP2K5,9,MAP2K5
MAP3K1,47,MAP3K1
MAP3K2,35,MAP3K2
MAP3K3,39,MAP3K3
MAP3K4,44,MAP3K4
MAP3K6,14,MAP3K6
CISD3,1,CISD3
OPN4,6,OPN4
MELK,48,MELK
MMEL1,7,MMEL1
MEMO1,10,MEMO1
MEN1,12,MEN1
ENAH,47,ENAH
MEOX1,3,MEOX1
MEOX2,4,MEOX2
MEP1A,8,MEP1A
MEP1B,9,MEP1B
MEPE,12,MEPE
MERTK,13,MERTK
NF2,11,NF2
TLNRD1,3,TLNRD1
MESD,6,MESD
MESP1,2,MESP1
MESP2,2,MESP2
MEST,1,MEST
MET,47,MET
METAP1,5,METAP1
METAP2,13,METAP2
METRNL,3,METRNL
METTL17,5,METTL17
METTL15,3,METTL15
METTL15P1,2,METTL15P1
METTL1,6,METTL1
EEF1AKMT2,8,EEF1AKMT2
NTMT1,3,NTMT1
METTL11B,4,METTL11B
METTL13,14,METTL13
METTL14,7,METTL14
METTL16,18,METTL16
METTL18,8,METTL18
ETFBKMT,3,ETFBKMT
METTL21C,4,METTL21C
VCPKMT,2,VCPKMT
METTL22,3,METTL22
METTL23,4,METTL23
METTL25,9,METTL25
METTL26,2,METTL26
METTL2A,4,METTL2A
METTL2B,6,METTL2B
METTL3,17,METTL3
METTL4,9,METTL4
METTL6,3,METTL6
METTL7A,2,METTL7A
METTL7B,4,METTL7B
METTL8,3,METTL8
METTL9,1,METTL9
MFAP1,19,MFAP1
MFAP2,2,MFAP2
MFAP3,8,MFAP3
MFAP3L,9,MFAP3L
MFF,41,MFF
MFGE8,5,MFGE8
MFHAS1,11,MFHAS1
MELTF,8,MELTF
MFN1,3,MFN1
MFN2,5,MFN2
MFNG,1,MFNG
MFSD1,1,MFSD1
MFSD11,1,MFSD11
MFSD12,1,MFSD12
MFSD2A,2,MFSD2A
MFSD2B,4,MFSD2B
MFSD3,1,MFSD3
MFSD4A,4,MFSD4A
MFSD4B,4,MFSD4B
MFSD5,5,MFSD5
MFSD6,8,MFSD6
MFSD6L,4,MFSD6L
MFSD7,2,MFSD7
MFSD8,3,MFSD8
MFSD9,15,MFSD9
MGA,110,MGA
MGAM,18,MGAM
MGAM2,3,MGAM2
MGAT1,2,MGAT1
MGAT2,6,MGAT2
MGAT3,1,MGAT3
