Genes,Domains,Norm_Symbol
SAA2-SAA4,['PF00277'],SAA2-SAA4
TBC1D2,"['PF00169', 'PF00566']",TBC1D2
CCDC25,['PF05670'],CCDC25
VWA5B1,"['PF13757', 'PF13768']",VWA5B1
TRPM1,"['PF18139', 'PF16519', 'PF00520']",TRPM1
PRB3,['PF15240'],PRB3
NUDC,"['PF14050', 'PF16273', 'PF04969']",NUDC
KRT33A,['PF00038'],KRT33A
TBC1D8,"['PF00566', 'PF02893']",TBC1D8
PRB4,['PF15240'],PRB4
LAMTOR3,['PF08923'],LAMTOR3
UXT,['PF02996'],UXT
FLNA,"['PF00307', 'PF00630']",FLNA
CD1C,"['PF16497', 'PF07654']",CD1C
GPATCH3,['PF01585'],GPATCH3
LGALS7,['PF00337'],LGALS7
MTRF1L,"['PF03462', 'PF00472']",MTRF1L
GLRA3,"['PF02931', 'PF02932']",GLRA3
MTDH,['PF15686'],MTDH
LGALS7B,['PF00337'],LGALS7B
ZIM2,"['PF00096', 'PF01352', 'PF13894']",ZIM2
ZNF720,['PF01352'],ZNF720
DSCC1,['PF09724'],DSCC1
CD1B,"['PF16497', 'PF07654']",CD1B
LCA5,['PF15619'],LCA5
SDK2,"['PF00041', 'PF07679', 'PF13927']",SDK2
LACTB2,"['PF00753', 'PF17778']",LACTB2
KCNJ1,"['PF01007', 'PF17655']",KCNJ1
JAG2,"['PF07645', 'PF00008', 'PF01414', 'PF07657', 'PF12661']",JAG2
KRTAP16-1,['PF13885'],KRTAP16-1
HHIPL1,"['PF07995', 'PF03024', 'PF00530']",HHIPL1
TXN2,['PF00085'],TXN2
ARMCX5,['PF04826'],ARMCX5
ITGA2B,"['PF08441', 'PF00357', 'PF01839']",ITGA2B
PAFAH2,['PF03403'],PAFAH2
HAPLN3,"['PF07686', 'PF00193']",HAPLN3
MRPS2,['PF00318'],MRPS2
PRKAG3,['PF00571'],PRKAG3
LTBR,['PF00020'],LTBR
RHBDF2,"['PF01694', 'PF12595']",RHBDF2
ZNF835,['PF00096'],ZNF835
GNG5,['PF00631'],GNG5
GPRASP2,['PF04826'],GPRASP2
NTM,"['PF00047', 'PF07679', 'PF13927']",NTM
C9orf116,['PF14892'],C9orf116
LAPTM4B,['PF03821'],LAPTM4B
IGFBP3,"['PF00086', 'PF00219']",IGFBP3
NUDT14,['PF00293'],NUDT14
HOOK1,['PF05622'],HOOK1
C16orf82,['PF15765'],C16orf82
PBK,['PF00069'],PBK
ZBTB38,"['PF00096', 'PF00651']",ZBTB38
RPF1,['PF04427'],RPF1
ARMCX5-GPRASP2,['PF04826'],ARMCX5-GPRASP2
OR8K5,['PF13853'],OR8K5
KCNJ5,"['PF01007', 'PF17655']",KCNJ5
OR5J2,['PF13853'],OR5J2
PTGES3L-AARSD1,['PF07973'],PTGES3L-AARSD1
VEGFA,"['PF14554', 'PF00341']",VEGFA
CTBS,['PF00704'],CTBS
C11orf45,['PF17731'],C11orf45
MAN1C1,['PF01532'],MAN1C1
COL9A1,['PF01391'],COL9A1
CNBP,['PF00098'],CNBP
PCK1,"['PF00821', 'PF17297']",PCK1
ESCO2,"['PF13880', 'PF13878']",ESCO2
TNIP3,['PF16516'],TNIP3
SCNN1A,['PF00858'],SCNN1A
MED15,['PF09606'],MED15
SLFN5,"['PF09848', 'PF04326']",SLFN5
SPATA1,['PF15743'],SPATA1
ATP2B3,"['PF12424', 'PF00690', 'PF00122', 'PF13246', 'PF00689', 'PF08282']",ATP2B3
GPRASP1,['PF04826'],GPRASP1
CDC42EP3,"['PF00786', 'PF14957']",CDC42EP3
MICAL2,"['PF12130', 'PF00307', 'PF00412', 'PF01494']",MICAL2
MYH8,"['PF02736', 'PF00063', 'PF01576']",MYH8
NDUFS7,['PF01058'],NDUFS7
CDC14C,"['PF14671', 'PF00782']",CDC14C
ADCK5,['PF03109'],ADCK5
AARSD1,['PF07973'],AARSD1
ENY2,['PF10163'],ENY2
CYP4X1,['PF00067'],CYP4X1
PLEKHB1,['PF00169'],PLEKHB1
LGALS4,['PF00337'],LGALS4
CPSF1,"['PF10433', 'PF03178']",CPSF1
ARHGAP26,"['PF00169', 'PF00620', 'PF14604', 'PF16746']",ARHGAP26
ZNF880,"['PF00096', 'PF01352']",ZNF880
RBM23,"['PF00076', 'PF15519']",RBM23
ALPG,['PF00245'],ALPG
IPPK,['PF06090'],IPPK
ATP6V0D1,['PF01992'],ATP6V0D1
PXYLP1,['PF00328'],PXYLP1
TGFBR1,"['PF07714', 'PF01064', 'PF00069', 'PF08515']",TGFBR1
RAB3IL1,['PF06428'],RAB3IL1
MYH2,"['PF02736', 'PF00063', 'PF01576']",MYH2
GU182351.7,['PF00047'],GU182351.7
ASPN,"['PF13855', 'PF01462']",ASPN
MCF2,"['PF00169', 'PF00621', 'PF13716']",MCF2
PRB1,['PF15240'],PRB1
CYP4Z1,['PF00067'],CYP4Z1
GAL3ST1,['PF06990'],GAL3ST1
GU182351.3,['PF00047'],GU182351.3
CENPP,['PF13096'],CENPP
SLC25A22,['PF00153'],SLC25A22
GPX4,['PF00255'],GPX4
LRP8,"['PF07645', 'PF14670', 'PF00058', 'PF00057']",LRP8
PARN,"['PF08675', 'PF04857', 'PF01424']",PARN
OMD,['PF13855'],OMD
SEMA6A,"['PF01437', 'PF01403']",SEMA6A
SLC5A8,['PF00474'],SLC5A8
MTRNR2L12,['PF15040'],MTRNR2L12
CD1E,"['PF16497', 'PF07654']",CD1E
NME9,"['PF00085', 'PF00334']",NME9
DEPTOR,"['PF17820', 'PF00610']",DEPTOR
CYP4A22,['PF00067'],CYP4A22
KRT5,"['PF00038', 'PF16208']",KRT5
OGN,['PF13855'],OGN
ZNF641,"['PF00096', 'PF01352']",ZNF641
DPH5,['PF00590'],DPH5
RIPPLY2,['PF14998'],RIPPLY2
CAMK2N1,['PF15170'],CAMK2N1
ANP32D,['PF14580'],ANP32D
MUL1,"['PF13920', 'PF12483']",MUL1
ECM2,"['PF00093', 'PF13855', 'PF12799']",ECM2
ANO4,"['PF04547', 'PF16178']",ANO4
C12orf54,['PF15732'],C12orf54
DYRK1A,['PF00069'],DYRK1A
OR10T2,['PF13853'],OR10T2
OR10K2,['PF13853'],OR10K2
KRT71,"['PF00038', 'PF16208']",KRT71
CYGB,['PF00042'],CYGB
TMEM159,['PF16015'],TMEM159
MYH1,"['PF02736', 'PF00063', 'PF01576']",MYH1
OR8S1,['PF13853'],OR8S1
C16orf96,['PF16043'],C16orf96
AC024940.7,"['PF07678', 'PF07677', 'PF17791', 'PF07703', 'PF00207', 'PF17789']",AC024940.7
OR10K1,['PF13853'],OR10K1
OR5BS1P,['PF13853'],OR5BS1P
RREB1,"['PF00096', 'PF13909', 'PF13912']",RREB1
AGRP,['PF05039'],AGRP
OR10R2,['PF13853'],OR10R2
TCF21,['PF00010'],TCF21
LHX6,"['PF00046', 'PF00412']",LHX6
MRPS7,['PF00177'],MRPS7
EXTL1,"['PF03016', 'PF09258']",EXTL1
ASB7,"['PF13637', 'PF07525', 'PF12796']",ASB7
OR6Y1,['PF13853'],OR6Y1
YAF2,"['PF00641', 'PF17219']",YAF2
OR6P1,['PF13853'],OR6P1
ADAM29,"['PF01562', 'PF00200', 'PF08516', 'PF01421']",ADAM29
MYH4,"['PF02736', 'PF00063', 'PF01576']",MYH4
OR10X1,['PF13853'],OR10X1
PRCD,['PF15201'],PRCD
KRT74,"['PF00038', 'PF16208']",KRT74
SYNPR,['PF01284'],SYNPR
ZNF512,['PF00096'],ZNF512
QRFPR,['PF00001'],QRFPR
CHRNA3,"['PF02931', 'PF02932']",CHRNA3
TRIM28,"['PF00628', 'PF14634', 'PF00643']",TRIM28
CYP46A1,['PF00067'],CYP46A1
MED1,['PF10744'],MED1
DNAH3,"['PF08393', 'PF17852', 'PF03028', 'PF12777', 'PF12774', 'PF17857', 'PF12775', 'PF12780', 'PF18199', 'PF12781', 'PF18198']",DNAH3
TJAP1,['PF15453'],TJAP1
OR10Z1,['PF13853'],OR10Z1
CHRNA5,"['PF02931', 'PF02932']",CHRNA5
ALPI,['PF00245'],ALPI
GPATCH8,"['PF12171', 'PF01585']",GPATCH8
CNOT6L,"['PF13855', 'PF03372']",CNOT6L
EXOC2,"['PF15469', 'PF01833']",EXOC2
CYB5R4,"['PF00173', 'PF00175', 'PF04969', 'PF00970']",CYB5R4
BEST1,['PF01062'],BEST1
OR8K3,['PF13853'],OR8K3
SLC19A3,['PF01770'],SLC19A3
EME2,['PF02732'],EME2
SEMA4D,"['PF01437', 'PF00047', 'PF01403']",SEMA4D
HUS1B,['PF04005'],HUS1B
MARK2,"['PF00627', 'PF02149', 'PF00069']",MARK2
MIF4GD,['PF02854'],MIF4GD
NPIPA9,['PF06409'],NPIPA9
SPTA1,"['PF08726', 'PF00018', 'PF00435']",SPTA1
IGFALS,"['PF13855', 'PF01462']",IGFALS
KDM8,['PF13621'],KDM8
OR6K2,['PF13853'],OR6K2
OR6K3,['PF13853'],OR6K3
VWC2,['PF00093'],VWC2
ZNF267,"['PF00096', 'PF01352']",ZNF267
OR6K6,['PF13853'],OR6K6
OR6N1,['PF13853'],OR6N1
RIPOR1,"['PF15903', 'PF13646']",RIPOR1
SPATA48,['PF15073'],SPATA48
OR6N2,['PF13853'],OR6N2
FTH1,['PF00210'],FTH1
LINS1,"['PF14694', 'PF14695']",LINS1
FAM43B,['PF14719'],FAM43B
FBXL13,['PF13516'],FBXL13
PIK3CG,"['PF00792', 'PF00794', 'PF00454', 'PF00613']",PIK3CG
FBXL20,"['PF12937', 'PF13516']",FBXL20
SF3B3,"['PF10433', 'PF03178']",SF3B3
TP53AIP1,['PF15338'],TP53AIP1
GFRA3,['PF02351'],GFRA3
MTG1,['PF01926'],MTG1
FATE1,['PF05644'],FATE1
LCN1,['PF00061'],LCN1
MNDA,"['PF02760', 'PF02758']",MNDA
SPSB3,['PF00622'],SPSB3
LALBA,['PF00062'],LALBA
ZPBP,['PF07354'],ZPBP
TTC9C,['PF07719'],TTC9C
MTERF2,['PF02536'],MTERF2
ZNF528,"['PF00096', 'PF01352']",ZNF528
DRG1,"['PF02824', 'PF16897', 'PF01926']",DRG1
GPN1,['PF03029'],GPN1
SPRN,['PF14999'],SPRN
TBX4,['PF00907'],TBX4
ZBTB3,"['PF00096', 'PF00651']",ZBTB3
S1PR1,['PF00001'],S1PR1
GOLGA5,['PF09787'],GOLGA5
SLC24A5,['PF01699'],SLC24A5
CDC42BPG,"['PF00780', 'PF00069', 'PF00130', 'PF08826']",CDC42BPG
LRRC17,['PF13855'],LRRC17
GPKOW,"['PF12656', 'PF00467']",GPKOW
TMEM263,['PF15475'],TMEM263
TNPO2,"['PF03810', 'PF13513']",TNPO2
CTXN2,['PF11057'],CTXN2
DMC1,"['PF14520', 'PF08423']",DMC1
PML,"['PF12126', 'PF00643']",PML
EYA4,['PF00702'],EYA4
NACA2,['PF01849'],NACA2
TSPY4,['PF00956'],TSPY4
MAPK11,['PF00069'],MAPK11
ARID5A,['PF01388'],ARID5A
SNRPB,['PF01423'],SNRPB
MRRF,['PF01765'],MRRF
PAOX,['PF01593'],PAOX
TCF3,['PF00010'],TCF3
HSPA4L,['PF00012'],HSPA4L
IL9,['PF01415'],IL9
IGHV3OR16-9,['PF07686'],IGHV3OR16-9
PISD,['PF02666'],PISD
PRKCD,"['PF00433', 'PF00069', 'PF00130']",PRKCD
CNGA2,"['PF16526', 'PF00027', 'PF00520']",CNGA2
MALL,['PF01284'],MALL
SUPT7L,['PF07524'],SUPT7L
BRIP1,"['PF13307', 'PF06733']",BRIP1
ZNF534,"['PF00096', 'PF01352']",ZNF534
KDF1,['PF15551'],KDF1
ZNF343,"['PF00096', 'PF01352']",ZNF343
RBM18,['PF00076'],RBM18
UGT2B4,['PF00201'],UGT2B4
ANKRD36,"['PF12796', 'PF14915']",ANKRD36
RPL4,"['PF00573', 'PF14374']",RPL4
NUBP2,['PF10609'],NUBP2
USP38,['PF00443'],USP38
PRMT5,"['PF17285', 'PF17286', 'PF05185']",PRMT5
RXFP1,"['PF13855', 'PF00001', 'PF00057']",RXFP1
SGPL1,['PF00282'],SGPL1
RBMY1D,"['PF00076', 'PF08081']",RBMY1D
TSPY8,['PF00956'],TSPY8
ZNF578,"['PF00096', 'PF01352', 'PF13912']",ZNF578
SH3BGRL2,['PF04908'],SH3BGRL2
GGA3,"['PF00790', 'PF03127', 'PF02883', 'PF18308']",GGA3
IFIT3,"['PF13424', 'PF13176', 'PF13181']",IFIT3
PYHIN1,"['PF02760', 'PF02758']",PYHIN1
TMEM98,['PF13324'],TMEM98
FOXRED2,['PF13738'],FOXRED2
SLC39A13,['PF02535'],SLC39A13
ZNHIT2,['PF04438'],ZNHIT2
SLC4A1AP,"['PF00035', 'PF00498']",SLC4A1AP
PPEF1,"['PF13499', 'PF00612', 'PF00149', 'PF08321']",PPEF1
KANSL2,['PF13891'],KANSL2
IFIT2,['PF13181'],IFIT2
ZC3H7B,"['PF00642', 'PF13181']",ZC3H7B
OSCAR,['PF13895'],OSCAR
PPIP5K1,"['PF18086', 'PF00328']",PPIP5K1
CCDC121,['PF14988'],CCDC121
MRPS34,['PF16053'],MRPS34
CDA,['PF00383'],CDA
WAPL,['PF07814'],WAPL
ARMC8,['PF00514'],ARMC8
COPG1,"['PF08752', 'PF16381', 'PF01602']",COPG1
PYM1,['PF09282'],PYM1
MAGEA4,"['PF01454', 'PF12440']",MAGEA4
SLC12A1,"['PF03522', 'PF08403', 'PF00324']",SLC12A1
ATXN7,['PF08313'],ATXN7
VIM,"['PF04732', 'PF00038']",VIM
PRDM9,"['PF00096', 'PF09514', 'PF00856', 'PF01352']",PRDM9
ARL17B,"['PF15840', 'PF00025']",ARL17B
CHMP2A,['PF03357'],CHMP2A
PCBD1,['PF01329'],PCBD1
ZNF554,"['PF00096', 'PF01352']",ZNF554
MEP1A,"['PF00008', 'PF01400', 'PF00629']",MEP1A
TPK1,"['PF04263', 'PF04265']",TPK1
GU182351.4,['PF00047'],GU182351.4
CHRNB4,"['PF02931', 'PF02932']",CHRNB4
SP7,['PF00096'],SP7
GU182351.1,['PF00047'],GU182351.1
THOC7,['PF05615'],THOC7
RBM3,['PF00076'],RBM3
MEIS3,"['PF16493', 'PF05920']",MEIS3
IFIT1B,"['PF13424', 'PF13176', 'PF13181']",IFIT1B
ZNF79,['PF00096'],ZNF79
RESP18,['PF14948'],RESP18
LRRC37A2,"['PF13855', 'PF14914', 'PF15779']",LRRC37A2
BTN3A3,"['PF13765', 'PF07686', 'PF00622']",BTN3A3
KRT73,"['PF16208', 'PF00038']",KRT73
POLR2G,"['PF03876', 'PF00575']",POLR2G
OBP2A,['PF00061'],OBP2A
ICAM5,"['PF13895', 'PF03921', 'PF13927']",ICAM5
UBE2M,['PF00179'],UBE2M
FZD2,"['PF01392', 'PF01534']",FZD2
CRY1,"['PF03441', 'PF00875']",CRY1
SP1,['PF00096'],SP1
RANGAP1,"['PF13516', 'PF07834']",RANGAP1
DDOST,['PF03345'],DDOST
KRT72,"['PF16208', 'PF00038']",KRT72
CYP2J2,['PF00067'],CYP2J2
TFEC,"['PF11851', 'PF00010']",TFEC
FAM135A,"['PF05057', 'PF12394']",FAM135A
PAPOLB,"['PF01909', 'PF04928', 'PF04926']",PAPOLB
PINK1,['PF00069'],PINK1
XRN2,"['PF17846', 'PF03159']",XRN2
ZNF701,"['PF00096', 'PF01352']",ZNF701
ELOVL4,['PF01151'],ELOVL4
DGKA,"['PF00609', 'PF00781', 'PF14513', 'PF00130']",DGKA
C1orf87,['PF17743'],C1orf87
CLDN10,['PF00822'],CLDN10
IFI16,"['PF02760', 'PF02758']",IFI16
PSG3,"['PF13895', 'PF07686', 'PF13927']",PSG3
TSTA3,['PF01370'],TSTA3
MEIOC,['PF15189'],MEIOC
AEBP1,"['PF13620', 'PF00754', 'PF00246']",AEBP1
MAGIX,"['PF17820', 'PF00595']",MAGIX
RADIL,"['PF00595', 'PF01843', 'PF00788']",RADIL
MRPL49,['PF05046'],MRPL49
PLPP2,['PF01569'],PLPP2
MZF1,"['PF02023', 'PF00096']",MZF1
RPL38,['PF01781'],RPL38
MYEF2,['PF00076'],MYEF2
ZNF808,"['PF00096', 'PF01352']",ZNF808
ABCD4,"['PF06472', 'PF00005']",ABCD4
OPN4,['PF00001'],OPN4
SMG8,['PF10220'],SMG8
ECEL1,"['PF05649', 'PF01431']",ECEL1
SERPINA11,['PF00079'],SERPINA11
SINHCAF,['PF15396'],SINHCAF
STK17A,['PF00069'],STK17A
AC099850.2,['PF10220'],AC099850.2
UGT2A2,['PF00201'],UGT2A2
SMOX,['PF01593'],SMOX
WHRN,['PF00595'],WHRN
PARVA,['PF00307'],PARVA
DZIP1,['PF13815'],DZIP1
CNTN5,"['PF00041', 'PF07679', 'PF13927']",CNTN5
SAA1,['PF00277'],SAA1
SERPINA9,['PF00079'],SERPINA9
UGT2A1,['PF00201'],UGT2A1
CCL20,['PF00048'],CCL20
ARHGAP33,"['PF07653', 'PF00620']",ARHGAP33
FAR2,"['PF07993', 'PF03015']",FAR2
PLP2,['PF01284'],PLP2
ZNF623,['PF00096'],ZNF623
MAP1LC3A,['PF02991'],MAP1LC3A
SYVN1,['PF13639'],SYVN1
LIPA,"['PF04083', 'PF00561']",LIPA
TES,"['PF00412', 'PF06297']",TES
TSPY3,['PF00956'],TSPY3
UNC5B,"['PF00090', 'PF00531', 'PF00791', 'PF07679', 'PF17217']",UNC5B
KRT2,"['PF16208', 'PF00038']",KRT2
CPNE4,"['PF00168', 'PF07002']",CPNE4
TSPAN3,['PF00335'],TSPAN3
FAM227A,['PF14922'],FAM227A
COA1,['PF08695'],COA1
PRKD1,"['PF00169', 'PF00130', 'PF00069']",PRKD1
KRT1,"['PF16210', 'PF00038', 'PF16208']",KRT1
GET3,['PF02374'],GET3
PRICKLE3,"['PF00412', 'PF06297']",PRICKLE3
INTS2,['PF14750'],INTS2
RGS6,"['PF00631', 'PF00610', 'PF00615', 'PF18148']",RGS6
CCNQ,['PF00134'],CCNQ
FAU,"['PF04758', 'PF00240']",FAU
MBTD1,['PF02820'],MBTD1
CXXC5,['PF02008'],CXXC5
AC010255.3,['PF13913'],AC010255.3
INO80,"['PF13892', 'PF00176', 'PF00271']",INO80
TAF6L,"['PF02969', 'PF07571']",TAF6L
MEIG1,['PF15163'],MEIG1
EPHA6,"['PF07699', 'PF00041', 'PF00536', 'PF14575', 'PF07714', 'PF01404']",EPHA6
ZNF474,['PF13913'],ZNF474
TEAD1,"['PF01285', 'PF17725']",TEAD1
RCE1,['PF02517'],RCE1
GPM6A,['PF01275'],GPM6A
KIN,"['PF10357', 'PF18131']",KIN
CCNT1,['PF00134'],CCNT1
TMEM223,['PF14640'],TMEM223
OR8U1,['PF13853'],OR8U1
LECT2,['PF01551'],LECT2
CAV2,['PF01146'],CAV2
EIF4ENIF1,['PF10477'],EIF4ENIF1
IFIT1,"['PF13424', 'PF13181']",IFIT1
SUPT5H,"['PF11942', 'PF00467', 'PF03439']",SUPT5H
ERGIC2,"['PF13850', 'PF07970']",ERGIC2
CYP1B1,['PF00067'],CYP1B1
GAB1,['PF00169'],GAB1
KCNK4,['PF07885'],KCNK4
RBMY1E,"['PF00076', 'PF08081']",RBMY1E
PKN1,"['PF00433', 'PF02185', 'PF00069']",PKN1
WNT6,['PF00110'],WNT6
ZBP1,"['PF02295', 'PF12721']",ZBP1
WDR13,['PF00400'],WDR13
ZNF555,"['PF00096', 'PF01352', 'PF13894']",ZNF555
ADGRF5,"['PF01390', 'PF13927', 'PF01825', 'PF00002']",ADGRF5
SDC1,['PF01034'],SDC1
MRAP2,['PF15183'],MRAP2
ADD3,['PF00596'],ADD3
ZNF595,"['PF00096', 'PF01352', 'PF13912']",ZNF595
FAM53C,['PF15242'],FAM53C
NSMCE1,"['PF07574', 'PF08746']",NSMCE1
PRKAR2B,"['PF02197', 'PF00027']",PRKAR2B
DAW1,['PF00400'],DAW1
RBBP4,"['PF12265', 'PF00400']",RBBP4
TRMT61A,['PF08704'],TRMT61A
GARS,"['PF00458', 'PF00587', 'PF03129']",GARS
PDZK1IP1,['PF15807'],PDZK1IP1
ADCY6,"['PF06327', 'PF00211', 'PF16214']",ADCY6
CTR9,"['PF13432', 'PF13181', 'PF14559']",CTR9
ATP6V1G1,['PF03179'],ATP6V1G1
TENT5B,['PF07984'],TENT5B
MFGE8,"['PF00008', 'PF00754']",MFGE8
LCTL,['PF00232'],LCTL
XKR9,['PF09815'],XKR9
SHOX2,"['PF00046', 'PF03826']",SHOX2
MATN2,"['PF07645', 'PF12662', 'PF14670', 'PF10393', 'PF00092']",MATN2
TAL1,['PF00010'],TAL1
GGCT,['PF13772'],GGCT
TMEM268,['PF14800'],TMEM268
BTBD11,"['PF13606', 'PF00023', 'PF00651', 'PF12796']",BTBD11
NFIA,"['PF03165', 'PF00859', 'PF10524']",NFIA
FEZ2,['PF07763'],FEZ2
GPR18,['PF00001'],GPR18
TMC3,['PF07810'],TMC3
GPR183,['PF00001'],GPR183
SLC8A2,"['PF03160', 'PF16494', 'PF01699']",SLC8A2
DNAJB14,"['PF09320', 'PF00226']",DNAJB14
UBAC2,['PF00627'],UBAC2
SYNC,['PF00038'],SYNC
ZNF213,"['PF00096', 'PF13465', 'PF01352', 'PF02023']",ZNF213
RPL30,['PF01248'],RPL30
RASA2,"['PF00168', 'PF00616', 'PF00169', 'PF00779']",RASA2
FDX2,['PF00111'],FDX2
ZNF83,"['PF00096', 'PF01352']",ZNF83
U2AF1,"['PF00076', 'PF00642']",U2AF1
PWP1,['PF00400'],PWP1
RPL12,"['PF00298', 'PF03946']",RPL12
AC005154.5,['PF13772'],AC005154.5
SULT1B1,['PF00685'],SULT1B1
ARHGAP28,['PF00620'],ARHGAP28
CDC25C,"['PF06617', 'PF00581']",CDC25C
C11orf80,['PF15091'],C11orf80
AIM2,"['PF02760', 'PF02758']",AIM2
ZNF205,"['PF00096', 'PF01352']",ZNF205
IMMT,['PF09731'],IMMT
POLR1C,"['PF01193', 'PF01000']",POLR1C
MTFR1L,['PF05308'],MTFR1L
SPACA3,['PF00062'],SPACA3
BBS9,"['PF14728', 'PF14727']",BBS9
ICAM3,['PF03921'],ICAM3
GDPD1,['PF03009'],GDPD1
MOK,['PF00069'],MOK
GU182352.4,['PF00047'],GU182352.4
GU182352.7,['PF00047'],GU182352.7
MED13,"['PF06333', 'PF11597', 'PF18296']",MED13
EHD1,"['PF01926', 'PF16880', 'PF00350', 'PF12763', 'PF18150']",EHD1
COX7A1,['PF02238'],COX7A1
SSX2IP,['PF11559'],SSX2IP
LAMB4,"['PF00053', 'PF00055']",LAMB4
PRDM4,"['PF00096', 'PF18445']",PRDM4
ZGLP1,['PF00320'],ZGLP1
MRPL1,['PF00687'],MRPL1
ST6GALNAC2,['PF00777'],ST6GALNAC2
ZP2,['PF00100'],ZP2
PSMG1,['PF16094'],PSMG1
ZNF146,['PF00096'],ZNF146
ASCL4,['PF00010'],ASCL4
IL4R,['PF09238'],IL4R
SNCAIP,"['PF16700', 'PF12796']",SNCAIP
EIF4G2,"['PF02847', 'PF02020', 'PF02854']",EIF4G2
RAVER1,['PF00076'],RAVER1
LTV1,['PF04180'],LTV1
ZNF565,"['PF00096', 'PF01352']",ZNF565
KRT77,"['PF00038', 'PF16208']",KRT77
CXADR,"['PF07686', 'PF00047']",CXADR
GU182352.1,['PF00047'],GU182352.1
PSD2,"['PF15410', 'PF01369']",PSD2
ZC2HC1B,['PF13913'],ZC2HC1B
IL18RAP,"['PF13895', 'PF18452', 'PF00047', 'PF01582']",IL18RAP
TP53INP2,['PF14839'],TP53INP2
PAEP,['PF00061'],PAEP
C4orf48,['PF15161'],C4orf48
AUNIP,['PF15334'],AUNIP
SLFN11,"['PF09848', 'PF04326']",SLFN11
IL34,['PF15036'],IL34
NAT8L,['PF00583'],NAT8L
ARHGAP42,"['PF00169', 'PF00620', 'PF16746', 'PF14604']",ARHGAP42
ANXA7,['PF00191'],ANXA7
PEAK1,['PF00069'],PEAK1
TTYH2,['PF04906'],TTYH2
MMD2,['PF03006'],MMD2
SLC29A3,['PF01733'],SLC29A3
CCDC97,['PF09747'],CCDC97
ACSS1,"['PF13193', 'PF00501', 'PF16177']",ACSS1
RTCB,['PF01139'],RTCB
CADM3,"['PF08205', 'PF07686', 'PF13927']",CADM3
PTGER1,['PF00001'],PTGER1
ZNF182,"['PF00096', 'PF01352']",ZNF182
AL354761.1,['PF00061'],AL354761.1
PELP1,"['PF08166', 'PF08167']",PELP1
EXOSC5,"['PF03725', 'PF01138']",EXOSC5
PARVG,['PF00307'],PARVG
DBF4B,['PF07535'],DBF4B
GLT6D1,['PF03414'],GLT6D1
LPAR3,['PF00001'],LPAR3
WNT10A,['PF00110'],WNT10A
AC011462.1,['PF00676'],AC011462.1
USH1C,['PF00595'],USH1C
LCN9,['PF00061'],LCN9
TMEM259,['PF09746'],TMEM259
GU182352.3,['PF00047'],GU182352.3
PTPRH,"['PF00041', 'PF00102']",PTPRH
XPO5,['PF08389'],XPO5
KRT76,"['PF00038', 'PF16208']",KRT76
ACLY,"['PF02629', 'PF00285', 'PF00549', 'PF16114']",ACLY
ZNF630,"['PF00096', 'PF01352']",ZNF630
OLFM3,"['PF02191', 'PF12308']",OLFM3
ATP5F1A,"['PF00006', 'PF00306', 'PF02874']",ATP5F1A
CDK5R2,['PF03261'],CDK5R2
WDR20,['PF00400'],WDR20
KNL1,['PF18210'],KNL1
BCKDHA,['PF00676'],BCKDHA
ZNF516,"['PF00096', 'PF13465', 'PF13909']",ZNF516
ZNF81,"['PF00096', 'PF01352']",ZNF81
NCOA6,['PF13820'],NCOA6
GRIN3B,"['PF10613', 'PF00060']",GRIN3B
B4GALT7,"['PF13733', 'PF02709']",B4GALT7
APOBEC1,['PF18774'],APOBEC1
PHACTR2,['PF02755'],PHACTR2
SPACA5,['PF00062'],SPACA5
ARHGAP32,"['PF00787', 'PF00620', 'PF14604']",ARHGAP32
MSS51,['PF01753'],MSS51
MAEA,['PF10607'],MAEA
RCOR2,"['PF01448', 'PF00249']",RCOR2
PIGU,['PF06728'],PIGU
PSG8,"['PF13895', 'PF07686', 'PF13927']",PSG8
WSCD2,['PF01822'],WSCD2
SEMA5A,"['PF00090', 'PF01403']",SEMA5A
MTSS2,['PF08397'],MTSS2
KRT3,"['PF00038', 'PF16208']",KRT3
SLC9A1,"['PF00999', 'PF16644']",SLC9A1
APBB3,['PF00640'],APBB3
SLC22A17,['PF00083'],SLC22A17
C20orf144,['PF15318'],C20orf144
ACTL10,['PF00022'],ACTL10
PRSS56,['PF00089'],PRSS56
GADD45G,['PF01248'],GADD45G
HSP90AA1,"['PF02518', 'PF00183']",HSP90AA1
WDR36,"['PF04192', 'PF12894', 'PF00400']",WDR36
FCER1A,"['PF13895', 'PF00047', 'PF13927']",FCER1A
MCOLN2,['PF08016'],MCOLN2
SLC9A4,"['PF00999', 'PF16644']",SLC9A4
HMCES,['PF02586'],HMCES
OR10J3,['PF13853'],OR10J3
GABBR2,"['PF00003', 'PF01094', 'PF18455']",GABBR2
NSF,"['PF02359', 'PF02933', 'PF17862', 'PF00004']",NSF
SLC35A4,"['PF15054', 'PF04142']",SLC35A4
ETFDH,"['PF01946', 'PF05187']",ETFDH
KRT4,"['PF16208', 'PF00038']",KRT4
OR10J1,['PF13853'],OR10J1
EFS,"['PF12026', 'PF14604']",EFS
EMD,['PF03020'],EMD
B3GALNT1,['PF01762'],B3GALNT1
ADGRF1,"['PF01390', 'PF00002', 'PF01825']",ADGRF1
BTN2A1,"['PF13765', 'PF07686', 'PF00622']",BTN2A1
RBMY1F,"['PF00076', 'PF08081']",RBMY1F
ATP13A1,"['PF00122', 'PF00702']",ATP13A1
