Genes,Protein_Mass (Daltons),Norm_Symbol
SERPIND1,57071,SERPIND1
PTPRZ1,254587,PTPRZ1
HAUS7,40778,HAUS7
NPW,18048,NPW
NIM1K,49606,NIM1K
SRSF4,56678,SRSF4
ZCCHC3,43547,ZCCHC3
ZBTB45,54008,ZBTB45
PTK2B,115875,PTK2B
IGHV4-34,13815,IGHV4-34
TMEM256,11742,TMEM256
BMF,20508,BMF
GPR63,47578,GPR63
DDRGK1,35611,DDRGK1
SH3BP2,62244,SH3BP2
SMURF1,86114,SMURF1
SMG6,160462,SMG6
ATL1,63544,ATL1
CSPP1,145522,CSPP1
DTD2,18660,DTD2
KIR2DS4,33583,KIR2DS4
MINK1,149822,MINK1
ELOB,13133,ELOB
TMED10,24976,TMED10
CHMP7,50911,CHMP7
RAB29,23155,RAB29
GATM,48455,GATM
TAAR8,38029,TAAR8
MAEL,49219,MAEL
ZCCHC10,20967,ZCCHC10
LRRC73,33409,LRRC73
KLF15,43992,KLF15
SST,12736,SST
FADS1,51964,FADS1
DES,53536,DES
KRTAP5-9,16276,KRTAP5-9
OR8D4,35019,OR8D4
SNRK,84276,SNRK
ZACN,45816,ZACN
CARD10,115931,CARD10
DIRAS2,22485,DIRAS2
SPDYE4,27806,SPDYE4
GRID2,113356,GRID2
LNX2,76004,LNX2
FIBCD1,50744,FIBCD1
RDH12,35094,RDH12
GPC2,62830,GPC2
GK5,59156,GK5
TRDV1,12955,TRDV1
C1orf105,21209,C1orf105
CYP3A5,57109,CYP3A5
DDX39B,48991,DDX39B
OR2B3,35543,OR2B3
CCDC96,62711,CCDC96
TSPAN9,26779,TSPAN9
SYT17,53849,SYT17
TFAP2B,50474,TFAP2B
IL21R,59130,IL21R
OR10A2,33817,OR10A2
CRYBB2,23380,CRYBB2
TDRD6,236517,TDRD6
FOXK2,69062,FOXK2
CLGN,70039,CLGN
PRR14L,237300,PRR14L
TAC4,12305,TAC4
CEL,79322,CEL
REM1,32947,REM1
HTATIP2,27049,HTATIP2
SPZ1,49445,SPZ1
KRT77,61901,KRT77
SLC9A8,65422,SLC9A8
ALG9,69863,ALG9
CD3G,20469,CD3G
DEFB106A,7369,DEFB106A
HMSD,15355,HMSD
SNX7,45303,SNX7
SMIM7,8631,SMIM7
GALNT12,66938,GALNT12
ZMYND19,26433,ZMYND19
GAA,105324,GAA
GIN1,59842,GIN1
THAP12,87704,THAP12
AKAIN1,7848,AKAIN1
VWC2,35282,VWC2
GABRG2,54162,GABRG2
ADA2,58934,ADA2
RGS1,23858,RGS1
SCRT1,35570,SCRT1
PIP4P1,29470,PIP4P1
CCDC8,59374,CCDC8
PLEKHM2,112780,PLEKHM2
DYNLL1,10366,DYNLL1
SS18L1,42990,SS18L1
HAAO,32556,HAAO
NSDHL,41900,NSDHL
ASPHD2,41699,ASPHD2
RAB33A,26593,RAB33A
CAST,76573,CAST
BEST2,57139,BEST2
KCNJ2,48288,KCNJ2
SRSF1,27745,SRSF1
DHRS4L2,24586,DHRS4L2
RHOT1,70784,RHOT1
MGST3,16516,MGST3
COQ2,40489,COQ2
ZFP62,102511,ZFP62
SPACA4,13004,SPACA4
RNASEH2A,33395,RNASEH2A
EMD,28994,EMD
SLC22A31,58815,SLC22A31
WNK3,198416,WNK3
RTF1,80313,RTF1
GTF2E1,49452,GTF2E1
SLC38A6,50929,SLC38A6
KIF1C,122947,KIF1C
HTR3E,51438,HTR3E
IL1A,30607,IL1A
AGPAT2,30914,AGPAT2
LDOC1,16968,LDOC1
KBTBD13,49485,KBTBD13
ACOX1,74424,ACOX1
ARMCX3,42501,ARMCX3
SERPINA12,47175,SERPINA12
LSM10,14080,LSM10
RAB40C,31304,RAB40C
SERPINB11,44099,SERPINB11
RNF207,70861,RNF207
RMND1,51604,RMND1
SOX17,44117,SOX17
USP17L22,59671,USP17L22
RBP3,135363,RBP3
SCLY,48149,SCLY
L3HYPDH,38138,L3HYPDH
TADA2A,51506,TADA2A
ANKS6,92219,ANKS6
STMN1,17303,STMN1
CDKN1A,18119,CDKN1A
RUNDC1,67643,RUNDC1
ACHE,67796,ACHE
TEX264,34189,TEX264
EIF4E,25097,EIF4E
HSPB2,20233,HSPB2
NCAPD3,168891,NCAPD3
ZNF257,65779,ZNF257
STUB1,34856,STUB1
TMEM201,72236,TMEM201
CUL7,191161,CUL7
RPS6,28681,RPS6
DPEP2,53365,DPEP2
MSI2,35197,MSI2
ABHD4,38794,ABHD4
KRTAP4-2,14462,KRTAP4-2
NUPR1,8873,NUPR1
PPIG,88617,PPIG
ASAP3,99155,ASAP3
TAX1BP1,90877,TAX1BP1
CLCF1,25176,CLCF1
TRIOBP,261376,TRIOBP
SYCP1,114192,SYCP1
NCOR2,273657,NCOR2
WDR59,109793,WDR59
TMPRSS4,48246,TMPRSS4
PRKAB1,30382,PRKAB1
RPL30,12784,RPL30
SLC35G5,35161,SLC35G5
GBP2,67209,GBP2
SAMD1,56052,SAMD1
DGKZ,124128,DGKZ
SEC14L6,45364,SEC14L6
IGFBP1,27904,IGFBP1
CNTROB,101253,CNTROB
IFRD1,50269,IFRD1
CALN1,24837,CALN1
GJB3,30818,GJB3
ZC4H2,26244,ZC4H2
ACOT11,68492,ACOT11
COL13A1,69950,COL13A1
ERCC6,168416,ERCC6
UCN,13458,UCN
HORMAD1,45200,HORMAD1
CXorf40A,17891,CXorf40A
MTDH,63837,MTDH
IGSF6,27013,IGSF6
RLIM,68549,RLIM
IGKV1D-13,12569,IGKV1D-13
SLC52A3,50805,SLC52A3
KLF10,52555,KLF10
GAGE1,12885,GAGE1
DPP9,98263,DPP9
NHLRC1,42293,NHLRC1
MSMO1,35216,MSMO1
IWS1,91955,IWS1
CLEC1A,31952,CLEC1A
PUS1,47470,PUS1
TNFAIP1,36204,TNFAIP1
FABP6,14371,FABP6
IRF2BP1,61688,IRF2BP1
CCAR2,102902,CCAR2
CENPVL1,29887,CENPVL1
BHLHE41,50498,BHLHE41
CCDC28B,22037,CCDC28B
KARS,68048,KARS
SETMAR,78034,SETMAR
SMPD1,69936,SMPD1
ERICH1,48984,ERICH1
OR56A3,35611,OR56A3
MYCBP,11967,MYCBP
SMARCD1,58233,SMARCD1
GSTP1,23356,GSTP1
ACOT12,62034,ACOT12
AMIGO1,55239,AMIGO1
CDH7,87086,CDH7
FOXD4L1,43610,FOXD4L1
LAMA4,202524,LAMA4
MAGEB16,36178,MAGEB16
MCM3,90981,MCM3
TP53TG3,12828,TP53TG3
CTAGE15,87868,CTAGE15
LYPD3,35971,LYPD3
HNRNPC,33670,HNRNPC
LRRC53,140742,LRRC53
CMKLR1,42322,CMKLR1
KREMEN1,51744,KREMEN1
SP2,64900,SP2
SLC45A2,58268,SLC45A2
STK24,49308,STK24
ZBTB8OS,19491,ZBTB8OS
PLS3,70811,PLS3
TMEM181,69325,TMEM181
FGL2,50229,FGL2
NNAT,9237,NNAT
ELAVL1,36092,ELAVL1
TRIM58,54766,TRIM58
FAM180B,20302,FAM180B
RWDD2A,33893,RWDD2A
SH3GLB2,43974,SH3GLB2
TSSK3,30102,TSSK3
FANCA,162775,FANCA
UTS2,14296,UTS2
ZNF699,73956,ZNF699
LRRIQ1,199300,LRRIQ1
TNFRSF10D,41823,TNFRSF10D
MYH4,223071,MYH4
GDF10,53122,GDF10
FNTA,44409,FNTA
NSD2,152258,NSD2
TMEM207,16116,TMEM207
KRT17,48106,KRT17
UQCRHL,10752,UQCRHL
RNASE12,17177,RNASE12
IVD,46651,IVD
JMJD8,29509,JMJD8
CHDH,65358,CHDH
PKM,57937,PKM
MTSS1,82251,MTSS1
LTB4R2,37942,LTB4R2
FAF1,73954,FAF1
UBE2L6,17769,UBE2L6
FYB2,82070,FYB2
GJC1,45470,GJC1
MAST3,143137,MAST3
CCDC189,37921,CCDC189
CCDC187,114856,CCDC187
ERGIC2,42549,ERGIC2
PRODH2,58871,PRODH2
RNASEH1,32064,RNASEH1
NUTM2F,80770,NUTM2F
OSBPL5,98616,OSBPL5
RUBCN,108622,RUBCN
CRISP1,28481,CRISP1
CXorf40B,17780,CXorf40B
E2F1,46920,E2F1
CUL2,86983,CUL2
PDGFB,27283,PDGFB
HIST1H2BG,13906,HIST1H2BG
ASPH,85863,ASPH
SEMG2,65444,SEMG2
RNPEP,72596,RNPEP
GOLGA6B,79913,GOLGA6B
ZNF296,50810,ZNF296
DCUN1D3,34291,DCUN1D3
SPATA1,52946,SPATA1
CDR1,31279,CDR1
CCR1,41173,CCR1
RNF225,34789,RNF225
USP17L4,59636,USP17L4
NRBF2,32378,NRBF2
RELA,60219,RELA
SKAP2,41217,SKAP2
PLEKHA7,127135,PLEKHA7
SIRT2,43182,SIRT2
ZNF449,59932,ZNF449
SMG7,127282,SMG7
SPINT3,10252,SPINT3
OR7C2,35323,OR7C2
USP6,158658,USP6
RTP1,30913,RTP1
VAX2,30874,VAX2
SFT2D1,17804,SFT2D1
AMDHD1,46743,AMDHD1
JAGN1,21125,JAGN1
FLVCR1,59863,FLVCR1
CD101,115109,CD101
SYNCRIP,69603,SYNCRIP
TRAPPC3,20274,TRAPPC3
PICK1,46600,PICK1
PEX1,142867,PEX1
NCK2,42915,NCK2
FLT3LG,26416,FLT3LG
SULT4A1,33085,SULT4A1
CCDC80,108174,CCDC80
PRKD1,101704,PRKD1
MPND,50662,MPND
WDR19,151581,WDR19
MCC,93027,MCC
FBXO40,79782,FBXO40
SLC38A8,46731,SLC38A8
EDN1,24425,EDN1
RABIF,13839,RABIF
SLC4A4,121461,SLC4A4
KIAA0895,60525,KIAA0895
OR1J2,35385,OR1J2
OR51M1,36669,OR51M1
SOSTDC1,23307,SOSTDC1
UBE2S,23845,UBE2S
KCNIP4,28729,KCNIP4
NEURL1B,59270,NEURL1B
SLC39A9,32251,SLC39A9
SHISA3,25832,SHISA3
PDE2A,105717,PDE2A
GPX2,21954,GPX2
RXRA,50811,RXRA
CDH8,88253,CDH8
ZNF830,41999,ZNF830
IGLV6-57,12566,IGLV6-57
BCL2A1,20132,BCL2A1
CLPSL1,14057,CLPSL1
TSEN2,53247,TSEN2
LRRC55,33009,LRRC55
WFDC2,12993,WFDC2
UROC1,74831,UROC1
TRIM68,56259,TRIM68
NUDT11,18559,NUDT11
FAM71E1,27609,FAM71E1
THY1,17935,THY1
ZCCHC24,26955,ZCCHC24
ADCY5,138908,ADCY5
KCNE5,14993,KCNE5
SHOX2,34953,SHOX2
CIDEC,26754,CIDEC
HGF,83134,HGF
SYT4,47958,SYT4
CSNK1G3,51389,CSNK1G3
ANKRD33,49403,ANKRD33
HNRNPA2B1,37430,HNRNPA2B1
PZP,163863,PZP
AMACR,42387,AMACR
FBXO4,44136,FBXO4
LTB,25390,LTB
C8orf76,43273,C8orf76
CHSY3,100284,CHSY3
CES2,61807,CES2
NF2,69690,NF2
CD320,28991,CD320
OR6N1,34869,OR6N1
VSTM1,26109,VSTM1
LPAR6,39392,LPAR6
KCNK18,43671,KCNK18
NAPSA,45387,NAPSA
DYNC1LI1,56579,DYNC1LI1
SPOCD1,130027,SPOCD1
WNT6,39721,WNT6
ZAN,305630,ZAN
DYRK1B,69198,DYRK1B
C1orf226,29057,C1orf226
NUTM2D,86276,NUTM2D
KIF21B,182662,KIF21B
FCHO1,96861,FCHO1
DMC1,37681,DMC1
LMOD1,67030,LMOD1
HIST1H1T,22019,HIST1H1T
CFHR1,37651,CFHR1
DIO3,33947,DIO3
TNFRSF10B,47878,TNFRSF10B
ANKRD13A,67619,ANKRD13A
IRGQ,62717,IRGQ
TCEAL1,18354,TCEAL1
IL16,141752,IL16
CFAP206,71193,CFAP206
KHDRBS2,38927,KHDRBS2
KLHDC9,37754,KLHDC9
NAE1,60246,NAE1
CKM,43101,CKM
JPT2,20063,JPT2
LAMC2,130976,LAMC2
RPL18A,20762,RPL18A
ZNF80,31224,ZNF80
ANGPTL7,40018,ANGPTL7
SEC24A,119749,SEC24A
ACBD7,9790,ACBD7
FAM155A,51493,FAM155A
TGFB1,44341,TGFB1
RNASEL,83533,RNASEL
NDUFAF8,7756,NDUFAF8
KCNJ4,49500,KCNJ4
RCC2,56085,RCC2
KRTAP4-8,19627,KRTAP4-8
PLEKHF2,27798,PLEKHF2
SLC25A24,53354,SLC25A24
TAAR6,38451,TAAR6
BCAP31,27992,BCAP31
FGD3,79401,FGD3
ALDH3B1,51840,ALDH3B1
CIDEA,24687,CIDEA
ENO2,47269,ENO2
HMG20A,40144,HMG20A
CDH3,91418,CDH3
MZF1,82055,MZF1
RPLP2,11665,RPLP2
IGKV2D-29,13143,IGKV2D-29
PPIP5K1,159521,PPIP5K1
TBP,37698,TBP
P2RX5,47205,P2RX5
ZNF621,49205,ZNF621
STAR,31914,STAR
ZNF688,30575,ZNF688
EML6,217899,EML6
PRDM12,40403,PRDM12
MAP3K1,164470,MAP3K1
IGHG4,35941,IGHG4
PCDHB15,86329,PCDHB15
MMP8,53412,MMP8
LDHD,54871,LDHD
OR4K5,36258,OR4K5
TCTE3,23176,TCTE3
STIP1,62639,STIP1
MAP3K14,104042,MAP3K14
PLP2,16691,PLP2
RFTN1,63146,RFTN1
DEPDC1,92960,DEPDC1
FAM181B,42657,FAM181B
TRIM32,71989,TRIM32
VSTM4,36146,VSTM4
CSNK2B,24942,CSNK2B
FCGR3B,26216,FCGR3B
GPR107,66990,GPR107
FBXO10,105195,FBXO10
ZNF608,162208,ZNF608
TRPC5OS,12326,TRPC5OS
PRSS27,31940,PRSS27
CIP2A,102185,CIP2A
REG3A,19395,REG3A
OLFML2A,73054,OLFML2A
POLR2H,17143,POLR2H
HMGN3,10666,HMGN3
RAPGEF2,167417,RAPGEF2
SIRT4,35188,SIRT4
ABCA5,186508,ABCA5
SEPT12,40748,SEPT12
SLC6A4,70325,SLC6A4
PRMT2,49042,PRMT2
A3GALT2,38754,A3GALT2
CFAP77,36499,CFAP77
TTC19,42457,TTC19
ACSF3,64130,ACSF3
USP17L11,59630,USP17L11
SVOPL,53991,SVOPL
SNTB1,58061,SNTB1
LIPT1,42479,LIPT1
PLEKHG2,147969,PLEKHG2
PMPCB,54366,PMPCB
CSNK1A1,38915,CSNK1A1
PHF12,109698,PHF12
GRM2,95568,GRM2
EHD3,60887,EHD3
CLEC16A,117715,CLEC16A
AKR1C2,36735,AKR1C2
GALNT3,72610,GALNT3
PTTG1,22024,PTTG1
AKTIP,33128,AKTIP
NPBWR2,36861,NPBWR2
SLCO5A1,91864,SLCO5A1
SCOC,18045,SCOC
IZUMO1R,28672,IZUMO1R
SGO1,64190,SGO1
FSTL3,27663,FSTL3
KMT5B,99188,KMT5B
PKD2L1,91982,PKD2L1
NUSAP1,49452,NUSAP1
SRP14,14570,SRP14
AFP,68678,AFP
ARID5B,132375,ARID5B
SPICE1,96264,SPICE1
DEFB4A,7038,DEFB4A
CUL4A,87680,CUL4A
MED22,22221,MED22
PRAMEF26,44302,PRAMEF26
CBY1,14470,CBY1
BLZF1,44910,BLZF1
AMBP,38999,AMBP
MAG,69069,MAG
SRMS,54507,SRMS
KYAT1,47875,KYAT1
FAM20A,61417,FAM20A
GPBP1,53339,GPBP1
RAB39A,25007,RAB39A
ALKBH5,44256,ALKBH5
ETV2,36633,ETV2
ZNF341,92728,ZNF341
FLYWCH1,80108,FLYWCH1
ZNF75A,34694,ZNF75A
LZTS1,66613,LZTS1
RPE,24928,RPE
FBXO16,34588,FBXO16
PUDP,25249,PUDP
MROH1,181249,MROH1
SYCP3,27729,SYCP3
CASS4,87144,CASS4
ITPRIPL1,63395,ITPRIPL1
RIMBP2,116026,RIMBP2
PCDHB2,87254,PCDHB2
IL6R,51548,IL6R
ARHGAP45,124614,ARHGAP45
RWDD2B,36332,RWDD2B
PNO1,27924,PNO1
CACNG6,28129,CACNG6
PIGC,33583,PIGC
RBMY1A1,55784,RBMY1A1
RASGRF1,145234,RASGRF1
KLRG1,21831,KLRG1
NDRG4,38459,NDRG4
RNF128,46521,RNF128
CSF3,22293,CSF3
GPR27,39818,GPR27
ATAD2,158554,ATAD2
ASCL3,20797,ASCL3
GPR4,40982,GPR4
CDK9,42778,CDK9
CLIC5,46503,CLIC5
EXTL1,74697,EXTL1
NPC2,16570,NPC2
RFFL,40514,RFFL
NOL4L,47215,NOL4L
CAPN12,81037,CAPN12
ATPIF1,12249,ATPIF1
PRPS1,34834,PRPS1
LRRC27,60089,LRRC27
MRPS35,36844,MRPS35
AMTN,21588,AMTN
XYLT1,107569,XYLT1
APLP1,72176,APLP1
YWHAG,28303,YWHAG
ARTN,22878,ARTN
RBM22,46896,RBM22
RRN3,74107,RRN3
ANKRD20A3,94108,ANKRD20A3
PRPH2,39186,PRPH2
CCDC182,17536,CCDC182
CYTIP,40010,CYTIP
GRIK1,103981,GRIK1
LPIN1,98664,LPIN1
CWC27,53847,CWC27
MAP1LC3B2,14628,MAP1LC3B2
SMIM8,11059,SMIM8
RBL1,120847,RBL1
PHIP,206689,PHIP
EYS,350796,EYS
COA5,8376,COA5
CAPN5,73169,CAPN5
PRAMEF4,55439,PRAMEF4
TECTA,239527,TECTA
COMT,30037,COMT
CCNQ,28369,CCNQ
FOPNL,19778,FOPNL
BARHL2,41981,BARHL2
RPS17,15550,RPS17
MORC1,112881,MORC1
C9orf57,18115,C9orf57
RPAIN,24770,RPAIN
SETD2,287597,SETD2
RIBC1,44015,RIBC1
MC3R,36043,MC3R
ACD,48967,ACD
CHAMP1,89099,CHAMP1
ANKRD6,79971,ANKRD6
C6orf136,35794,C6orf136
DUSP18,21066,DUSP18
NEK3,57705,NEK3
SAAL1,53558,SAAL1
S1PR1,42811,S1PR1
ZNF443,77516,ZNF443
TMEM43,44876,TMEM43
B3GNT6,42748,B3GNT6
LCN10,20759,LCN10
DNAH10OS,17537,DNAH10OS
TXNIP,43661,TXNIP
DEFB110,8001,DEFB110
ASNA1,38793,ASNA1
BPY2,12063,BPY2
BTBD18,77931,BTBD18
VTI1A,25218,VTI1A
ZWILCH,67214,ZWILCH
PITRM1,117413,PITRM1
CT45A9,21363,CT45A9
SPINK14,11057,SPINK14
FBXO22,44508,FBXO22
PHACTR2,69700,PHACTR2
TRNP1,23482,TRNP1
IGHV3-23,12582,IGHV3-23
NRAS,21229,NRAS
PCDHGA2,101484,PCDHGA2
APMAP,46480,APMAP
BPHL,32543,BPHL
RGS11,52946,RGS11
BTBD16,58481,BTBD16
CXCL1,11301,CXCL1
OR4C5,36862,OR4C5
ASB12,33943,ASB12
FLYWCH2,14564,FLYWCH2
HEXB,63111,HEXB
ZFP90,73031,ZFP90
ARRDC5,38383,ARRDC5
ACR,45847,ACR
OAS2,82431,OAS2
PRICKLE1,94300,PRICKLE1
TSFM,35391,TSFM
RBMXL3,114938,RBMXL3
OR2Y1,34731,OR2Y1
EIF1,12732,EIF1
HIGD1B,11058,HIGD1B
GNG14,7528,GNG14
GRB2,25206,GRB2
OR4D11,34969,OR4D11
DNAJC4,27593,DNAJC4
ZDHHC22,29100,ZDHHC22
C8orf74,33735,C8orf74
TRBV10-2,13045,TRBV10-2
TTC6,59379,TTC6
AKAP8L,71640,AKAP8L
DDX18,75407,DDX18
SPRYD3,49694,SPRYD3
SF3B5,10135,SF3B5
ZNF419,58564,ZNF419
FGF21,22300,FGF21
CBLN3,21521,CBLN3
SPRYD4,23129,SPRYD4
TRAV23DV6,13545,TRAV23DV6
PSMC2,48634,PSMC2
ANKRD12,235652,ANKRD12
ZNF771,35702,ZNF771
PSORS1C2,15101,PSORS1C2
SIX4,82933,SIX4
STRN3,87209,STRN3
TNNI3,24008,TNNI3
OR5P3,34296,OR5P3
YIF1B,34435,YIF1B
RPS27L,9477,RPS27L
OR4X2,34289,OR4X2
EBPL,23204,EBPL
TNFRSF12A,13911,TNFRSF12A
ZNRF2,24115,ZNRF2
ZSCAN18,54804,ZSCAN18
TRIM23,64067,TRIM23
ZBED4,130322,ZBED4
SIX2,32286,SIX2
TULP3,49642,TULP3
RTRAF,28068,RTRAF
RTCB,55210,RTCB
S100A7,11471,S100A7
NDUFAF1,37764,NDUFAF1
TRIM69,57419,TRIM69
KRTAP10-11,30243,KRTAP10-11
ACADL,47656,ACADL
FAM69A,49024,FAM69A
CCDC114,75046,CCDC114
PPP1R2,23015,PPP1R2
CYP39A1,54116,CYP39A1
RAB3B,24758,RAB3B
TMEM82,37222,TMEM82
CLEC20A,44255,CLEC20A
FGFBP1,26264,FGFBP1
HBS1L,75473,HBS1L
LINGO2,68066,LINGO2
EEFSEC,65305,EEFSEC
MPP6,61117,MPP6
HNRNPD,38434,HNRNPD
NR4A3,68230,NR4A3
TMEM151A,51278,TMEM151A
WDR93,77378,WDR93
PVR,45303,PVR
FBXO31,60664,FBXO31
ASF1A,22969,ASF1A
ZNF726,85539,ZNF726
FBXL7,54575,FBXL7
MYL6,16930,MYL6
MPP3,66152,MPP3
RBM6,128644,RBM6
PHACTR4,78211,PHACTR4
DGAT2,43831,DGAT2
GOLGB1,376019,GOLGB1
SIGLEC5,60715,SIGLEC5
MYBPC1,128294,MYBPC1
DOPEY1,277355,DOPEY1
PCED1B,49727,PCED1B
IRX6,48240,IRX6
PCDHB13,87552,PCDHB13
TIMM29,29233,TIMM29
TEX13D,78886,TEX13D
CHGA,50688,CHGA
APCS,25387,APCS
SLC6A1,67074,SLC6A1
CPT2,73777,CPT2
TOP1,90726,TOP1
USP46,42442,USP46
FPR3,39965,FPR3
IL6,23718,IL6
NEFH,112479,NEFH
DNAJC18,41551,DNAJC18
FGD2,74892,FGD2
TFDP2,49236,TFDP2
NDUFB5,21750,NDUFB5
PPP2R5A,56194,PPP2R5A
IMPA1,30189,IMPA1
MAN2B2,113979,MAN2B2
ARHGEF37,76278,ARHGEF37
CITED4,18569,CITED4
TES,47996,TES
MANBAL,9467,MANBAL
HYI,30406,HYI
ABCD1,82937,ABCD1
SUSD4,53778,SUSD4
PNPLA7,145705,PNPLA7
RETREG1,54681,RETREG1
OR2A14,34993,OR2A14
NAXD,36576,NAXD
SPRED3,42670,SPRED3
THOC1,75666,THOC1
LEP,18641,LEP
TIMM10B,11586,TIMM10B
RAP1B,20825,RAP1B
RNF144B,33697,RNF144B
ZNF185,73525,ZNF185
COX7B,9161,COX7B
OR2G6,34890,OR2G6
CDK5,33304,CDK5
NUCB1,53879,NUCB1
SMLR1,12312,SMLR1
PSMB2,22836,PSMB2
FAM47B,73945,FAM47B
RASEF,82879,RASEF
SEMA3A,88889,SEMA3A
NEUROG3,23077,NEUROG3
VAMP7,24935,VAMP7
ITLN1,34962,ITLN1
GALNT18,69561,GALNT18
KDM6A,154177,KDM6A
RLF,217953,RLF
SEC14L5,78942,SEC14L5
CCDC157,83941,CCDC157
NINJ2,15680,NINJ2
SPANXN3,15595,SPANXN3
FAM236C,8682,FAM236C
TTC23,50009,TTC23
PANX3,44683,PANX3
TMEM185B,40599,TMEM185B
TM2D2,22871,TM2D2
MT-CYB,42718,MT-CYB
ZNF707,43088,ZNF707
VRK1,45476,VRK1
PTCHD3,86872,PTCHD3
SNIP1,45778,SNIP1
PIM3,35891,PIM3
FKRP,54568,FKRP
ESCO1,94983,ESCO1
PHF2,120775,PHF2
STEAP3,54601,STEAP3
CLDN22,24509,CLDN22
UGT2B15,61036,UGT2B15
GOLIM4,81880,GOLIM4
MIER1,57983,MIER1
DDX54,98595,DDX54
OR2F1,35350,OR2F1
ZSCAN29,96719,ZSCAN29
RAB11FIP4,71928,RAB11FIP4
TP53BP2,125616,TP53BP2
NIFK,34222,NIFK
SNX29,91254,SNX29
RPS28,7841,RPS28
AGPAT3,43381,AGPAT3
TMEFF2,41428,TMEFF2
CNTN2,113393,CNTN2
CPXM2,85870,CPXM2
FAP,87713,FAP
AATK,144569,AATK
MYL12B,19779,MYL12B
NPIPB6,49162,NPIPB6
TKTL1,65333,TKTL1
INO80C,20643,INO80C
CLIP1,162246,CLIP1
KRTAP12-4,11433,KRTAP12-4
CSTF2T,64437,CSTF2T
C4orf3,7604,C4orf3
KCNT2,130501,KCNT2
DAGLA,114952,DAGLA
KRBA2,56205,KRBA2
NLRP9,113312,NLRP9
TAF9,28974,TAF9
PRKN,51641,PRKN
TSSK1B,41618,TSSK1B
TTC13,96813,TTC13
SCMH1,73354,SCMH1
BATF,14120,BATF
CA14,37668,CA14
UBP1,60491,UBP1
UNC13D,123282,UNC13D
TNFAIP8L3,32659,TNFAIP8L3
ACSM1,65273,ACSM1
UCHL3,26183,UCHL3
TRMU,47745,TRMU
PRR34,14718,PRR34
PLEKHA1,45553,PLEKHA1
ZNF549,74439,ZNF549
ERV3-1,67942,ERV3-1
EPPK1,555658,EPPK1
MFAP2,20826,MFAP2
TSPY10,35101,TSPY10
PTGES3L,19074,PTGES3L
KLHDC8B,37676,KLHDC8B
BBC3,26498,BBC3
PEX6,104061,PEX6
TTC30B,76099,TTC30B
TMEM159,17522,TMEM159
HSH2D,39002,HSH2D
PCNP,18925,PCNP
C22orf15,16487,C22orf15
NXPE4,62263,NXPE4
PABPC4,70783,PABPC4
NTRK1,87497,NTRK1
ZC2HC1A,35092,ZC2HC1A
PLXND1,212007,PLXND1
COL8A2,67244,COL8A2
CAMKV,54354,CAMKV
FLII,144751,FLII
OR1K1,34268,OR1K1
CCDC17,67721,CCDC17
PRR20E,23262,PRR20E
UNC5A,92932,UNC5A
IQSEC1,108314,IQSEC1
PRIM2,58806,PRIM2
ARHGAP4,105026,ARHGAP4
CDHR2,141543,CDHR2
PAH,51862,PAH
CD300LF,32335,CD300LF
PPOX,50765,PPOX
RRS1,41193,RRS1
TLE4,83755,TLE4
TCEAL9,12749,TCEAL9
ASB1,37014,ASB1
GGNBP2,79086,GGNBP2
BPIFB4,65055,BPIFB4
CYP2C18,55711,CYP2C18
MFF,38465,MFF
NEURL4,166907,NEURL4
HAX1,31621,HAX1
SMIM28,16551,SMIM28
OR2T7,34287,OR2T7
THOP1,78840,THOP1
PPP6R3,97669,PPP6R3
KISS1R,42586,KISS1R
COX4I2,20010,COX4I2
HDAC5,121978,HDAC5
PIBF1,89805,PIBF1
PRX,154905,PRX
FANCD2,164128,FANCD2
CDCP1,92932,CDCP1
FAM171A1,97854,FAM171A1
ROBO2,151200,ROBO2
CATSPER4,54092,CATSPER4
PI16,49471,PI16
TBC1D9,143229,TBC1D9
CEP70,69752,CEP70
DNAH3,470771,DNAH3
NCBP1,91839,NCBP1
TMEM232,76453,TMEM232
AGAP2,124674,AGAP2
C10orf95,26270,C10orf95
IKZF2,59574,IKZF2
PERM1,81351,PERM1
LCT,218587,LCT
WWP1,105202,WWP1
RASSF7,39945,RASSF7
GNB4,37567,GNB4
ZNF736,49868,ZNF736
KRT26,51911,KRT26
SULT6B1,34919,SULT6B1
GNPNAT1,20749,GNPNAT1
PARK7,19891,PARK7
TAF4,110114,TAF4
ROBO1,180930,ROBO1
ACTR1A,42614,ACTR1A
ADARB1,80763,ADARB1
LMAN2,40229,LMAN2
WDR74,42441,WDR74
TRIM40,29336,TRIM40
OR8A1,36388,OR8A1
DDX17,80272,DDX17
ACE2,92463,ACE2
SMIM15,8625,SMIM15
CMC1,12490,CMC1
EPHX4,42324,EPHX4
TMED9,27277,TMED9
NANOS2,15132,NANOS2
KCTD12,35701,KCTD12
PTGER2,39761,PTGER2
ZNF568,74369,ZNF568
BIRC5,16389,BIRC5
LTF,78182,LTF
COX4I1,19577,COX4I1
GOLGA5,83024,GOLGA5
METAP1,43215,METAP1
LAMP2,44961,LAMP2
NINJ1,16345,NINJ1
CST2,16445,CST2
RECK,106457,RECK
RSPH9,31292,RSPH9
PRSS37,26445,PRSS37
PPARA,52225,PPARA
PRKDC,469089,PRKDC
RPAP3,75719,RPAP3
MINDY1,51778,MINDY1
C19orf84,19614,C19orf84
ZNF764,44943,ZNF764
G2E3,80504,G2E3
