Parent	Child	EdgeType
regulation of postsynaptic neurotransmitter receptor endocytosis	IQSEC1	Gene-Term
modulation of chemical synaptic transmission	IQSEC2	Gene-Term
regulation of neurotransmitter receptor localization to postsynaptic specialization membrane	IQSEC2	Gene-Term
postsynapse organization	IQSEC3	Gene-Term
postsynapse organization	ITGA3	Gene-Term
synapse adhesion between pre- and post-synapse	ITGA3	Gene-Term
regulation of postsynaptic neurotransmitter receptor diffusion trapping	ITGB1	Gene-Term
maintenance of postsynaptic specialization structure	ITGB1	Gene-Term
modulation of chemical synaptic transmission	ITGB1	Gene-Term
regulation of synapse disassembly	ITGB1	Gene-Term
regulation of postsynaptic neurotransmitter receptor diffusion trapping	ITGB3	Gene-Term
maintenance of postsynaptic specialization structure	ITGB3	Gene-Term
regulation of postsynaptic neurotransmitter receptor endocytosis	ITGB3	Gene-Term
modification of postsynaptic actin cytoskeleton	ITPKA	Gene-Term
inositol 1,4,5-trisphosphate receptor activity involved in regulation of postsynaptic cytosolic calcium levels	ITPR1	Gene-Term
regulation of modification of postsynaptic actin cytoskeleton	ITSN1	Gene-Term
regulation of postsynapse organization	ITSN1	Gene-Term
synaptic vesicle endocytosis	ITSN1	Gene-Term
modulation of chemical synaptic transmission	JAK2	Gene-Term
regulation of postsynapse to nucleus signaling pathway	JAK2	Gene-Term
regulation of modification of postsynaptic actin cytoskeleton	KALRN	Gene-Term
regulation of neurotransmitter receptor localization to postsynaptic specialization membrane	KALRN	Gene-Term
voltage-gated ion channel activity involved in regulation of presynaptic membrane potential	KCNA1	Gene-Term
voltage-gated ion channel activity involved in regulation of postsynaptic membrane potential	KCNA1	Gene-Term
voltage-gated ion channel activity involved in regulation of presynaptic membrane potential	KCNA2	Gene-Term
voltage-gated ion channel activity involved in regulation of postsynaptic membrane potential	KCNA2	Gene-Term
voltage-gated ion channel activity involved in regulation of presynaptic membrane potential	KCNA4	Gene-Term
voltage-gated ion channel activity involved in regulation of presynaptic membrane potential	KCNC1	Gene-Term
voltage-gated ion channel activity involved in regulation of presynaptic membrane potential	KCNC2	Gene-Term
voltage-gated ion channel activity involved in regulation of presynaptic membrane potential	KCNC4	Gene-Term
voltage-gated ion channel activity involved in regulation of postsynaptic membrane potential	KCNC4	Gene-Term
voltage-gated ion channel activity involved in regulation of postsynaptic membrane potential	KCND2	Gene-Term
voltage-gated ion channel activity involved in regulation of presynaptic membrane potential	KCNH1	Gene-Term
regulation of synaptic vesicle exocytosis	KCNH1	Gene-Term
regulation of presynaptic cytosolic calcium levels	KCNH1	Gene-Term
voltage-gated ion channel activity involved in regulation of presynaptic membrane potential	KCNJ11	Gene-Term
voltage-gated ion channel activity involved in regulation of presynaptic membrane potential	KCNJ3	Gene-Term
voltage-gated ion channel activity involved in regulation of presynaptic membrane potential	KCNJ6	Gene-Term
voltage-gated ion channel activity involved in regulation of presynaptic membrane potential	KCNJ8	Gene-Term
regulation of presynaptic membrane potential	KCNJ9	Gene-Term
ligand-gated ion channel activity involved in regulation of presynaptic membrane potential	KCNMA1	Gene-Term
voltage-gated ion channel activity involved in regulation of presynaptic membrane potential	KCNMB4	Gene-Term
modulation of chemical synaptic transmission	KCNN2	Gene-Term
voltage-gated ion channel activity involved in regulation of presynaptic membrane potential	KCNQ5	Gene-Term
synaptic vesicle budding from endosome	KIAA1107	Gene-Term
synaptic vesicle endocytosis	KIAA1107	Gene-Term
regulation of synaptic vesicle endocytosis	KIAA1109	Gene-Term
anterograde dendritic transport of neurotransmitter receptor complex	KIF17	Gene-Term
anterograde dendritic transport of neurotransmitter receptor complex	KIF5A	Gene-Term
regulation of protein catabolic process at postsynapse	KLHL17	Gene-Term
postsynapse to nucleus signaling pathway	KPNA1	Gene-Term
postsynapse to nucleus signaling pathway	KPNA2	Gene-Term
modulation of chemical synaptic transmission	L1CAM	Gene-Term
postsynapse organization	LAMA5	Gene-Term
structural constituent of synapse-associated extracellular matrix	LAMB2	Gene-Term
neurotransmitter receptor localization to postsynaptic specialization membrane	LGI1	Gene-Term
neurotransmitter receptor localization to postsynaptic specialization membrane	LHFPL4	Gene-Term
regulation of synaptic vesicle cycle	LPAR1	Gene-Term
regulation of postsynaptic neurotransmitter receptor endocytosis	LPAR1	Gene-Term
regulation of postsynaptic density assembly	LRFN1	Gene-Term
regulation of postsynapse organization	LRFN2	Gene-Term
modulation of chemical synaptic transmission	LRFN2	Gene-Term
regulation of presynapse assembly	LRFN3	Gene-Term
regulation of synaptic membrane adhesion	LRFN3	Gene-Term
synapse adhesion between pre- and post-synapse	LRFN3	Gene-Term
regulation of presynapse assembly	LRFN4	Gene-Term
regulation of postsynaptic density assembly	LRFN4	Gene-Term
synapse adhesion between pre- and post-synapse	LRFN4	Gene-Term
regulation of presynapse assembly	LRFN5	Gene-Term
synapse adhesion between pre- and post-synapse	LRFN5	Gene-Term
modulation of chemical synaptic transmission	LRRC4	Gene-Term
synapse adhesion between pre- and post-synapse	LRRC4	Gene-Term
regulation of presynapse assembly	LRRC4B	Gene-Term
regulation of postsynaptic density assembly	LRRC4B	Gene-Term
synapse adhesion between pre- and post-synapse	LRRC4B	Gene-Term
modulation of chemical synaptic transmission	LRRC4C	Gene-Term
synapse adhesion between pre- and post-synapse	LRRC4C	Gene-Term
regulation of synaptic vesicle endocytosis	LRRK2	Gene-Term
regulation of presynapse assembly	LRRTM1	Gene-Term
regulation of postsynaptic density assembly	LRRTM1	Gene-Term
regulation of postsynaptic density assembly	LRRTM2	Gene-Term
regulation of presynapse assembly	LRRTM3	Gene-Term
regulation of synapse assembly	LRRTM4	Gene-Term
regulation of postsynapse assembly	LZTS1	Gene-Term
regulation of postsynapse assembly	LZTS3	Gene-Term
anterograde synaptic vesicle transport	MADD	Gene-Term
regulation of synaptic membrane adhesion	MAGI2	Gene-Term
structural constituent of postsynaptic density	MAGI2	Gene-Term
structural constituent of postsynaptic specialization	MAGI2	Gene-Term
regulation of neurotransmitter receptor localization to postsynaptic specialization membrane	MAGI2	Gene-Term
regulation of neurotransmitter receptor localization to postsynaptic specialization membrane	MAP2K1	Gene-Term
neurotransmitter receptor transport to postsynaptic membrane	MAPK10	Gene-Term
regulation of synaptic membrane adhesion	MAPK14	Gene-Term
modulation of chemical synaptic transmission	MAPK3	Gene-Term
regulation of modification of postsynaptic actin cytoskeleton	MARCKS	Gene-Term
regulation of presynaptic cytosolic calcium levels	MARCKSL1	Gene-Term
regulation of postsynapse organization	MARK2	Gene-Term
regulation of presynapse assembly	MDGA1	Gene-Term
regulation of synaptic membrane adhesion	MDGA1	Gene-Term
regulation of presynapse assembly	MDGA2	Gene-Term
regulation of synaptic membrane adhesion	MDGA2	Gene-Term
regulation of synapse organization	MECP2	Gene-Term
structural constituent of postsynaptic density	MPP2	Gene-Term
regulation of translation at synapse, modulating synaptic transmission	MTOR	Gene-Term
regulation of modification of postsynaptic actin cytoskeleton	MYH10	Gene-Term
postsynaptic actin cytoskeleton organization	MYH10	Gene-Term
establishment of endoplasmic reticulum localization to postsynapse	MYO5A	Gene-Term
transport	MYO5A	Gene-Term
regulation of postsynaptic cytosolic calcium levels	MYO5A	Gene-Term
regulation of modification of postsynaptic structure	MYO5B	Gene-Term
neurotransmitter receptor transport, endosome to plasma membrane	MYO5B	Gene-Term
synaptic vesicle recycling via endosome	MYO5B	Gene-Term
modulation of chemical synaptic transmission	MYO5B	Gene-Term
presynaptic modulation of chemical synaptic transmission	MYO6	Gene-Term
postsynaptic neurotransmitter receptor endocytosis	MYO6	Gene-Term
postsynaptic specialization organization	MYO9A	Gene-Term
regulation of synaptic vesicle priming	NAPA	Gene-Term
synaptic vesicle priming	NAPA	Gene-Term
regulation of synaptic vesicle priming	NAPB	Gene-Term
synapse organization	NBEA	Gene-Term
regulation of neurotransmitter receptor localization to postsynaptic specialization membrane	NBEA	Gene-Term
modulation of chemical synaptic transmission	NCAM1	Gene-Term
synapse adhesion between pre- and post-synapse	NCAM1	Gene-Term
modulation of chemical synaptic transmission	NCAN	Gene-Term
regulation of synapse organization	NCKAP1	Gene-Term
regulation of presynaptic cytosolic calcium levels	NCS1	Gene-Term
postsynapse organization	NDRG1	Gene-Term
postsynapse organization	NDRG2	Gene-Term
regulation of synapse organization	NECTIN1	Gene-Term
regulation of protein catabolic process at postsynapse, modulating synaptic transmission	NEDD4	Gene-Term
regulation of protein catabolic process at postsynapse	NEDD4	Gene-Term
regulation of postsynaptic neurotransmitter receptor endocytosis	NEDD4	Gene-Term
structural constituent of postsynaptic intermediate filament cytoskeleton	NEFH	Gene-Term
postsynaptic modulation of chemical synaptic transmission	NEFH	Gene-Term
regulation of synapse maturation	NEFL	Gene-Term
structural constituent of postsynaptic intermediate filament cytoskeleton	NEFL	Gene-Term
postsynaptic modulation of chemical synaptic transmission	NEFL	Gene-Term
regulation of postsynaptic neurotransmitter receptor activity	NETO1	Gene-Term
neurotransmitter receptor localization to postsynaptic specialization membrane	NETO1	Gene-Term
regulation of postsynaptic neurotransmitter receptor activity	NETO2	Gene-Term
neurotransmitter receptor localization to postsynaptic specialization membrane	NETO2	Gene-Term
regulation of neurotransmitter receptor localization to postsynaptic specialization membrane	NETO2	Gene-Term
regulation of modification of postsynaptic structure	NF1	Gene-Term
regulation of postsynapse organization	NF1	Gene-Term
postsynaptic signaling pathway	NF1	Gene-Term
regulation of protein translation at postsynapse	NGDN	Gene-Term
regulation of synapse disassembly	NGEF	Gene-Term
postsynaptic specialization assembly	NLGN1	Gene-Term
regulation of presynapse organization	NLGN1	Gene-Term
synapse adhesion between pre- and post-synapse	NLGN1	Gene-Term
regulation of presynapse assembly	NLGN2	Gene-Term
postsynaptic specialization assembly	NLGN2	Gene-Term
postsynaptic specialization assembly	NLGN3	Gene-Term
synaptic signaling by nitric oxide	NOS1	Gene-Term
regulation of postsynaptic membrane potential	NOS1	Gene-Term
postsynaptic actin cytoskeleton organization	NOS1AP	Gene-Term
trans-synaptic signaling by trans-synaptic complex, modulating synaptic transmission	NPTN	Gene-Term
postsynaptic density assembly	NPTX1	Gene-Term
regulation of postsynaptic neurotransmitter receptor activity	NPTX1	Gene-Term
neurotransmitter receptor localization to postsynaptic specialization membrane	NPTX1	Gene-Term
regulation of postsynaptic neurotransmitter receptor activity	NPTX2	Gene-Term
neurotransmitter receptor localization to postsynaptic specialization membrane	NPTX2	Gene-Term
regulation of postsynaptic specialization assembly	NPTXR	Gene-Term
regulation of postsynaptic neurotransmitter receptor activity	NPTXR	Gene-Term
neurotransmitter receptor localization to postsynaptic specialization membrane	NPTXR	Gene-Term
regulation of synaptic vesicle exocytosis	NPY	Gene-Term
regulation of presynaptic cytosolic calcium levels	NPY	Gene-Term
regulation of synaptic vesicle exocytosis	NPY1R	Gene-Term
regulation of presynaptic cytosolic calcium levels	NPY1R	Gene-Term
presynaptic modulation of chemical synaptic transmission	NR3C2	Gene-Term
regulation of postsynaptic membrane potential	NR3C2	Gene-Term
regulation of postsynapse organization	NRCAM	Gene-Term
regulation of presynapse assembly	NRG1	Gene-Term
postsynapse to nucleus signaling pathway	NRG1	Gene-Term
synapse adhesion between pre- and post-synapse	NRG1	Gene-Term
regulation of postsynaptic neurotransmitter receptor endocytosis	NRG1	Gene-Term
regulation of synapse maturation	NRG2	Gene-Term
regulation of synapse assembly	NRG2	Gene-Term
modulation of chemical synaptic transmission	NRG3	Gene-Term
postsynaptic modulation of chemical synaptic transmission	NRGN	Gene-Term
transport	NRN1	Gene-Term
presynaptic modulation of chemical synaptic transmission	NRN1	Gene-Term
postsynapse organization	NRP1	Gene-Term
regulation of postsynapse organization	NRP2	Gene-Term
regulation of presynapse assembly	NRXN1	Gene-Term
presynapse assembly	NRXN1	Gene-Term
synapse adhesion between pre- and post-synapse	NRXN1	Gene-Term
regulation of synaptic vesicle cycle	NRXN1	Gene-Term
regulation of trans-synaptic signaling by endocannabinoid, modulating synaptic transmission	NRXN1	Gene-Term
regulation of postsynaptic density assembly	NRXN1	Gene-Term
regulation of postsynaptic specialization assembly	NRXN1	Gene-Term
postsynaptic density assembly	NRXN3	Gene-Term
trans-synaptic signaling	NRXN3	Gene-Term
neurotransmitter receptor localization to postsynaptic specialization membrane	NRXN3	Gene-Term
regulation of postsynaptic membrane neurotransmitter receptor levels	NRXN3	Gene-Term
presynaptic modulation of chemical synaptic transmission	NRXN3	Gene-Term
synaptic vesicle cycle	NSF	Gene-Term
neurotransmitter receptor transport, endosome to postsynaptic membrane	NSG1	Gene-Term
postsynapse to nucleus signaling pathway	NSMF	Gene-Term
regulation of synapse assembly	NTN1	Gene-Term
modulation of chemical synaptic transmission	NTNG1	Gene-Term
synapse adhesion between pre- and post-synapse	NTNG1	Gene-Term
regulation of presynapse assembly	NTNG2	Gene-Term
postsynaptic specialization assembly	NTNG2	Gene-Term
modulation of chemical synaptic transmission	NTNG2	Gene-Term
synapse adhesion between pre- and post-synapse	NTNG2	Gene-Term
trans-synaptic signaling by BDNF, modulating synaptic transmission	NTRK2	Gene-Term
regulation of presynapse assembly	NTRK3	Gene-Term
postsynaptic density assembly	NTRK3	Gene-Term
regulation of postsynapse assembly	NUMB	Gene-Term
regulation of postsynaptic neurotransmitter receptor endocytosis	NUMB	Gene-Term
regulation of postsynapse assembly	NUMBL	Gene-Term
regulation of synaptic vesicle endocytosis	OPHN1	Gene-Term
maintenance of postsynaptic specialization structure	OPHN1	Gene-Term
regulation of postsynaptic neurotransmitter receptor endocytosis	OPHN1	Gene-Term
regulation of synaptic vesicle exocytosis	P2RX1	Gene-Term
regulation of presynaptic cytosolic calcium levels	P2RX1	Gene-Term
regulation of synaptic vesicle exocytosis	P2RX2	Gene-Term
regulation of presynaptic cytosolic calcium levels	P2RX2	Gene-Term
modulation of chemical synaptic transmission	P2RX3	Gene-Term
regulation of presynaptic dense core vesicle exocytosis	P2RX7	Gene-Term
regulation of synaptic vesicle exocytosis	P2RY1	Gene-Term
regulation of presynaptic cytosolic calcium levels	P2RY1	Gene-Term
regulation of synaptic vesicle exocytosis	P2RY2	Gene-Term
regulation of presynaptic cytosolic calcium levels	P2RY2	Gene-Term
regulation of synaptic vesicle exocytosis	P2RY4	Gene-Term
regulation of presynaptic cytosolic calcium levels	P2RY4	Gene-Term
synaptic vesicle endocytosis	PACSIN1	Gene-Term
regulation of postsynaptic neurotransmitter receptor endocytosis	PACSIN1	Gene-Term
modulation of chemical synaptic transmission	PACSIN2	Gene-Term
regulation of postsynapse organization	PAFAH1B1	Gene-Term
modulation of chemical synaptic transmission	PAFAH1B1	Gene-Term
regulation of trans-synaptic signaling by endocannabinoid, modulating synaptic transmission	PAK1	Gene-Term
regulation of synapse maturation	PAK1	Gene-Term
regulation of synapse maturation	PAK2	Gene-Term
regulation of synapse maturation	PAK3	Gene-Term
regulation of neurotransmitter receptor localization to postsynaptic specialization membrane	PAK1	Gene-Term
regulation of neurotransmitter receptor localization to postsynaptic specialization membrane	PAK2	Gene-Term
regulation of neurotransmitter receptor localization to postsynaptic specialization membrane	PAK3	Gene-Term
regulation of postsynapse organization	PAK3	Gene-Term
synapse adhesion between pre- and post-synapse	PCDH17	Gene-Term
regulation of synaptic membrane adhesion	PCDH8	Gene-Term
modulation of chemical synaptic transmission	PCDH8	Gene-Term
synaptic vesicle clustering	PCLO	Gene-Term
structural constituent of active zone	PCLO	Gene-Term
modulation of chemical synaptic transmission	PDE4A	Gene-Term
synaptic signaling via neuropeptide	PENK	Gene-Term
modification of postsynaptic actin cytoskeleton	PFN1	Gene-Term
synapse maturation	PFN1	Gene-Term
modulation of chemical synaptic transmission	PFN1	Gene-Term
modification of postsynaptic actin cytoskeleton	PFN2	Gene-Term
presynaptic modulation of chemical synaptic transmission	PFN2	Gene-Term
modulation of chemical synaptic transmission	PFN2	Gene-Term
synaptic vesicle endocytosis	PICALM	Gene-Term
regulation of postsynaptic neurotransmitter receptor endocytosis	PICK1	Gene-Term
regulation of protein catabolic process at postsynapse	PIN1	Gene-Term
regulation of synaptic vesicle endocytosis	PIP5K1C	Gene-Term
regulation of postsynaptic neurotransmitter receptor endocytosis	PIP5K1C	Gene-Term
trans-synaptic signaling by BDNF, modulating synaptic transmission	PLAT	Gene-Term
regulation of retrograde trans-synaptic signaling by endocanabinoid	PLCB1	Gene-Term
postsynaptic modulation of chemical synaptic transmission	PLCB1	Gene-Term
modulation of chemical synaptic transmission	PLCB4	Gene-Term
modulation of chemical synaptic transmission	PLCG1	Gene-Term
regulation of synaptic vesicle cycle	PLD1	Gene-Term
regulation of protein catabolic process at presynapse	PLEKHG5	Gene-Term
trans-synaptic signaling by BDNF, modulating synaptic transmission	PLG	Gene-Term
regulation of synaptic vesicle cycle	PLS3	Gene-Term
structural constituent of presynaptic actin cytoskeleton	PLS3	Gene-Term
maintenance of synapse structure	PLXNA4	Gene-Term
regulation of synapse disassembly	PLXNC1	Gene-Term
synaptic target recognition	PLXND1	Gene-Term
regulation of postsynaptic membrane neurotransmitter receptor levels	PORCN	Gene-Term
presynapse assembly	PPFIA1	Gene-Term
presynapse assembly	PPFIA2	Gene-Term
presynapse assembly	PPFIA3	Gene-Term
presynapse assembly	PPFIA4	Gene-Term
structural constituent of presynapse	PPFIA2	Gene-Term
regulation of synaptic vesicle exocytosis	PPFIA2	Gene-Term
synaptic vesicle exocytosis	PPFIA3	Gene-Term
synaptic vesicle docking	PPFIA3	Gene-Term
regulation of synapse assembly	PPFIBP2	Gene-Term
postsynaptic actin cytoskeleton organization	PPP1R9A	Gene-Term
modulation of chemical synaptic transmission	PPP1R9A	Gene-Term
postsynaptic modulation of chemical synaptic transmission	PPP3CA	Gene-Term
regulation of synaptic vesicle endocytosis	PPP3CB	Gene-Term
regulation of synaptic vesicle endocytosis	PPP3CC	Gene-Term
postsynaptic modulation of chemical synaptic transmission	PPP3R1	Gene-Term
regulation of postsynaptic neurotransmitter receptor endocytosis	PPP3R1	Gene-Term
postsynaptic modulation of chemical synaptic transmission	PRKACA	Gene-Term
regulation of synaptic vesicle cycle	PRKAR1B	Gene-Term
modulation of chemical synaptic transmission	PRKAR1B	Gene-Term
modulation of chemical synaptic transmission	PRKAR2A	Gene-Term
modulation of chemical synaptic transmission	PRKAR2B	Gene-Term
regulation of synaptic vesicle exocytosis	PRKCA	Gene-Term
regulation of synaptic vesicle exocytosis	PRKCB	Gene-Term
presynaptic modulation of chemical synaptic transmission	PRKCE	Gene-Term
regulation of synaptic vesicle exocytosis	PRKCG	Gene-Term
regulation of postsynaptic membrane neurotransmitter receptor levels	PRKCI	Gene-Term
regulation of synaptic vesicle endocytosis	PRKN	Gene-Term
regulation of postsynaptic membrane neurotransmitter receptor levels	PRKN	Gene-Term
regulation of protein catabolic process at presynapse	PRKN	Gene-Term
postsynapse to nucleus signaling pathway	PRR7	Gene-Term
regulation of calcium-dependent activation of synaptic vesicle fusion	PRRT2	Gene-Term
regulation of postsynapse assembly	PSD	Gene-Term
regulation of postsynapse organization	PSEN1	Gene-Term
protein catabolic process at postsynapse	PSEN1	Gene-Term
regulation of postsynapse organization	PSEN2	Gene-Term
protein catabolic process at postsynapse	PSEN2	Gene-Term
regulation of modification of postsynaptic actin cytoskeleton	PTK2	Gene-Term
regulation of postsynaptic density assembly	PTK2B	Gene-Term
postsynaptic modulation of chemical synaptic transmission	PTK2B	Gene-Term
modulation of chemical synaptic transmission	PTN	Gene-Term
modulation of chemical synaptic transmission	PTPRA	Gene-Term
modulation of chemical synaptic transmission	PTPRD	Gene-Term
presynapse assembly	PTPRD	Gene-Term
synapse adhesion between pre- and post-synapse	PTPRD	Gene-Term
regulation of postsynaptic density assembly	PTPRD	Gene-Term
trans-synaptic signaling by trans-synaptic complex	PTPRD	Gene-Term
regulation of postsynapse organization	PTPRF	Gene-Term
synapse adhesion between pre- and post-synapse	PTPRF	Gene-Term
regulation of synapse organization	PTPRO	Gene-Term
modulation of chemical synaptic transmission	PTPRS	Gene-Term
presynapse assembly	PTPRS	Gene-Term
synapse organization	PTPRS	Gene-Term
synapse adhesion between pre- and post-synapse	PTPRS	Gene-Term
regulation of postsynaptic density assembly	PTPRS	Gene-Term
regulation of synapse organization	PTPRT	Gene-Term
dendritic transport of messenger ribonucleoprotein complex	PURA	Gene-Term
neurotransmitter receptor transport, endosome to postsynaptic membrane	RAB11A	Gene-Term
anterograde axonal transport	RAB21	Gene-Term
regulation of protein catabolic process at presynapse	RAB26	Gene-Term
synaptic vesicle endocytosis	RAB27B	Gene-Term
synaptic vesicle endosomal processing	RAB35	Gene-Term
regulation of synaptic vesicle fusion to presynaptic active zone membrane	RAB3A	Gene-Term
regulation of synaptic vesicle cycle	RAB3B	Gene-Term
synaptic vesicle endocytosis	RAB5A	Gene-Term
postsynaptic neurotransmitter receptor endocytosis	RAB5A	Gene-Term
neurotransmitter receptor transport to postsynaptic membrane	RAB8A	Gene-Term
neurotransmitter receptor transport, endosome to postsynaptic membrane	RAB8A	Gene-Term
postsynaptic actin cytoskeleton organization	RAC3	Gene-Term
regulation of neurotransmitter receptor localization to postsynaptic specialization membrane	RAP1A	Gene-Term
modification of postsynaptic structure	RAP1B	Gene-Term
regulation of postsynapse organization	RAPGEF4	Gene-Term
regulation of synaptic vesicle cycle	RAPGEF4	Gene-Term
regulation of neurotransmitter receptor localization to postsynaptic specialization membrane	RAPGEF4	Gene-Term
presynapse assembly	RAPH1	Gene-Term
structural constituent of postsynaptic specialization	RAPSN	Gene-Term
neurotransmitter receptor localization to postsynaptic specialization membrane	RAPSN	Gene-Term
regulation of postsynapse organization	RBMX	Gene-Term
postsynapse to nucleus signaling pathway	RELA	Gene-Term
modulation of chemical synaptic transmission	RGS14	Gene-Term
regulation of postsynaptic membrane potential	RGS7	Gene-Term
regulation of postsynaptic membrane potential	RGS7BP	Gene-Term
regulation of postsynapse organization	RHEB	Gene-Term
regulation of modification of postsynaptic actin cytoskeleton	RHOA	Gene-Term
regulation of modification of postsynaptic structure	RHOA	Gene-Term
regulation of calcium-dependent activation of synaptic vesicle fusion	RIMBP2	Gene-Term
voltage-gated calcium channel activity involved in regulation of presynaptic cytosolic calcium levels	RIMBP2	Gene-Term
structural constituent of active zone	RIMBP2	Gene-Term
synaptic vesicle docking	RIMS1	Gene-Term
regulation of calcium-dependent activation of synaptic vesicle fusion	RIMS1	Gene-Term
synaptic vesicle priming	RIMS1	Gene-Term
structural constituent of active zone	RIMS1	Gene-Term
synaptic vesicle docking	RIMS2	Gene-Term
regulation of calcium-dependent activation of synaptic vesicle fusion	RIMS2	Gene-Term
synaptic vesicle priming	RIMS2	Gene-Term
structural constituent of active zone	RIMS2	Gene-Term
regulation of synapse organization	RIMS3	Gene-Term
regulation of synapse organization	RIMS4	Gene-Term
postsynapse to nucleus signaling pathway	RNF10	Gene-Term
regulation of protein catabolic process at postsynapse, modulating synaptic transmission	RNF19A	Gene-Term
protein catabolic process, modulating synaptic transmission	RNF216	Gene-Term
regulation of postsynaptic neurotransmitter receptor endocytosis	RNF216	Gene-Term
postsynaptic actin cytoskeleton organization	ROCK2	Gene-Term
regulation of postsynapse organization	ROR2	Gene-Term
regulation of synaptic signaling by nitric oxide	ROR2	Gene-Term
modulation of chemical synaptic transmission	ROR2	Gene-Term
synaptic vesicle priming	RPH3A	Gene-Term
protein translation at presynapse	RPL10	Gene-Term
protein translation at postsynapse	RPL10	Gene-Term
protein translation at presynapse	RPL10A	Gene-Term
protein translation at postsynapse	RPL10A	Gene-Term
protein translation at presynapse	RPL11	Gene-Term
protein translation at postsynapse	RPL11	Gene-Term
protein translation at presynapse	RPL12	Gene-Term
protein translation at postsynapse	RPL12	Gene-Term
protein translation at presynapse	RPL13	Gene-Term
protein translation at postsynapse	RPL13	Gene-Term
protein translation at presynapse	RPL13A	Gene-Term
protein translation at postsynapse	RPL13A	Gene-Term
protein translation at presynapse	RPL14	Gene-Term
protein translation at postsynapse	RPL14	Gene-Term
protein translation at presynapse	RPL15	Gene-Term
protein translation at postsynapse	RPL15	Gene-Term
protein translation at presynapse	RPL17	Gene-Term
protein translation at postsynapse	RPL17	Gene-Term
protein translation at presynapse	RPL18	Gene-Term
protein translation at postsynapse	RPL18	Gene-Term
protein translation at presynapse	RPL22	Gene-Term
protein translation at postsynapse	RPL22	Gene-Term
protein translation at presynapse	RPL23	Gene-Term
protein translation at postsynapse	RPL23	Gene-Term
protein translation at presynapse	RPL23A	Gene-Term
protein translation at postsynapse	RPL23A	Gene-Term
protein translation at presynapse	RPL24	Gene-Term
protein translation at postsynapse	RPL24	Gene-Term
protein translation at presynapse	RPL26	Gene-Term
protein translation at postsynapse	RPL26	Gene-Term
protein translation at presynapse	RPL27	Gene-Term
protein translation at postsynapse	RPL27	Gene-Term
protein translation at presynapse	RPL27A	Gene-Term
protein translation at postsynapse	RPL27A	Gene-Term
protein translation at presynapse	RPL28	Gene-Term
protein translation at postsynapse	RPL28	Gene-Term
protein translation at presynapse	RPL29	Gene-Term
protein translation at postsynapse	RPL29	Gene-Term
protein translation at presynapse	RPL32	Gene-Term
protein translation at postsynapse	RPL32	Gene-Term
protein translation at presynapse	RPL34	Gene-Term
protein translation at postsynapse	RPL34	Gene-Term
protein translation at presynapse	RPL35	Gene-Term
protein translation at postsynapse	RPL35	Gene-Term
protein translation at presynapse	RPL35A	Gene-Term
protein translation at postsynapse	RPL35A	Gene-Term
protein translation at presynapse	RPL36	Gene-Term
protein translation at postsynapse	RPL36	Gene-Term
protein translation at presynapse	RPL36A	Gene-Term
protein translation at postsynapse	RPL36A	Gene-Term
protein translation at presynapse	RPL37	Gene-Term
protein translation at postsynapse	RPL37	Gene-Term
protein translation at presynapse	RPL37A	Gene-Term
protein translation at postsynapse	RPL37A	Gene-Term
protein translation at presynapse	RPL38	Gene-Term
protein translation at postsynapse	RPL38	Gene-Term
protein translation at presynapse	RPL4	Gene-Term
protein translation at postsynapse	RPL4	Gene-Term
protein translation at presynapse	RPL5	Gene-Term
protein translation at postsynapse	RPL5	Gene-Term
protein translation at presynapse	RPL6	Gene-Term
protein translation at postsynapse	RPL6	Gene-Term
protein translation at presynapse	RPL7	Gene-Term
protein translation at postsynapse	RPL7	Gene-Term
protein translation at presynapse	RPL7A	Gene-Term
protein translation at postsynapse	RPL7A	Gene-Term
protein translation at presynapse	RPL8	Gene-Term
protein translation at postsynapse	RPL8	Gene-Term
protein translation at presynapse	RPL9	Gene-Term
protein translation at postsynapse	RPL9	Gene-Term
protein translation at presynapse	RPLP0	Gene-Term
protein translation at postsynapse	RPLP0	Gene-Term
protein translation at presynapse	RPLP2	Gene-Term
protein translation at postsynapse	RPLP2	Gene-Term
protein translation at presynapse	RPS10	Gene-Term
protein translation at postsynapse	RPS10	Gene-Term
protein translation at presynapse	RPS11	Gene-Term
protein translation at postsynapse	RPS11	Gene-Term
protein translation at presynapse	RPS12	Gene-Term
protein translation at postsynapse	RPS12	Gene-Term
protein translation at presynapse	RPS13	Gene-Term
protein translation at postsynapse	RPS13	Gene-Term
protein translation at presynapse	RPS14	Gene-Term
protein translation at postsynapse	RPS14	Gene-Term
protein translation at presynapse	RPS15A	Gene-Term
protein translation at postsynapse	RPS15A	Gene-Term
protein translation at presynapse	RPS16	Gene-Term
protein translation at postsynapse	RPS16	Gene-Term
protein translation at presynapse	RPS24	Gene-Term
protein translation at postsynapse	RPS24	Gene-Term
protein translation at presynapse	RPS26	Gene-Term
protein translation at postsynapse	RPS26	Gene-Term
protein translation at presynapse	RPS27	Gene-Term
protein translation at postsynapse	RPS27	Gene-Term
protein translation at presynapse	RPS27A	Gene-Term
protein translation at postsynapse	RPS27A	Gene-Term
protein translation at presynapse	RPS28	Gene-Term
protein translation at postsynapse	RPS28	Gene-Term
protein translation at presynapse	RPS5	Gene-Term
protein translation at postsynapse	RPS5	Gene-Term
neurotransmitter receptor transport to postsynaptic membrane	SACM1L	Gene-Term
